Lithuanian	Bulgarian	probability
ʒ	z	1.0
ʑ	z	1.0
ʃ_k	s	1.0
ɡʲ	ʒ	1.0
ɛʊ̯	u	1.0
ɛɪ̯	i	1.0
ɕ	s	1.0
ɐɪ̯	ɛ	1.0
ŋʲ	t	1.0
ŋ	ɐ	1.0
æɪ̯	i	1.0
z	ɐ	1.0
uː	i	1.0
uə̯	a	1.0
pʲ	p	1.0
p	-	1.0
nʲ_ɪ	ɛ	1.0
n_ɐ	ɛ	1.0
n_d	d	1.0
n	n	1.0
m_b	b̥	1.0
j	f	1.0
dʲ	d	1.0
d_ɐ	d̥	1.0
d	d	1.0
bʲ	b	1.0
aɪ̯	-	1.0
̂	ˈ	0.87
ˈ	ˈ	0.867
r	r	0.807
sʲ	s	0.806
̌	ˈ	0.788
t	t	0.757
oː	a	0.757
nʲ	-	0.725
b	-	0.719
mʲ	m	0.707
æː	ɛ	0.701
ɐʊ̯	-	0.691
rʲ	r	0.673
vʲ	v	0.651
ɫ	ɫ	0.642
iə̯	i	0.637
m	m	0.629
v	-	0.604
iː	i	0.6
eː	a	0.562
ʃ	s	0.528
kʲ	ʧ	0.514
kʲ	k	0.486
ʃ	x	0.472
lʲ	-	0.465
ɛ	ɛ_ˈ	0.46
lʲ	l	0.456
ɡ	ɡ	0.411
iː	-	0.4
v	v	0.396
ɛ	-	0.378
m	-	0.371
ɡ	ɡ̊	0.366
tʲ	t	0.365
tʲ	-	0.365
iə̯	ɛ	0.363
k	k	0.361
ɫ	l	0.358
ʊ	-	0.356
ʊ	u	0.33
rʲ	-	0.327
ɪ	-	0.322
k	ʃ	0.321
k	-	0.318
ʊ	i	0.314
ɐʊ̯	u	0.309
æː	ɔ	0.299
s	-	0.295
mʲ	mʲ	0.293
aː	ɔ	0.288
b	bʲ	0.281
nʲ	nʲ	0.275
s	s	0.272
tʲ	j	0.27
aː	r_a	0.252
ɪ	ɤ	0.251
eː	ɛ	0.244
t	-	0.243
oː	-	0.243
ɡ	-	0.224
ɪ	ɛ	0.222
ɐ	a	0.221
s	r	0.217
s	k	0.217
vʲ	vʲ	0.213
sʲ	x	0.194
eː	ɐ	0.194
r	-	0.193
aː	ɤ	0.186
ɐ	o	0.176
ɛ	ɛ	0.162
ɐ	ɤ	0.158
̌	-	0.152
ɪ	ɐ	0.143
aː	a	0.137
aː	-	0.137
vʲ	-	0.135
ɐ	ɐ	0.134
ˈ	-	0.133
̂	-	0.13
ɐ	ɛ	0.101
lʲ	lʲ	0.079
ɪ	ɔ	0.062
̌	ɛ_ˈ	0.061
ɐ	a_ˈ	0.06
ɐ	-	0.058
