Icelandic	Luxembourgish	probability
a	ə	0.889
a	-	0.111
aːu̯	e	1.0
b̥	b	0.982
c	-	0.7
c	ɕ	0.3
cʰ	kʰ	1.0
d̥	d	0.536
d̥	d̥	0.268
d̥	-	0.196
f	f	0.966
h	h	0.907
h	-	0.093
j	-	0.369
j	ˈiː	0.288
j	ˈɜɪ̯	0.216
j	m	0.085
k	ɕ	0.372
k	-	0.269
k	χ	0.261
k	k	0.098
kʰ	kʰ	0.881
kʰ	-	0.119
l	l	0.953
l̥	l	1.0
m	m	0.966
n	n	0.89
n	-	0.101
nː	n	1.0
n̥	n	0.796
n̥	-	0.102
n̥	ŋ	0.102
p	f	0.845
p	m	0.111
pʰ	pʰ	1.0
r	ʀ	0.602
r	ɐ	0.228
r	-	0.17
rː̥	ɐ	1.0
r̥	-	0.783
r̥	ɐ	0.182
s	ʃ	0.445
s	z	0.398
s	s	0.118
sː	s	1.0
t	s	0.526
t	-	0.298
t	t	0.112
t	ʦ	0.063
tʰ	ʦ	0.965
u	-	0.5
u	ə	0.5
v	v	0.429
v	w	0.238
v	-	0.174
v	p	0.057
v	v̥	0.052
x	ɕ	1.0
ç	h	1.0
ð	d̥	0.364
ð	t	0.271
ð	d	0.242
ð	-	0.123
ŋ	ŋ	0.787
ŋ	-	0.165
ɑu̯	ə	1.0
ɛ	-	1.0
ɛː	ə	1.0
ɟ̊	ɡ	0.791
ɟ̊	ʑ	0.141
ɟ̊	-	0.069
ɟ̊ː	k	0.811
ɟ̊ː	-	0.189
ɡ̊	-	0.499
ɡ̊	ɡ	0.302
ɡ̊	ɡ̊	0.095
ɡ̊	ɕ	0.066
ɡ̊ː	-	0.564
ɡ̊ː	k	0.436
ɣ	-	0.674
ɣ	ɕ	0.286
ɪ	ɐ	0.61
ɪ	-	0.39
ɲ	ŋ	1.0
ʏ	-	0.925
ʰc	k	1.0
ʰk	ŋ_k	0.481
ʰk	k	0.365
ʰk	ɕ	0.154
ʰp	p	0.76
ʰp	f	0.24
ʰt	-	0.616
ʰt	ʦ	0.152
ʰt	χ	0.105
ʰt	s	0.077
ʰt	ɕ_t	0.051
ˈa	ˈaː	0.416
ˈa	ˈɑ	0.268
ˈa	ˈɛː	0.198
ˈa	ˈə	0.084
ˈai̯	ˈə	0.691
ˈai̯	ˈe	0.309
ˈau̯	ˈoː	0.381
