Nuorese	Nuorese	probability
β_ˈa	ˈa	1.0
β_u	w	1.0
β	-	1.0
ˈɛ_ð	e_d	1.0
ˈɛ_n	ˈi_n	1.0
ˈi_ɾ	ˈi_r	1.0
ˈa_β	ˈau̯	1.0
ʣ_a	e	1.0
ɲ	n_j	1.0
ɣ	-	1.0
ɛ̆	j	1.0
ɛ_#>	#>	1.0
ɖː_u_#>	l_#>	1.0
ɔ̆_#>	#>	1.0
ɔ_ɾ	r_u	1.0
z_u_#>	s_#>	1.0
z	-	1.0
u_z_ŭ_#>	#>	1.0
u_#>	#>	1.0
t_u_#>	t_#>	1.0
s_u_#>	s_#>	1.0
s_k	ʃ_t	1.0
s_i	ʃ	1.0
r	r	1.0
p_ˈɔ	p_ˈu	1.0
p_ɾ	p_l	1.0
p	p	1.0
o	-	1.0
n_ʣ	m_n	1.0
n_ɛ	e	1.0
n_u_#>	n_#>	1.0
m_ɛ	n	1.0
m	m	1.0
l_u_#>	r_#>	1.0
l	r	1.0
k_ɛ	k_ə	1.0
k_u_#>	k_#>	1.0
k_a	k	1.0
f	f	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_d	<#_d	1.0
ɛ	e	0.928
ˈo	ˈo	0.846
ˈu	ˈu	0.839
s	s	0.824
nː	n	0.818
ɾ	r	0.778
a	ə	0.765
ɛ_ɾ	e_r	0.75
<#_t	<#_t	0.75
t	t	0.722
ð	d	0.714
e	e	0.714
n	n	0.68
ˈa	ˈa	0.674
j	j	0.667
k	k	0.643
ɔ	u	0.625
ŋ	n	0.6
d	z	0.6
<#_a	<#_a	0.6
<#	<#_z	0.6
ʣ	ʒ	0.571
b	b	0.538
ˈi	ˈi	0.5
ʦ	ʦ	0.5
ʦ	-	0.5
ɡ	ʤ	0.5
ɡ	ɡ	0.5
ɔ_z	ʦʲ	0.5
ɔ_z	nʲ	0.5
k_ɾ	kʲ	0.5
k_ɾ	k	0.5
u	u	0.467
b	v	0.462
ˈɔ	o̯ˈa	0.429
ʣ	-	0.429
ŋ	ŋ	0.4
d	d	0.4
<#_a	<#	0.4
<#	<#_s	0.4
ɔ	-	0.375
k	ʧ	0.357
j	-	0.333
ˈɛ	ˈe	0.312
ˈe	ˈe	0.312
ð	-	0.286
i	i	0.286
i	e	0.286
i	-	0.286
e	i	0.286
ˈɛ	j	0.25
ˈɔ	ˈo	0.25
ˈi	ˈe	0.25
ˈe	j_ˈe	0.25
ɛ_ɾ	ˈe_r	0.25
<#_t	<#_ʦ	0.25
ˈa	ˈɨ	0.239
u	ə	0.2
u	w	0.2
n	-	0.2
ˈɛ	e̯ˈa	0.188
ˈe	ˈi	0.188
nː	-	0.182
ˈɔ	ˈu	0.179
s	ʃ	0.176
t	p_t	0.167
ˈu	ˈo	0.161
ˈo	ˈu	0.154
i	ə	0.143
u	r	0.133
ˈɛ	ˈa	0.125
ˈɛ	j_ˈa	0.125
ˈe	e̯ˈa	0.125
ˈe	-	0.125
n	j_n	0.12
ˈi	-	0.111
ɾ	l	0.095
ˈi	ˈə	0.083
a	e	0.078
ˈɔ	u	0.071
ˈɔ	o̯ˈa_p	0.071
a	ɨ	0.059
a	-	0.059
ˈi	i	0.056
t	ʦ	0.056
t	-	0.056
