Macedonian	Bulgarian	probability
b	b	1.0
d	d	1.0
j	-	1.0
p	p	1.0
r	r	1.0
t	t	1.0
u	ɛ	1.0
z	z	1.0
ɡ	ɡ	1.0
ɫ	ɫ	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʣ	z	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
v	vʲ	0.181
ɛ	ɐ	0.1
ˈr̩	ˈɤ_r	0.601
ˈu	u	0.351
i	ˈi	0.652
l	lʲ	0.252
n	n	0.992
ˈa	ˈa	0.622
ˈi	i	0.092
ˈɛ	ˈa	0.252
a	ɐ	0.363
ˈa	ˈɤ	0.213
ˈɛ	ˈɛ	0.353
m	m	0.914
s	<#_x	0.074
ˈr̩	r_ˈɤ	0.134
f	x	0.15
f	f	0.85
o	o	0.505
ɛ	ɛ	0.395
ˈa	ɐ	0.165
ˈo	ˈɔ	0.445
ˈr̩	ɐ_r	0.265
ˈɛ	ɛ	0.395
m	mʲ	0.086
s	s	0.926
ˈo	o	0.406
a	ˈa	0.637
o	ɐ	0.307
ɛ	ˈɛ	0.407
i	i	0.348
l	l	0.748
o	ˈɔ	0.188
ˈi	ˈi	0.908
k	k	0.99
v	v	0.819
ɛ	j_ɐ	0.099
ˈo	ˈɤ	0.149
ˈu	ˈu	0.649
