Old French	Old French	probability
θ	t	1.0
ˈɛ_r	ˈa_j	1.0
ˈỹ	ˈu	1.0
ˈũ_j	ˈu	1.0
ˈõ	ˈu	1.0
ˈo	ˈo	1.0
ˈẽ_n	n	1.0
ˈã_j	ˈa	1.0
ˈã	ˈa	1.0
ʧ	k	1.0
ʎ	ʎ	1.0
ɲ	ɲ	1.0
ɛ	e	1.0
ə_#>	#>	1.0
ɔ	e	1.0
ŋ	ŋ	1.0
z_ə	s_a	1.0
z	θ	1.0
y	-	1.0
w_#>	ɣ_o_#>	1.0
ũ	-	1.0
u_l	o_l	1.0
t_ə	t_a	1.0
r_ə	ɾ_o	1.0
p_j	p_j	1.0
p	p	1.0
o	-	1.0
n_t	n	1.0
l_ə	l_e	1.0
j_ˈɛ	ˈa	1.0
j_ˈe	ˈa	1.0
j_s	θ	1.0
j_r	ɾ	1.0
j_n	n	1.0
ĩ	i	1.0
f_#>	w_#>	1.0
e	i	1.0
ã_n	a_n	1.0
a_j	a_ð	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_θ	1.0
<#_w	<#_w	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
n	n	0.907
r	ɾ	0.904
m	m	0.903
f	f	0.88
ˈy	ˈu	0.857
ˈu	ˈo	0.846
d	d	0.833
k	k	0.828
#>	o_#>	0.762
ˈa	ˈa	0.75
u	o	0.75
b	b	0.733
s	s	0.73
l	l	0.73
ə	a	0.727
ˈe	ˈa	0.7
ˈĩ	ˈi	0.667
ˈẽ	ˈe	0.667
ˈi	ˈi	0.643
ʤ	ʧ	0.615
ɡ	ɡ	0.6
j_#>	j_#>	0.6
<#	<#_ɡ	0.6
v	b	0.581
ˈɛ	ˈe	0.514
ʦ	θ	0.5
ʦ	-	0.5
j_t	ˈe_j	0.5
j_t	ð_o	0.5
i	i	0.5
i	-	0.5
t	t	0.484
w	w	0.471
ˈũ	w_ˈe	0.4
ɡ	ɣ	0.4
j_#>	#>	0.4
<#	<#_ˈa	0.4
ʤ	-	0.385
v	β	0.355
ˈũ	ˈo	0.333
ˈĩ	-	0.333
ˈẽ	j_ˈe	0.333
t	t_o	0.323
j	j	0.323
ˈɔ	ˈe	0.312
ˈe	ˈe	0.3
j	-	0.29
ˈɛ	j_ˈe	0.286
l	ʎ	0.27
b	β	0.267
ˈɔ	w_ˈe	0.25
ˈi	ˈe	0.25
ˈa	-	0.25
u	u	0.25
w	ˈo	0.235
ˈɔ	ˈo	0.219
w	-	0.176
k	ɡ	0.172
d	-	0.167
ˈɔ	-	0.156
ˈu	u_s	0.154
ˈy	w_ˈe	0.143
#>	e_#>	0.143
s	ʃ	0.135
ˈũ	ˈo_m	0.133
ˈũ	-	0.133
ə	e	0.13
j	ˈe	0.129
f	o	0.12
w	o	0.118
ˈɛ	ˈa	0.114
ˈi	ˈe_j	0.107
m	b_ɾ	0.097
ˈɛ	-	0.086
s	θ	0.081
v	-	0.065
t	ð	0.065
t	d_o	0.065
t	-	0.065
j	ˈa	0.065
j	ʝ	0.065
j	ɾ	0.065
j	k	0.065
#>	a_#>	0.063
ˈɔ	ɾ	0.062
s	o	0.054
