Scots	Mecklenburgisch-Vorpommersch	probability
θ	d	1.0
ˈʌu̯	-	1.0
ˈɛː	ˈɛ_ŋ	1.0
ˈɑː_l	l	1.0
ˈøː	ˈaʊ̯	1.0
ˈoː	-	1.0
ˈi_ŋ	ˈøː	1.0
ˈeː_v	m	1.0
ˈeː_r	ˈaː	1.0
ˈaːɪ̯	ˈiː	1.0
ˈaː	ˈɪ_k	1.0
ˈaɪ̯	-	1.0
ʧ_ˈiː	ˈɛɪ̯	1.0
ʤ	k	1.0
ʍ	v	1.0
ʃ	ʃ	1.0
ɛ	n	1.0
ə_r	æ	1.0
ŋ	ŋ	1.0
ç_t	ç	1.0
ç	x	1.0
z	z̥	1.0
w_ˈa	v	1.0
tʰ	tʰ	1.0
r_t	t	1.0
r_n	æ_n	1.0
pʰ	pʰ	1.0
p	p	1.0
m	m	1.0
l_ˈɪ	l_ˈɪ	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
e	ɪ	1.0
b	b	1.0
t	t	0.957
ə	-	0.918
n	n	0.88
k	k	0.869
w	v	0.855
ˈɑː	ˈa	0.725
ð	ɾ	0.671
ˈʌ	ˈʊ	0.646
ˈø	ˈaʊ̯	0.637
ˈəi̯	ˈiː	0.628
ɡ	ɡ	0.613
j	j	0.602
ˈa	ˈa	0.596
ˈu	ˈuː	0.593
ˈeː	ˈoː	0.563
ˈe	ˈae̯	0.544
i	ɪ	0.525
x	x	0.506
x	ç	0.494
i	ae̯	0.475
r	æ	0.47
s	z	0.468
ˈo	ˈuː	0.463
d	d	0.463
ˈɪ	ˈɪ	0.454
d	d̥	0.454
ˈuː	ˈuː	0.402
j	ˈiː	0.398
ˈuː	-	0.397
ˈɛ	ˈɛ	0.384
ˈiː	-	0.374
ˈø	-	0.363
ˈi	ˈɔʏ̯	0.346
ð	-	0.329
ˈo	ˈɔ	0.306
r	r	0.286
ˈa	-	0.277
ˈɑː	ˈa_l	0.275
s	ʃ	0.275
ˈeː	-	0.268
ˈu	-	0.234
ˈo	-	0.231
ˈe	ˈɒː	0.229
s	s	0.214
ɡ	ç	0.203
ˈuː	ˈʊ_l	0.201
ˈiː	ˈae̯	0.195
ˈʌ	-	0.193
ˈɪ	-	0.19
ˈi	-	0.188
ɡ	j	0.184
ˈɛ	-	0.175
ˈu	ˈʊ	0.173
ˈeː	ˈɒː_n	0.169
ˈiː	ˈyː	0.167
ˈiː	ˈiː	0.167
ˈʌ	ˈɒː	0.162
ˈi	ˈaʊ̯	0.147
w	w	0.145
ˈi	ˈɒː	0.143
ˈe	-	0.14
k	s	0.131
ˈa	ˈœ	0.128
ˈɛ	ˈaː	0.127
ˈɛ	ˈae̯	0.127
ˈəi̯	ˈyː	0.127
ˈəi̯	-	0.127
ˈɪ	ˈʏ	0.122
ˈəi̯	ɣ	0.118
ˈi	ˈae̯	0.109
ˈiː	ˈae̯_ŋ	0.097
ˈɛ	ˈa	0.095
ˈɛ	ˈɪ	0.093
ˈe	ˈa	0.088
d	n	0.083
ə	ɣ̊	0.082
r	ˈuː_æ	0.08
ˈi	ˈɛː	0.067
r	-	0.067
ˈɪ	ˈɔ	0.061
r	r_ˈaʊ̯	0.054
