Saterland Frisian	English	probability
a	-	0.5
a	ˈɪ	0.5
b	b	0.901
b	-	0.053
b	v	0.052
d	d	0.873
d	θ	0.095
d	ð	0.04
f	f	1.0
h	h	1.0
j	-	0.657
j	j	0.201
j	əʊ̯	0.069
j	w	0.066
j_ˈoː	ˈiː	0.561
j_ˈoː	ˈaɪ̯	0.425
j_ˈuː	ˈaɪ̯	1.0
j_ˈʊ	ˈɪ	0.629
j_ˈʊ	ˈaɪ̯	0.361
k	k	0.598
k	kʰ	0.207
k	-	0.112
k	ʧ	0.063
k_ə	ʧ	1.0
l	l	0.519
l	ɫ	0.393
l	-	0.084
l_ə	l	0.683
l_ə	ɫ	0.22
m	m	1.0
m_ə	m	1.0
n	n	0.906
n	-	0.093
p	p	0.888
p	pʰ	0.112
r	ɹ	0.5
r	ə	0.376
r	-	0.122
r_m	m	1.0
r_ə	ə	1.0
s	s	0.941
s	ʧ	0.059
s_k	ʃ	1.0
t	t	0.533
t	θ	0.219
t	tʰ	0.139
t	d	0.058
t	-	0.044
t_v	tʰ	1.0
t_ə	t	1.0
v	w	0.863
v	v	0.085
v	-	0.049
w	v	0.644
w	w	0.239
x	-	0.602
x	f	0.217
x	v	0.085
x	ʤ	0.085
x_t	t	1.0
z	z	0.618
z	-	0.148
z	s	0.148
ŋ	ŋ	1.0
ə	-	0.858
ə	ɪ	0.074
ə	ə	0.066
ə_l	ɫ	0.758
ə_l	l	0.127
ə_r	ə	0.594
ə_r	ɹ	0.392
ɡ	ɡ	1.0
ɣ	ɡ	0.472
ɣ	-	0.372
ɣ	v	0.092
ɣ	ʤ	0.053
ɪ	-	0.268
ɪ	ɪ	0.248
ɪ	əʊ̯	0.173
ɪ	ŋ	0.105
ɫ	ɫ	1.0
ˈa	ˈe	0.322
ˈa	ˈæ	0.196
ˈa	ɪ	0.181
ˈa	ˈaɪ̯	0.11
ˈaː	ˈɑː	0.384
ˈaː	ˈɔː	0.253
ˈaː	ˈɐ	0.154
ˈaː	ˈe	0.1
ˈaːi̯	ˈeɪ̯	1.0
ˈaːu̯	ˈe	0.208
ˈaːu̯	ˈɔː	0.102
ˈeː	ˈəʊ̯	0.459
ˈeː	ˈe	0.234
ˈeː	ˈiː	0.203
ˈeː	ˈɪ	0.053
ˈeː	ˈɒ	0.051
ˈi	ˈiː	0.3
ˈi	ˈɪ	0.277
ˈi	ˈaɪ̯	0.255
ˈi	-	0.094
ˈi	ˈeɪ̯	0.058
ˈi_k	ˈaɪ̯	1.0
ˈiː	ˈaɪ̯	0.462
ˈiː	ˈɪ	0.34
ˈiː	ˈɛ	0.107
ˈiː	ˈæ	0.081
ˈiː_r	ˈɑː	1.0
ˈiːu̯	ˈɪ	1.0
ˈoː	ˈiː	0.249
ˈoː	ˈe	0.23
ˈoː	ˈəʊ̯	0.152
ˈoː	ˈeɪ̯	0.128
ˈoː	ˈɑː	0.05
ˈoː_ɣ	ˈaɪ̯	0.489
ˈoːu̯	ˈæ	0.262
ˈoːu̯	ˈuː	0.228
ˈoːu̯	ˈʊ	0.142
ˈoːu̯	ˈəʊ̯	0.105
ˈoːu̯	ˈɐ	0.1
ˈoːu̯_d	ˈɔː	0.239
ˈu	ˈaʊ̯	0.629
ˈu	ˈɪ	0.361
ˈuː	ˈaʊ̯	0.439
ˈuː	ˈɐ_ð	0.188
ˈuː	ˈɐ	0.188
ˈuː	ˈaɪ̯	0.118
ˈuː	ˈɪ	0.056
ˈyː	ˈe	1.0
ˈœː	ˈɪ	0.239
ˈɔ	ˈæ	0.272
ˈɔ	ˈɔː	0.211
ˈɔ	ˈɐ	0.125
ˈɔ	ˈɒ	0.125
ˈɔ	ˈɪ	0.121
ˈɔː	ˈeɪ̯	0.232
ˈɔː	ˈɛ	0.176
ˈɔː	ˈɒ	0.166
ˈɔː	ˈɔː	0.13
ˈɔː	ˈaɪ̯	0.075
ˈɔːɪ̯	ˈe	0.489
ˈɛ	ˈɒ	0.187
ˈɛ	ˈɔː	0.131
ˈɛ	ˈɪ	0.131
ˈɛ	ˈæ	0.126
ˈɛ	ˈiː	0.121
ˈɛɪ̯	ˈiː	0.652
ˈɛɪ̯	ˈɔː	0.072
ˈɛɪ̯	ˈɜː	0.072
ˈɛɪ̯	ˈuː	0.059
ˈɛɪ̯	ˈəʊ̯	0.059
ˈɛː	ˈɑː	0.336
ˈɛː	ˈɪ	0.27
ˈɛː	ˈeɪ̯	0.132
ˈɛː	ˈɜː	0.132
ˈɛː	ˈæ	0.095
ˈɪ	ˈɪ	0.695
ˈɪ	ˈaɪ̯	0.165
ˈɪ	ˈe	0.125
ˈʊ	ˈɐ	0.386
ˈʊ	ˈʊ	0.24
ˈʊ	ˈe	0.087
ˈʊ	ˈɜː	0.087
ˈʊ	ˈɪ	0.087
