English	English	probability
θ	d̥	1.0
ˈɜː	ɐ	1.0
ˈɒ	-	1.0
ˈæ_n	n	1.0
ˈiː_n	eɐ̯	1.0
ˈiː_k	x	1.0
ʃ	ʃ	1.0
ɪ	-	1.0
ɡ_ə	a	1.0
ɜː	r_ˈai̯	1.0
ə	a	1.0
ŋ	ŋ	1.0
ð	d̥	1.0
z	s	1.0
tʰ	ʦ	1.0
t_ə	s_a	1.0
s_ˈiː	s_ˈeː	1.0
s_t	ʃ_d̥	1.0
pʰ	b̥͡v̥	1.0
p_#>	f_#>	1.0
p	f_a	1.0
n_#>	#>	1.0
l_ˈiː	l	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	ɡ̊_s	1.0
j	-	1.0
h	h	1.0
b	b̥	1.0
<#_θ	<#_d̥	1.0
<#_ˈeɪ̯	<#_ˈɑ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#	<#_ˈe	1.0
ɹ	r	0.917
w	ʋ	0.909
f	f	0.909
m	m	0.875
d	d̥	0.87
ɫ	j	0.867
n	n	0.811
ˈuː	-	0.75
s	s	0.677
v	m	0.667
ˈɐ	ˈu	0.611
ʧ	kʰ	0.6
ə_#>	ɐ_#>	0.6
ˈaʊ̯	ˈau̯	0.583
f_#>	#>	0.571
ˈɪ	ˈi	0.533
ˈʊ	ˈuɐ̯	0.5
ˈʊ	ˈo	0.5
ˈɛ	ˈe	0.5
ˈɛ	-	0.5
ˈiː_#>	ˈai̯_#>	0.5
ˈiː_#>	#>	0.5
ˈeɪ̯	ˈɒː	0.5
ˈeɪ̯	ˈɑː	0.5
ʤ	ɡ̊_a	0.5
ʤ	ɡ̊	0.5
k	ɡ̊	0.5
k	x	0.5
#>	ɡ̊_#>	0.5
ˈaɪ̯	ˈai̯	0.48
ˈəʊ̯	ˈoɐ̯	0.438
ˈæ	-	0.429
f_#>	b̥_#>	0.429
ʧ	ç	0.4
ə_#>	#>	0.4
#>	ŋ_#>	0.375
ˈɑː	ˈɒː	0.364
t	s	0.364
ˈiː	ˈaː	0.353
ˈɔː	ˈo_ɐ	0.333
v	β	0.333
ˈe	ˈe	0.318
ˈiː	ˈiɐ̯	0.294
ˈæ	ˈɑ	0.286
ˈæ	ˈe	0.286
ˈɑː	ˈe	0.273
ˈe	-	0.273
s	ʃ	0.258
ˈəʊ̯	ˈo	0.25
ˈɔː	ˈo	0.25
ˈɔː	ɐ	0.25
ˈuː	n	0.25
ˈaʊ̯	-	0.25
ˈaɪ̯	ˈi	0.24
ˈiː	-	0.235
t	ʦ	0.212
ˈəʊ̯	ˈeː	0.188
ˈɑː	j	0.182
ˈɑː	-	0.182
ˈe	ˈeː	0.182
t	x_d̥	0.182
ˈɔː	-	0.167
ˈɐ	ˈuɐ̯	0.167
ˈaʊ̯	ˈuɐ̯	0.167
ˈaɪ̯	ˈiɐ̯	0.16
ˈe	ˈou̯	0.136
n	n_a	0.135
ˈɪ	ˈeː	0.133
ˈɪ	-	0.133
ɫ	ɡ̊_l	0.133
d	d̥_n	0.13
ˈəʊ̯	-	0.125
m	m_a	0.125
#>	ɡ̊_a_#>	0.125
t	s_n	0.121
ˈaɪ̯	-	0.12
ˈiː	ˈuɐ̯	0.118
ˈɐ	ˈoː	0.111
ˈɐ	ˈaː	0.111
ˈɪ	ˈu	0.1
ˈɪ	ˈiː	0.1
ˈe	ˈai̯	0.091
w	ʋ_ˈo	0.091
f	f_ˈu	0.091
ɹ	-	0.083
s	ʃ_ʋ	0.065
t	d̥_ˈu	0.061
t	d̥	0.061
n	a	0.054
