Kashubian	Upper Sorbian	probability
ˈ	-	1.0
ʤ	ɦ	1.0
ʣ	ʥ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʉ	u	1.0
ʃ	ʃ	1.0
ɾ	ʀʲ	1.0
ɲ	ɲ	1.0
ɡ̊	x	1.0
ɡ	ɦ	1.0
ə_ˈ	ɪ	1.0
ɔ_ˈ	o	1.0
z̥	z̥	1.0
z	z	1.0
v_j	ɥ	1.0
v_a	w_a	1.0
u̯ɛ	ɔ	1.0
u_ˈ	ɔ	1.0
t_ɞ	t_a	1.0
t	t	1.0
r	ʀ	1.0
n	n	1.0
m_ə	ɔ_m	1.0
m_j	mʲ	1.0
m	m	1.0
l	l	1.0
j_ɞ	e	1.0
j	-	1.0
i_ˈ	i	1.0
f_j	ɥ	1.0
f	-	1.0
e_ˈ	e	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
a_ˈ	e	1.0
k	k	0.961
s	s	0.937
i	ɪ	0.875
ɛ_ˈ	e	0.863
r̝	ʀʲ	0.852
x	x	0.825
w	w	0.822
õ	u	0.783
b	b	0.769
a	a	0.761
ɔ	ɔ	0.741
v	w	0.7
ʦ	ʨ	0.685
ə	i	0.674
ɛ	ɛ	0.579
e	ɛ	0.562
u	o	0.531
ã	a	0.516
u	-	0.469
e	-	0.438
p	p	0.431
p	pʲ	0.411
ʧ	ʧ	0.409
ɞ	ɔ	0.406
ʧ	kʲ	0.352
ə	u	0.326
ɞ	e	0.301
v	ɥ	0.3
ɞ	a	0.293
ɔ	ɛ	0.259
ʦ	ʦ	0.258
ʧ	ʨ	0.239
b	bʲ	0.231
ɛ	ɔ	0.227
õ	-	0.217
ã	u	0.197
ɛ	-	0.194
a	-	0.181
x	xʲ	0.175
ã	-	0.159
p	-	0.158
r̝	ʃ	0.148
ɛ_ˈ	a	0.137
ã	ɛ	0.127
i	i	0.125
w	ɔ_w	0.07
w	l	0.066
s	o_s	0.063
a	ɛ	0.058
ʦ	-	0.057
