Dutch	Eastphalian	probability
b	b	1.0
d	d	0.835
d	-	0.135
d	t	0.038
f	f	0.785
f	v	0.119
f	p	0.061
j	j	1.0
k	k	1.0
l	l	1.0
m	m	1.0
n	n	0.821
n	-	0.178
n_d	n	1.0
p	p	0.801
p	b	0.186
s	s	0.626
s	ʃ	0.261
s	z_ə	0.093
s_χ	ʃ	1.0
t	t	0.703
t	d	0.175
t	-	0.074
t	l_d	0.043
v	f	0.82
v	v	0.099
v	-	0.068
w	ˈiː	0.574
w	-	0.284
z	z	0.758
z	s	0.232
ŋ	ŋ	0.899
ŋ	ç	0.1
ə	-	0.57
ə	ɐ	0.234
ə	m	0.07
ə	ə	0.062
ə	ɪ	0.039
ɦ	h	0.972
ɦ	k	0.042
ɪ	ɪ	1.0
ɫ	l	1.0
ɾ	r	0.415
ɾ	ɐ	0.369
ɾ	-	0.215
ʋ	v	0.849
ʋ	w	0.15
ˈaː	ˈɒː	0.709
ˈaː	ˈɛɪ̯	0.073
ˈaː	ˈaː	0.073
ˈaː	ˈɛː	0.073
ˈaː	ˈeː	0.051
ˈeː	ˈɛɪ̯	0.396
ˈeː	ˈeː	0.272
ˈeː	ˈɛː	0.178
ˈeː	ˈɛ	0.121
ˈi	ˈɛɪ̯	0.747
ˈi	-	0.074
ˈi	ˈiː	0.074
ˈi	ˈeː	0.061
ˈi	ˈʏ	0.051
ˈoː	ˈeo̯	0.443
ˈoː	ˈoː	0.238
ˈoː	ˈøː	0.139
ˈoː	ˈɔ	0.066
ˈoː	ˈɔʏ̯	0.05
ˈu	ˈaʊ̯	0.584
ˈu	ˈɔʏ̯	0.265
ˈu	ˈʊ	0.123
ˈyː	ˈyː	1.0
ˈøː	ˈɛː	0.495
ˈœy̯	ˈuː	0.737
ˈœy̯	ˈyː	0.141
ˈœy̯	ˈʏ	0.103
ˈɑ	ˈa	0.785
ˈɑ	ˈaː	0.076
ˈɑ	ˈɛə̯	0.043
ˈɑ	ˈaʊ̯	0.043
ˈɑ	ˈɛː	0.043
ˈɑu̯	ˈɔ	0.623
ˈɑu̯	ˈɔ_l	0.265
ˈɑu̯	ˈuː	0.07
ˈɔ	ˈʊ	0.484
ˈɔ	ˈɔ	0.358
ˈɔ	ˈʏ	0.064
ˈɔ	ˈoː	0.054
ˈɔ	ˈuː	0.048
ˈɛ	ˈɛ	0.412
ˈɛ	ˈɪ	0.149
ˈɛ	ˈa	0.13
ˈɛ	ˈeː	0.07
ˈɛ	ˈœ	0.07
ˈɛi̯	ˈiː	0.827
ˈɛi̯	ˈɛɪ̯	0.084
ˈɛi̯	ˈɪ	0.067
ˈɪ	ˈɪ	0.939
ˈɪ	ˈɛ	0.061
ˈʏ	ˈʏ	0.477
ˈʏ	w	0.194
ˈʏ	ˈœ	0.194
χ	ɣ	0.362
χ	x	0.203
χ	j	0.182
χ	ç	0.168
χ	-	0.045
