Dutch	Eastphalian	probability
b	b	1.0
d	d	0.826
d	-	0.121
d	t	0.053
d̥	d	0.511
d̥	t	0.295
d̥	l_d	0.108
d̥	-	0.087
f	f	0.897
f	-	0.103
i	ɒː	1.0
j	j	0.51
j	ˈøː	0.49
k	k	1.0
m	m	1.0
n	n	0.921
n	-	0.079
p	p	0.879
p	b	0.121
s	s	0.509
s	ʃ	0.392
s	-	0.058
t	t	1.0
v	f	0.838
v	v	0.121
v̥	f	0.834
v̥	v	0.15
w	ˈiː	0.669
w	-	0.331
z	z	0.881
z	s	0.119
z̥	z	1.0
ŋ	ŋ	0.894
ŋ	ç	0.106
ə	-	0.679
ə	ɐ	0.241
ə	ə	0.075
ɦ	h	0.98
ɪ	ɪ	1.0
ɫ	l	1.0
ɾ	ɐ	0.602
ɾ	r	0.398
ʋ	v	0.891
ʋ	w	0.109
ˈaː	ˈɒː	0.841
ˈaː	ˈeː	0.063
ˈeː	ˈɛɪ̯	0.414
ˈeː	ˈɛː	0.247
ˈeː	ˈeː	0.202
ˈeː	ˈɛ	0.055
ˈeː	ˈoː	0.051
ˈi	ˈɛɪ̯	0.741
ˈi	ˈʏ	0.105
ˈi	ˈiː	0.073
ˈoː	ˈoː	0.318
ˈoː	ˈeo̯	0.29
ˈoː	ˈɔʏ̯	0.121
ˈoː	ˈøː	0.115
ˈoː	ˈɔ	0.081
ˈoː	ˈœ	0.056
ˈu	ˈaʊ̯	0.518
ˈu	ˈɔʏ̯	0.389
ˈu	ˈʊ	0.093
ˈyː	ˈyː	0.824
ˈyː	ˈuː	0.176
ˈøː	ˈɛː	1.0
ˈœy̯	ˈuː	0.764
ˈœy̯	ˈyː	0.14
ˈœy̯	ˈʏ	0.096
ˈɑ	ˈa	0.806
ˈɑ	ˈaː	0.071
ˈɑ	ˈaʊ̯	0.052
ˈɑ	ˈɛː	0.052
ˈɑu̯	ˈɔ	0.683
ˈɑu̯	ˈuː	0.317
ˈɔ	ˈʊ	0.504
ˈɔ	ˈɔ	0.212
ˈɔ	ˈʏ	0.093
ˈɔ	ˈoː	0.072
ˈɔ	ˈœ	0.072
ˈɛ	ˈɛ	0.416
ˈɛ	ˈa	0.234
ˈɛ	ˈɛː	0.096
ˈɛ	ˈʏ	0.073
ˈɛ	ˈɪ	0.067
ˈɛ	ˈeː	0.062
ˈɛi̯	ˈiː	0.817
ˈɛi̯	ˈɛɪ̯	0.068
ˈɛi̯	ɐ	0.065
ˈɛi̯	ˈɪ	0.05
ˈɪ	ˈɪ	0.982
ˈʏ	ˈʏ	0.692
ˈʏ	ˈœ	0.226
ˈʏ	w	0.082
χ	ɣ	0.244
χ	-	0.216
χ	j	0.201
χ	ç	0.174
χ	x	0.074
