Emilian	Italian	probability
b	b	1.0
f	f	1.0
i	i	1.0
n	n	1.0
w	w	1.0
ð	ʤ	1.0
ʤ	-	1.0
ʧ	kː_j	1.0
ˈaː	ˈa	1.0
ˈi	ˈi	1.0
ˈæ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈɛː	ˈɛ	1.0
ˈʌu̯	ˈo	1.0
d	d	0.741
j	ʎː	0.31
j	j	0.591
l	lː_o	0.151
s	ʃː	0.061
ˈe	ˈe	0.151
ˈo	ˈu	0.841
ˈɛ	ˈa	0.731
a	a	0.992
l	l	0.522
r	r_e	0.362
s	sː_o	0.072
u	u	0.112
z	ʧ_e	0.462
ŋ	n_e	0.122
ˈa	ˈa	0.772
d	t	0.23
e	r_e	0.203
v	v	0.683
ɲ	ɲː_o	0.243
ˈuː	ˈu	0.883
θ	ʧː	0.303
r	r	0.444
t	t	0.504
v	v_e	0.054
v	p	0.264
ŋ	n	0.464
ˈɔː	w_ˈɔ	0.154
k	k	0.85
m	m_e	0.095
m	m	0.905
ˈiː	ˈe	0.145
ˈo	ˈo	0.115
k	k_o	0.06
t	t_e	0.096
t	tː_e	0.136
t	tː_o	0.176
ŋ	ŋ	0.156
ɡ	ɡ	0.606
ˈiː	ˈi	0.716
ˈɔː	ˈɔ	0.846
ŋ	n_o	0.257
ɡ	ɡ_o	0.057
ɡ	k	0.337
ɲ	ɲː	0.757
ˈuː	ˈɔ	0.117
ˈʌ	ˈo	0.957
θ	ʧ	0.697
e	-	0.228
l	l_o	0.098
l	lː	0.178
p	p	0.978
r	-	0.088
s	s	0.868
u	o	0.888
z	ʧ	0.538
ˈa	ˈe	0.228
e	e	0.569
j	-	0.099
k	kː	0.09
r	r_o	0.099
t	t_o	0.089
ˈe	ˈi	0.849
ˈiː	ˈɛ	0.139
ˈɛ	ˈɛ	0.269
