West Frisian	Scots	probability
ˈɪə̯_n	ˈeː	1.0
ˈɪə̯_l	ˈɑː_f	1.0
ˈɪ_k	ˈaː	1.0
ˈɛ_r	r	1.0
ˈɛ_l	ˈɛ_l	1.0
ˈɛ_j	ˈiː	1.0
ˈɔː	ˈɑː	1.0
ˈɔu̯	ˈʌu̯	1.0
ˈɔ_l	ˈuː	1.0
ˈøə̯	ˈi	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈu̯o	ˈi	1.0
ˈuə̯_χ	ˈøː	1.0
ˈu	ˈʌ	1.0
ˈoː	ˈuː	1.0
ˈoə̯_n	n	1.0
ˈiə̯_r	ˈiː_r	1.0
ˈiə̯_n	ˈe_n	1.0
ˈai̯	ˈɑː	1.0
ɪ_k	ɪ	1.0
ɪ	i	1.0
ɣ̥	ç	1.0
ɡ	ɡ	1.0
ɕ	s	1.0
ŋ	ŋ	1.0
z	-	1.0
v_ˈɛ	ˈɔɪ̯	1.0
s_k	ʃ	1.0
n_d	n	1.0
m	m	1.0
j_ˈɪ	ˈi	1.0
j_ˈɔ	ˈɪ	1.0
h	h	1.0
b	b	1.0
l	l	0.977
ə	ə	0.944
s	s	0.937
d	d	0.931
f	f	0.912
k	k	0.88
r	r	0.865
ʋ	w	0.839
ˈiə̯	ˈi	0.837
t	t	0.827
p	p	0.822
j	-	0.77
χ	ç	0.766
ɣ	-	0.766
d̥	d	0.754
ˈɛ	-	0.728
ʦ	-	0.723
ˈoə̯	ˈo_r	0.636
ˈuː	ˈu	0.63
n	n	0.628
v	w	0.611
ˈɛi̯	-	0.599
ˈɪ	ˈɪ	0.556
ˈɔ	ˈʌ	0.508
ˈa	-	0.496
ˈɛː	ˈeː_r	0.471
ˈiː	ˈəi̯	0.427
ˈa	ˈa	0.415
ˈuə̯	-	0.376
ˈeː	ˈiː	0.371
ˈeː	ˈi	0.371
ˈɪə̯	ˈiː	0.362
ˈɛː	ˈɛ	0.352
ˈaː	ˈe	0.338
ˈiː	ˈɪ	0.336
ˈi	ˈɪ	0.33
ˈi	ˈəi̯	0.33
ˈɪ	-	0.309
ʦ	θ	0.277
ˈaː	ˈeː	0.274
ˈaː	ˈa	0.274
ˈɛ	ˈɛ	0.272
ˈeː	-	0.257
d̥	θ	0.246
ˈɪə̯	ˈi	0.237
χ	x	0.234
ɣ	ʤ	0.234
ˈuə̯	ˈø	0.228
ˈi	ˈi	0.228
ˈɪə̯	ˈeː	0.224
ˈɛi̯	ˈeː	0.218
ˈuː	-	0.215
v	-	0.215
ˈoə̯	ˈoː	0.207
ˈɔ	ˈo	0.196
n	-	0.192
ˈɛi̯	ˈɛː	0.184
n	n_d	0.18
ˈɪə̯	ˈe	0.178
p	pʰ	0.178
ˈɛː	ˈɪ	0.176
ˈɔ	-	0.174
v	v	0.174
ˈiə̯	ˈɑː	0.163
ˈiː	ˈi	0.162
ʋ	ʍ	0.161
ˈoə̯	r	0.157
ˈuː	ˈəi̯	0.155
ˈuə̯	ˈɪ_ð	0.155
r	ə_r	0.135
ˈɪ	ˈɛ	0.134
t	tʰ	0.13
j	ˈi	0.128
ˈɔ	ˈɪ	0.123
ˈuə̯	ˈu	0.122
k	-	0.12
ˈuə̯	ˈɪ	0.119
ˈaː	-	0.113
ˈi	-	0.112
j	ˈiː	0.102
ˈa	ˈɛ	0.089
f	-	0.088
ˈiː	ˈaːɪ̯	0.076
d	ð	0.069
ə	θ	0.056
