Northern Low Saxon	Alsatian	probability
aɪ̯	eː	1.0
h	h	1.0
i	i	1.0
j	ɡ̊	1.0
r	ʁ	1.0
z	s	1.0
ə	ə	1.0
ɪ	i	1.0
ʃ	ʃ	1.0
ˈɔː	ˈu	1.0
ˈɛː	ˈiː	1.0
ç	ɡ̊	0.091
ɡ	ɡ̊	0.371
ˈaː	ˈɒ	0.241
ˈœː	ˈeː	0.471
ˈɔʏ̯	ˈiː	0.311
ˈɛ	ˈɒ	0.251
ˈʊ	ˈu	0.701
b	f	0.282
kʰ	ɡ̊	0.052
ŋ	j	0.262
ʒ	-	0.142
ˈaɪ̯	ˈəi̯	0.282
ˈaː	ˈiː	0.112
ˈaː	ˈɒː	0.542
ˈiː	ˈei̯	0.312
ˈiː	ˈi	0.332
ˈyː	ˈiː	0.822
ˈøː	ˈɒː	0.132
ˈøː	ˈu	0.172
ˈœ	ˈæ	0.092
ˈɛ	ˈɛ	0.052
ˈɛ	ˈaː	0.102
ˈɪ	ˈɒ	0.072
ˈɪ	ˈəi̯	0.102
ˈɪ	ˈiː	0.112
ˈʊ	ˈyː	0.052
b	b̥	0.693
d	s	0.273
m	n	0.103
n	ə	0.213
x	ʁ	0.093
ç	ʃ	0.363
ŋ	ŋ	0.683
ˈaɪ̯	ˈeː	0.163
ˈeɪ̯	ˈæː	0.313
ˈeː	ˈiː	0.273
ˈoː	ˈoː	0.373
ˈɔ	ˈoː	0.103
ˈɔ	ˈo	0.343
ˈɔʏ̯	ˈai̯	0.113
t	ʦ	0.364
tʰ	ʦ	0.844
ɐ	-	0.564
ɡ	x	0.054
ɡ	ʃ	0.254
ˈa	ˈɒ	0.904
ˈaɪ̯	ˈaː	0.104
ˈaʊ̯	ˈøː	0.054
ˈaʊ̯	ˈoː	0.204
ˈaʊ̯	ˈʊː	0.584
ˈoː	ˈɒ	0.204
ˈuː	ˈi	0.054
ˈø	ˈe	0.464
ˈœ	ˈu	0.254
ˈɔʏ̯	ˈeː	0.254
ˈɛɪ̯	ˈæː	0.654
ˈɪ	ˈe	0.064
ˈʏ	ˈi	0.404
ˈʏ	ˈu	0.484
d	ʦ	0.065
d	t	0.315
d	d̥	0.335
p	p	0.235
p	f	0.765
s	s	0.605
t	t	0.35
v	ʋ	0.925
x	-	0.45
ˈaː	ˈæ	0.105
ˈeɪ̯	ˈiː	0.05
ˈeː	ˈæ	0.385
ˈuː	ˈøi̯	0.075
ˈuː	ˈʊː	0.075
ˈøː	ˈoː	0.275
ˈøː	ˈi	0.275
ˈɪ	ˈi	0.65
f	-	0.056
f	f	0.846
m	ʁ_m	0.106
s	ʃ	0.296
t	s	0.286
tʰ	t	0.156
x	x	0.456
ŋ	v	0.056
ɐ	ʁ_ə	0.06
ˈa	ˈɒː	0.096
ˈaɪ̯	ˈei̯	0.146
ˈaɪ̯	ˈiː	0.266
ˈeː	ˈi	0.096
ˈiː	ˈiː	0.356
ˈuː	ˈyː	0.726
ˈø	w	0.536
ˈøː	ˈe	0.146
ˈɔ	ˈu	0.406
ˈɔʏ̯	ˈi	0.166
ˈɛɪ̯	ˈe	0.346
m	ə	0.127
m	m	0.597
n	n	0.77
ç	k	0.337
ɐ	ə	0.377
ɡ	k	0.267
ˈaʊ̯	ˈɒ	0.077
ˈeː	ˈu	0.067
ˈuː	ˈɔi̯	0.07
ˈœ	ˈi	0.147
ˈœ	ˈe	0.507
ˈʊ	ˈo	0.247
ˈʏ	ˈiː	0.07
kʰ	kʰ	0.948
l	l	0.988
ç	j	0.208
ʒ	j	0.858
ˈaʊ̯	ˈo	0.068
ˈeɪ̯	ˈəi̯	0.358
ˈeː	ˈɒː	0.068
ˈoː	ˈu	0.088
ˈyː	ˈi	0.178
ˈɔ	ˈɒ	0.148
ˈɔʏ̯	ˈʊː	0.078
ˈɔʏ̯	ˈu	0.078
ˈɛ	ˈæ	0.108
ˈɛ	ˈi	0.108
ˈɛ	ˈe	0.38
f	l_b̥	0.079
s	k_s	0.099
ˈeɪ̯	ˈeː	0.279
ˈoː	ˈæː	0.169
ˈœː	ˈe	0.529
