Fuzhounese	Fuzhounese	probability
⁵⁵	⁴²	1.0
ɥ_ŋ	ŋ	1.0
ɔ	-	1.0
ŋ_o	ŋ̍	1.0
³³	²¹³	1.0
²⁴	⁵	1.0
w_ŋ	ŋ	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
p_w	f	1.0
o_⁵³	o_³⁵	1.0
m	m	1.0
l̃	l	1.0
j_ʔ	t̚	1.0
j_e	i	1.0
j_a	a	1.0
a_j	ɛ	1.0
<#_ŋ	<#_nʲ	1.0
<#_h	<#	1.0
ʦʰ	ʦʰ	0.8
²⁴²	¹¹	0.75
²¹³	²¹³	0.75
kʰ	kʰ	0.75
e	ɛ	0.75
s	s	0.692
nˡ	nʲ	0.667
ŋ	n	0.63
a	a	0.609
⁵	⁵	0.6
j	j	0.6
⁵³	³⁵	0.576
ø	u	0.571
ʔ	t̚	0.565
ʦ	ʦ	0.556
p	p	0.556
ɑ	a	0.545
w	w	0.531
ɥ	u	0.5
ɛ	i	0.5
y	y	0.5
y	j_u	0.5
u	u	0.5
u	-	0.5
o_w	ɨ	0.5
o_w	u	0.5
i	i	0.5
h	f	0.5
ɑ	-	0.455
o	ɔ	0.444
ʔ	ʔ	0.435
ø	j	0.429
⁵³	²⁴	0.424
⁵	²	0.4
k	ʨ	0.385
k	k	0.385
ŋ	ŋ	0.37
nˡ	l	0.333
i	z̩	0.333
s	ɕ	0.308
ɛ	-	0.3
t	ʦ	0.3
t	tʰ	0.3
h	h	0.3
w	-	0.281
ɥ	ɛ	0.25
ɥ	-	0.25
²⁴²	²¹³	0.25
²¹³	³⁵	0.25
kʰ	ʨʰ	0.25
e	-	0.25
j	-	0.24
k	ʨʰ	0.231
ʦ	ʨʰ	0.222
ʦ	s	0.222
p	pʰ	0.222
p	f	0.222
o	ɵ	0.222
ʦʰ	ʨʰ	0.2
ɛ	ɛ	0.2
t	ʦʰ	0.2
t	t	0.2
h	y	0.2
i	-	0.167
a	ɛ	0.13
a	i	0.13
a	-	0.13
w	ɥ	0.125
o	ɨ	0.111
o	a_w	0.111
o	a	0.111
j	i	0.08
j	a	0.08
w	ɵ	0.062
