Westphalian	Scots	probability
#>	#>	0.85
#>	r_#>	0.118
<#	<#	1.0
b	b	0.84
b	-	0.062
b	p	0.053
b	tʰ	0.052
d	d	0.637
d	θ	0.229
d	ð	0.097
f	f	0.928
h	h	1.0
j	j	1.0
k	k	0.558
k	ʧ	0.222
k	kʰ	0.161
k	h	0.055
k_#>	#>	1.0
l	l	0.817
l	-	0.082
l	ɫ	0.061
m	m	1.0
m_#>	#>	1.0
n	n	0.909
n	-	0.052
n_#>	#>	1.0
p	p	0.896
p	d	0.083
r	r	0.944
r	ɹ	0.056
s	s	0.9
s	k_s	0.072
t	t	0.653
t	d	0.141
t	tʰ	0.122
v	v	0.422
v	w	0.238
v	-	0.223
w	w	0.892
w	ʍ	0.1
x	ɡ	0.52
x	x	0.325
x	-	0.073
x	j	0.073
z	z	1.0
ç	x	1.0
ç_#>	#>	1.0
ŋ	ŋ	0.819
ŋ	-	0.163
ɐ	ə	0.448
ɐ	r	0.417
ɐ	d_ə	0.079
ə	-	0.66
ə	ə	0.16
ə_#>	#>	1.0
ɡ	-	1.0
ɣ	-	0.608
ɣ	ɡ	0.26
ɪ	əi̯	0.758
ɪ	i	0.09
ʃ	s	0.548
ʃ	ʃ	0.449
ʃ_k	s	0.492
ˈa	ˈɑ	0.257
ˈa	ˈɑː	0.198
ˈa	ˈɪ	0.159
ˈa	ˈe	0.146
ˈa	ˈɛ	0.127
ˈa	ˈeː	0.051
ˈa_l	ˈɑː	1.0
ˈaɪ̯	ˈiː	0.469
ˈaɪ̯	ˈɛ	0.34
ˈaɪ̯	ˈɑː	0.101
ˈaɪ̯	ˈe	0.075
ˈaʊ̯	ˈei̯	0.388
ˈaʊ̯	ˈiː	0.284
ˈaʊ̯	ˈø	0.111
ˈaʊ̯	ˈi	0.085
ˈaː	ˈe	0.514
ˈaː	ˈɑ	0.289
ˈaː	ˈei̯	0.142
ˈeː	ˈe	0.636
ˈeː	ˈɑː	0.142
ˈeː	ˈʌʉ̯	0.1
ˈeː	ˈɛ	0.096
ˈiə̯	ˈɪ	1.0
ˈiɛ̯	ˈa	0.492
ˈiː	ˈəi̯	0.454
ˈiː	ˈɪ	0.128
ˈiː	ˈiː	0.112
ˈiː	ˈɛ	0.074
ˈiː	ˈaːɪ̯	0.061
ˈiː	ˈi	0.06
ˈiː	ˈe	0.052
ˈoː	ˈø	0.468
ˈoː	ˈɪ	0.376
ˈoː	ˈe	0.147
ˈuə̯	ˈø	0.574
ˈuə̯	ˈʉ	0.282
ˈuː	ˈʉ	0.685
ˈuː	ˈaːɪ̯	0.18
ˈuː	ˈʌ	0.11
ˈuːə̯	ˈɔ	0.583
ˈuːə̯	ˈɪ	0.263
ˈuːə̯	ˈiː	0.096
ˈyː	ˈəi̯	0.574
ˈyː	ˈɪ	0.162
ˈyː	ˈe	0.105
ˈyːœ̯	ˈʌʉ̯	1.0
ˈø	ˈiː	0.492
ˈøː	ˈiː	0.656
ˈøː	ˈɪ	0.219
ˈøː	ˈi	0.092
ˈœː	ˈɔ	0.373
ˈœː	ˈei̯	0.183
ˈɒː	ˈe	0.242
ˈɔ	ˈɑː	0.5
ˈɔ	ˈɔ	0.24
ˈɔ	ˈei̯	0.089
ˈɔː	ˈe	0.208
ˈɔː	ˈei̯	0.181
ˈɔː	ˈiː	0.181
ˈɔː	ˈeː	0.12
ˈɔː	ˈø	0.12
ˈɔː	ˈɛ	0.12
ˈɛ	ˈɪ	0.246
ˈɛ	ˈeː	0.241
ˈɛ	ˈi	0.12
ˈɛ	ˈɛ	0.12
ˈɛ	ˈɑ	0.087
ˈɛ	ə	0.073
ˈɛ	ˈəi̯	0.067
ˈɛː	ˈɛ	0.629
ˈɛː	ˈei̯	0.361
ˈɪ	ˈɪ	0.623
ˈɪ	ˈɛ	0.088
ˈɪ	ˈəi̯	0.077
ˈɪ	ˈɑ	0.057
ˈɪ	ˈe	0.056
ˈɪ	ˈɑː	0.056
ˈɪə̯	ˈɔ	0.53
ˈɪə̯	ˈəi̯	0.147
ˈɪə̯	ˈei̯	0.083
ˈɪɛ̯	ˈɛ	0.46
ˈɪɛ̯	ˈɪ	0.196
ˈɪɛ̯	ˈei̯	0.17
ˈɪɛ̯	ˈe	0.065
ˈɪɛ̯	ˈɑː	0.064
ˈʊ	ˈʉ	0.486
ˈʊ	ˈʌ	0.274
ˈʊ	ˈɔ	0.202
ˈʏ	ˈɪ	0.715
ˈʏ	ˈʌʉ̯	0.28
