Walloon	Walloon	probability
ˈɛ̃ː_n	ŋ_a	1.0
ˈɛ_ʧ	ˈe_k	1.0
ˈɛ_ʀ	w_ˈɛː	1.0
ˈɛ_s	s_t	1.0
ˈɛ_#>	u_#>	1.0
ˈœ̃	ˈy_ɲ	1.0
ˈøː_ʀ	ˈe_j	1.0
ˈẽ_#>	#>	1.0
ˈeː	ˈeː	1.0
ʒ	ʒ	1.0
ʀ_#>	#>	1.0
ɲː	z_e_n	1.0
ɡ	ɡ	1.0
ɔ̃	u_ŋ	1.0
ɑ̃	a_ŋ	1.0
z	ˈaː	1.0
uː	y	1.0
t_#>	#>	1.0
p_l	ʧ	1.0
p	p	1.0
m	m	1.0
k_l	ʧ	1.0
j_#>	#>	1.0
ẽ	i_ŋ	1.0
d	d	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f_l	<#_ʃ	1.0
<#_a	<#_a	1.0
v	v	0.92
k	k	0.905
s	s	0.895
b	b	0.857
ʧ	k	0.812
ˈe	ˈaː	0.786
f	f	0.759
ˈa_#>	l_u_#>	0.75
ˈɔ̃	ˈu_ŋ	0.733
i	-	0.714
t	t	0.684
ˈɛː	ˈɛː	0.667
ˈɑ̃	ˈa_ŋ	0.667
ˈẽ	ˈi_ŋ	0.667
ʤ	z	0.667
ˈu	-	0.6
ɲ	ɲ_a	0.6
ʀ	r	0.595
ˈoː	-	0.571
ˈøː	ˈuː	0.556
ˈy	ˈy	0.5
ˈy	-	0.5
ˈi	ˈiː	0.5
ˈa	ˈa	0.467
ˈuː	ˈøː	0.462
ɛ	-	0.455
#>	u_#>	0.449
ˈoː	ˈɔː	0.429
l	-	0.429
a	a	0.417
a	-	0.417
ˈu	ˈu	0.4
ɲ	ɲ	0.4
ɔ	-	0.385
ˈɛ̃	ŋ	0.375
ˈɔ	ˈu	0.368
ɛ	e	0.364
ʃ	ʃ	0.357
ʃ	s	0.357
n	ŋ_a	0.357
n	n	0.357
l	l	0.357
ˈɛː	j	0.333
ˈɑ̃	ˈa	0.333
ˈi	ˈi	0.333
ˈẽ	ŋ	0.333
ʤ	ʤ	0.333
ˈɛ̃	ˈe_ŋ	0.312
ˈɔː	ˈa	0.308
ˈɔː	-	0.308
ɔ	w	0.308
#>	a_#>	0.305
i	e	0.286
ˈiː	ˈaː	0.278
ˈa_#>	#>	0.25
ˈɔː	ˈaː	0.231
ˈuː	ˈu	0.231
ˈøː	ˈøː_ɡ	0.222
ˈøː	-	0.222
ˈiː	ˈiː	0.222
ˈiː	ˈeː	0.222
ˈe	ˈɛː	0.214
l	ˈa	0.214
j	ˈe	0.212
#>	e_#>	0.212
ˈɔ	ˈɔ	0.211
t	t_r	0.211
w	ˈɔː	0.207
ˈa	r	0.2
ˈa	-	0.2
ʀ	-	0.189
ˈɛ̃	ˈa_ŋ	0.188
ɛ	a	0.182
j	a	0.182
ˈɛ	ˈɛː	0.174
ˈɛ	ˈɛ	0.174
ˈɛ	ˈe	0.174
ˈɛ	ʒ_e	0.174
ˈɛ	-	0.174
w	w	0.172
w	-	0.172
ˈiː	-	0.167
ˈi	-	0.167
a	ˈaː	0.167
ʀ	e	0.162
ˈɔː	ˈaː_r	0.154
ˈuː	ˈø	0.154
ˈuː	-	0.154
ɔ	ˈɔ	0.154
ɔ	j	0.154
j	ʤ_a	0.152
j	-	0.152
ʃ	ʒ	0.143
ʃ	-	0.143
n	ŋ	0.143
n	a	0.143
b	-	0.143
w	ˈuː	0.138
w	ˈe	0.138
ˈɔ̃	ŋ	0.133
ˈɔ̃	-	0.133
ˈa	r_t	0.133
ˈɛ	ˈi	0.13
ˈɛ̃	ˈa	0.125
ʧ	k_a	0.125
ˈiː	ˈeː_ʤ	0.111
ˈɔ	ˈø	0.105
ˈɔ	ˈy_t	0.105
ˈɔ	w_ˈiː	0.105
ˈɔ	-	0.105
t	s_a	0.105
w	ˈa	0.103
f	v	0.103
k	-	0.095
j	u	0.091
j	e	0.091
v	-	0.08
w	ˈe_j	0.069
f	v_j	0.069
f	a_v	0.069
ʧ	sː	0.062
j	ˈɛ	0.061
j	ɡ_a	0.061
ʀ	v_e	0.054
s	z	0.053
s	-	0.053
