Megleno-Romanian	Megleno-Romanian	probability
ˈu_ŋ	ˈũ	1.0
ˈi_n	ˈẽ	1.0
ˈa_p	ˈa	1.0
ʤ	ʒ	1.0
ʒ	ʒ	1.0
ʃ	s	1.0
ɲ	-	1.0
ɡ_ʎ	ʤ	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ə	a	1.0
w_ə_#>	#>	1.0
w_ə	f	1.0
w	f	1.0
v	v	1.0
t_i_#>	#>	1.0
s	s	1.0
r_i	l	1.0
n_e	ẽ	1.0
n_#>	#>	1.0
kʲ	p	1.0
k_#>	#>	1.0
j_n_i_#>	#>	1.0
j	-	1.0
f	f	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_j	<#	1.0
n	n	0.84
i	-	0.84
l	l	0.826
r	r	0.818
m	m	0.778
b	b	0.778
k	k	0.773
d	d	0.714
u	-	0.7
<#	<#_f	0.667
t	t	0.65
<#_ˈa	<#_ˈa	0.6
p	p	0.562
ˈe	ˈɛ	0.533
ˈɔ	ˈã	0.5
ˈi	-	0.5
z	d	0.5
z	-	0.5
a	e	0.5
a	-	0.5
#>	k_#>	0.5
#>	a_#>	0.5
p	-	0.438
ʦ	s	0.4
<#_ˈa	<#	0.4
ˈo	ˈɔ	0.385
ˈo	ˈøː	0.385
o̯ˈa	ˈøː	0.375
o̯ˈa	-	0.375
e̯ˈa	ˈeː	0.375
e̯ˈa	-	0.375
ˈu	ˈuː	0.357
ʎ	ˈøː_l	0.333
ʎ	l	0.333
ʎ	-	0.333
<#	<#_p	0.333
ˈa	ˈɑː	0.32
ˈi	ˈẽ	0.3
ʦ	ʧ	0.3
ʦ	-	0.3
u	r	0.3
d	t	0.286
ˈa	ˈɛ	0.28
ˈe	ˈeː	0.267
ˈɔ	ˈɑː	0.25
ˈɔ	-	0.25
o̯ˈa	ˈɔ	0.25
e̯ˈa	ˈɛ	0.25
ˈo	ˈu	0.231
k	-	0.227
m	-	0.222
b	-	0.222
ˈu	ˈu	0.214
ˈi	j	0.2
ˈe	-	0.2
ˈa	ˈa	0.2
t	-	0.2
l	j	0.174
n	-	0.16
i	i	0.16
t	d	0.15
ˈu	ˈɔ	0.143
ˈu	ˈyː	0.143
ˈu	ˈi	0.143
ˈa	-	0.12
r	l	0.091
r	e	0.091
ˈa	a	0.08
