Latin	Gascon	probability
f	h	1.0
kː	k	1.0
tː	t	1.0
ˈau̯	ˈa_w	1.0
ˈeː	ˈe	1.0
ˈi	ˈi	1.0
ˈuː	ˈy	1.0
aː	a	0.821
eː	<#_a	0.091
lʲ	l	0.651
s	e_s	0.111
ŋ	n	0.191
ɛ̃ː	-	0.661
ɡ	ʒ	0.241
ɫ	ʎ	0.061
ɫ	-	0.131
ˈaː	-	0.071
ˈaː	ˈɛ	0.271
ãː	ɔ	0.892
d	ʤ	0.052
e	j	0.872
iː	-	0.662
k	-	0.582
s	z	0.12
s	s	0.752
t	t	0.412
ɔ	a	0.272
ɛ	e	0.572
ˈu	ˈy	0.822
d	-	0.473
eː	<#_e	0.183
j	-	0.183
k	ɣ	0.063
l	l	0.923
lʲː	ɾ	0.153
r	a_r	0.073
t	j	0.103
ɛ	-	0.313
ɛ̃ː	e	0.163
ɪ	nː	0.103
ʊ	ˈe	0.483
ae̯	a	0.14
aː	ˈa	0.084
n	n	0.604
oː	ˈu	0.194
t	ʦ	0.064
ɪ	-	0.504
ɫ	w	0.254
ɫ	l	0.554
ʊ̃ː	e	0.464
ˈiː	ˈi	0.804
ˈoː	ˈu	0.804
ˈɔ	ˈu	0.24
ˈɛ	ˈɛ	0.454
ˈʊ	ˈu	0.664
aː	-	0.095
b	-	0.155
b	β	0.365
i	-	0.855
kʷ	-	0.15
kʷ	k	0.85
m	-	0.145
m	m	0.855
p	β	0.225
w	w	0.135
ŋ	ŋ	0.75
ɡ	ɡ	0.265
ɪ	e	0.35
a	-	0.056
ae̯	e	0.86
d	d	0.416
eː	e	0.726
i	ˈe	0.096
k	k	0.326
oː	u	0.806
p	p	0.666
r	ɾ	0.426
w	b	0.676
ɛ̃ː	i	0.176
ɡ	-	0.416
ˈa	ˈa	0.936
ˈiː	-	0.196
ˈoː	ˈe	0.196
ˈɔ	ˈɔ	0.526
ˈʊ	ˈy	0.336
a	e	0.107
j	ʒ	0.817
l	-	0.077
n	ŋ	0.097
n	-	0.267
t	-	0.127
t	ð	0.227
ɔ	-	0.217
ɔ	u	0.477
ɛ	ˈe	0.077
ʊ	-	0.517
a	a	0.788
ãː	-	0.08
b	b	0.48
e	ɔ	0.128
iː	i	0.338
lʲː	-	0.088
r	-	0.278
ˈaː	ˈa	0.658
ˈu	-	0.178
ˈɛ	ˈe	0.438
ˈɪ	ˈe	0.878
d	ð	0.059
lʲ	-	0.349
lʲː	t	0.069
lʲː	l	0.69
p	-	0.109
r	r	0.219
w	β	0.159
ŋ	-	0.059
ʊ̃ː	-	0.49
ˈɔ	w	0.199
ˈɪ	ˈi	0.089
