Emilian	Campidanese	probability
f	f	1.0
o	u	1.0
w	w	1.0
ˈaː	ˈa	1.0
ˈæ	ˈe	1.0
ˈɛː	ˈe	1.0
e	r_i	0.101
k	k_r	0.051
l	l_u	0.191
n	n	0.991
p	b	0.091
r	rː	0.101
ð	z	0.081
ɡ	ɡ	0.571
ɲ	nː	0.541
ʧ	j	0.101
b	-	0.252
e	-	0.102
j	r	0.362
m	m_i	0.102
s	ʃː	0.152
v	-	0.172
ʧ	ʧ	0.122
ˈa	ˈe	0.162
j	-	0.593
l	l	0.503
t	t_u	0.203
t	t	0.563
v	β_u	0.053
ŋ	ŋ	0.143
ŋ	n_u	0.23
ŋ	n	0.403
ˈa	ˈa	0.573
ˈiː	i	0.3
ˈɔː	ˈo	0.953
ˈʌ	ˈu	0.433
i	-	0.084
k	k_u	0.054
s	-	0.064
s	s	0.784
t	ð	0.064
u	o	0.684
z	ʒ_i	0.564
ˈe	ˈe	0.244
ˈuː	ˈo	0.244
ˈɔ	ˈo	0.824
ˈʌu̯	ˈu	0.44
θ	-	0.194
l	-	0.055
r	-	0.15
u	u	0.15
ŋ	n_i	0.145
ɡ	-	0.115
ɡ	ɣ_u	0.185
ˈa	ˈi	0.265
ˈiː	ˈi	0.155
ˈo	ˈu	0.555
i	i	0.916
k	k	0.816
l	ɖː	0.106
p	p	0.876
r	r_i	0.216
u	ˈo	0.166
ˈe	ˈi	0.756
ˈuː	ˈu	0.756
ˈɔ	ˈu	0.176
ˈʌu̯	ˈo	0.56
e	i	0.37
e	e	0.427
l	ɖː_u	0.07
m	m	0.887
t	t_i	0.17
v	b	0.547
z	z_u	0.317
ˈɛ	ˈa	0.767
ˈʌ	ˈo	0.567
θ	t	0.157
b	b	0.748
d	d	0.468
k	-	0.08
r	r_e	0.068
v	β	0.128
ð	ʤ	0.68
ʧ	j_u	0.588
a	a	0.869
d	-	0.089
d	ð	0.399
r	r_u	0.109
r	r	0.319
v	j	0.069
ð	-	0.239
ŋ	m	0.079
ɡ	ɣ	0.129
ɲ	n	0.459
ʧ	-	0.189
ˈiː	ˈe	0.499
ˈo	ˈo	0.399
ˈɛ	ˈe	0.229
θ	ʧ	0.649
