Lengadocian	Lengadocian	probability
ˈɛ_ʧ	j_t	1.0
ˈɛ_ʀ	ˈɛ_r	1.0
ˈɛ_#>	ˈe_r_#>	1.0
ˈɔ_ʀ	ˈɔ_r	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈu_#>	ˈũ_n_#>	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈa_w	ˈɔ	1.0
ˈa_l	ˈa_l	1.0
ˈa_j	ˈɛ	1.0
ˈa_#>	ˈe_r_#>	1.0
ʎ	ʎ	1.0
ɾ_e	r	1.0
ɾ	r	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð_ɔ	ə	1.0
y	-	1.0
w_k	j	1.0
w_#>	f_#>	1.0
t_ɾ	t_r	1.0
t_ɔ	t_ə	1.0
s_ˈɛ	ʦ_ˈẽ	1.0
s_ˈe	s_ˈɛ	1.0
s_k	s_k	1.0
s_#>	s_#>	1.0
p_ˈa	p_ˈɔ	1.0
nː	ˈã_m	1.0
n_#>	n_t_#>	1.0
mː	ˈã	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
k_ɾ	k_r	1.0
j_ˈɛ	ˈi	1.0
j_#>	j_#>	1.0
i_#>	#>	1.0
f	f	1.0
e_ʀ	ɛ_r	1.0
e_ð	ə	1.0
e_#>	#>	1.0
d	d	1.0
a_w	ɔ	1.0
<#_ˈa	<#_ˈã	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
ɔ	ə	0.97
p	p	0.914
n	n	0.906
ʀ	r	0.846
t	t	0.84
j	j	0.812
l_#>	l_#>	0.783
ʤ	ʤ	0.75
i	i	0.75
e	ə	0.739
ɲ	ɲ	0.727
ʦ	j_s	0.714
u	u	0.706
ˈi	ˈi	0.6
ð	j	0.6
m_#>	m_#>	0.6
a	a	0.583
s	s	0.581
ˈy	ˈy	0.579
k_#>	k_#>	0.556
b	v	0.556
ɥ	ˈy	0.5
ɥ	w	0.5
ˈu	ˈu	0.483
ˈɛ	ˈɛ	0.472
β	v	0.467
k	ʧ	0.463
k	k	0.463
#>	n_#>	0.448
ɣ	ɡ	0.444
k_#>	#>	0.444
z	-	0.429
s	ʦ	0.419
ˈɔ	w	0.417
ð	-	0.4
m_#>	n_#>	0.4
b	b	0.389
ˈa	ˈa	0.35
ʧ	t	0.333
ʧ	j_t	0.333
ʧ	-	0.333
ɣ	-	0.333
ˈu	ˈũ	0.31
#>	r_#>	0.31
ˈi	ˈĩ	0.3
ʦ	s	0.286
z	z	0.286
z	j_z	0.286
ɲ	j_n	0.273
β	b	0.267
w	w	0.267
ˈe	ˈɔ_j	0.265
ˈɔ	-	0.25
ʤ	-	0.25
i	ĩ	0.25
ˈe	ˈɔ	0.235
ɣ	j	0.222
l_#>	ʎ_#>	0.217
ˈy	ˈỹ	0.211
ˈy	-	0.211
a	ə	0.208
a	ã	0.208
w	j	0.2
w	-	0.2
ˈɛ	ˈẽ	0.194
j	-	0.188
ˈa	ˈã_j	0.183
u	-	0.176
#>	ə_#>	0.172
ˈɔ	ˈɛ	0.167
ˈɔ	ˈũ	0.167
ʀ	ˈɛ_r	0.154
ˈa	ˈã	0.15
β	ˈɛ_v	0.133
β	-	0.133
w	ˈɛ_f	0.133
w	v	0.133
ˈe	ˈẽ	0.118
u	ũ	0.118
ˈa	ˈɛ	0.117
ˈi	-	0.1
n	-	0.094
ˈe	ˈe	0.088
e	r_ə	0.087
e	-	0.087
p	-	0.086
ˈɛ	j_ˈɛ	0.083
ˈɛ	j	0.083
ˈa	ˈe	0.083
ˈa	j	0.083
t	θ	0.08
t	-	0.08
k	ʧ_j	0.073
ˈu	ˈɔ	0.069
ˈu	ˈy	0.069
ˈu	-	0.069
#>	ˈũ_n_#>	0.069
w	ˈo	0.067
ˈe	ˈɛ	0.059
ˈe	ˈi	0.059
ˈe	ˈẽ_j	0.059
ˈe	o	0.059
ˈe	-	0.059
ˈɛ	ˈi	0.056
ˈɛ	ˈe	0.056
ˈɛ	-	0.056
b	-	0.056
