Kashubian	Macedonian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_j_ˈɛ	<#_ˈɛ	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_u̯ˈɛ	<#_ˈo	1.0
<#_v	<#_v	1.0
<#_w_ˈʉ	<#_ˈu	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʣ	<#_d	1.0
<#_ʦ	<#_t	1.0
a_#>	a_#>	1.0
a_ŋ	ɛ	1.0
b	b	1.0
d	d	1.0
f_#>	f_#>	1.0
j	-	1.0
j_ˈa	ˈɛ	1.0
j_ˈa_ŋ	ˈɛ	1.0
j_ˈɞ	ˈɛ	1.0
k	k	1.0
k_#>	k_#>	1.0
l_#>	ɫ_#>	1.0
m	m	1.0
m_ə	u_m	1.0
n	n	1.0
n_#>	n_#>	1.0
p_#>	p_#>	1.0
r	r	1.0
s	s	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t	t	1.0
t_#>	t_#>	1.0
u̯ɛ_#>	o_#>	1.0
u̯ˈɛ	ˈo	1.0
u̯ˈɛ_ʐ	ˈo_r	1.0
v	v	1.0
v_j	v	1.0
w	ɫ	1.0
w_ˈu	ˈo	1.0
w_ˈɔ	ɫ_ˈa	1.0
z	z	1.0
ŋ	-	1.0
ɔ_#>	o_#>	1.0
ə	i	1.0
ɛ	ɛ	1.0
ɡ	ɡ	1.0
ɲ	n	1.0
ɲ_#>	n_#>	1.0
ʃ	ʃ	1.0
ʣ	d	1.0
ʦ_ɛ	ʦ_ɛ	1.0
ʧ	t	1.0
ʧ_i	o_k	1.0
ˈa	ˈa	1.0
ˈa_r	r_ˈa	1.0
ˈe	ˈɛ	1.0
ˈe_k	ˈɛ_k	1.0
ˈi	ˈi	1.0
ˈõ	ˈa	1.0
ˈu	ˈo	1.0
ˈɔ	ˈo	1.0
ˈɔ_n	n	1.0
ˈə	ˈi	1.0
ˈɛ	ˈɛ	1.0
ˈɛ_r	ˈr̩	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈɞ_w	ˈo_ɫ	1.0
i_#>	k_#>	0.182
l	l	0.714
x	f	0.4
ʦ_#>	ɛ_#>	0.4
l	ɫ	0.286
x	<#	0.6
ʦ_#>	t_#>	0.6
i_#>	#>	0.818
