Romansch	Romansch	probability
ˈuɔ̯	ˈu	1.0
ˈu_s	ˈo_j	1.0
ˈo	-	1.0
ˈiə̯	ˈe	1.0
ˈaː_d	ˈa_t	1.0
ˈaː	ˈa	1.0
ʨ_#>	p_t_e_#>	1.0
ʦ	-	1.0
ʥ	ʒ	1.0
ʒ	z	1.0
ʃ_#>	ʧ_e_#>	1.0
ɲ	n	1.0
ə_#>	#>	1.0
z	-	1.0
w_n	n	1.0
v_ə	e	1.0
t_s	ʦʲ	1.0
s_#>	#>	1.0
r_ˈiː	r_ˈi	1.0
r_ʨ	r_k	1.0
r_t	r_t	1.0
r_#>	#>	1.0
p	p	1.0
o	u	1.0
n_s	nʲ	1.0
n	n	1.0
m	m	1.0
k	k	1.0
j_ˈɛ	ˈo	1.0
f	f	1.0
e	e	1.0
b	b	1.0
<#_ˈɛ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʧ	1.0
<#_t	<#_t	1.0
<#_s	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_j	1.0
r	r	0.87
#>	e_#>	0.839
ˈiː	ˈi	0.833
t	t	0.783
ʨ	k	0.762
s	s	0.76
n_#>	n_#>	0.75
v	v	0.722
ˈeː	ˈe	0.714
u	u	0.714
l_#>	r_#>	0.714
ɡ	ɡ	0.7
ˈu	ˈu	0.696
ˈuː	ˈu	0.667
ˈi	ˈi	0.667
ˈe	-	0.625
ˈɔ	ˈo	0.615
ˈɔː	ˈo	0.6
ə_r	e_r	0.6
ŋ	-	0.6
ʃ	s	0.571
ə	ə	0.569
ˈɛː	ˈe_l	0.5
ˈɛː	-	0.5
ʧ	ʦ	0.5
ʧ	k	0.5
i	e	0.5
i	-	0.5
f_#>	w_#>	0.5
f_#>	#>	0.5
ˈa	ˈa	0.469
j	j	0.444
l	l	0.435
d	d	0.409
ˈɔː	o̯ˈa	0.4
ʎ	kʲ	0.4
ə_r	r	0.4
ŋ	n	0.4
ˈe	ˈe	0.375
ˈuː	o̯ˈa	0.333
ˈi	ˈu	0.333
j	-	0.333
ˈa_j	ˈe_r	0.308
ˈa_j	e̯ˈa	0.308
l	-	0.304
ˈɛ	j_ˈe	0.3
ɡ	b	0.3
w	p	0.294
ˈeː	-	0.286
u	o	0.286
l_#>	#>	0.286
ˈa	ˈɨ	0.281
d	t	0.273
l	r	0.261
ˈɛ	ˈi	0.25
ˈɛ	ˈe	0.25
n_#>	#>	0.25
s	ʃ	0.24
ˈɔ	o̯ˈa	0.231
ˈa_j	ˈi	0.231
d	z	0.227
j	ɡ	0.222
ʃ	ʤ	0.214
ʃ	ʃ_t	0.214
ˈɛ	-	0.2
ʎ	k	0.2
ʎ	e	0.2
ʎ	-	0.2
w	w	0.176
w	k	0.176
ˈu	ˈo	0.174
ˈiː	-	0.167
v	b	0.167
ə	e	0.155
ˈɔ	ˈɨ	0.154
ˈa_j	ˈe	0.154
ˈu	o̯ˈa	0.13
t	d	0.13
ˈa	ˈe	0.125
#>	ə_#>	0.125
w	ˈau̯	0.118
w	l	0.118
w	j	0.118
v	-	0.111
ə	-	0.103
ʨ	ʧ	0.095
ʨ	p_t	0.095
r	e	0.093
d	-	0.091
t	ʦ	0.087
ə	a	0.086
ˈa	t_ˈi	0.062
ˈa	-	0.062
ə	i	0.052
