Old West Norse	Limburgish	probability
θ	d	1.0
ˈɛi̯	ˈɛː	1.0
ˈɔː	ˈɔ	1.0
ˈɑ_l	ˈaː	1.0
ˈøy̯	-	1.0
ˈuː_ɣ	ɣ	1.0
ˈu_ŋ	ˈʊ	1.0
ʦ	t	1.0
ʝː	ɡ	1.0
ɾ	-	1.0
ɡː	-	1.0
ɡ_r̥	ə_ʀ	1.0
ɑː	i	1.0
ɑ	ə	1.0
ŋ	ŋ	1.0
ç	ɦ	1.0
x_w	β	1.0
v_r̥	v̥	1.0
t	t	1.0
sː	-	1.0
s_ˈy	z	1.0
s_t	s	1.0
s_c	ʃ	1.0
r̥ː	ʀ	1.0
r_ð	ʀ_d̥	1.0
r_t	ʀ_t	1.0
r_n	ʀ	1.0
r_i	ʀ	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
n̥	n	1.0
n	n	1.0
m	m	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
j_ˈɔ	ˈeː	1.0
j_ˈɑ	ˈæː	1.0
j_ˈuː	ˈeː	1.0
j_ˈoː	ˈeː	1.0
j_ɑ	ə	1.0
i_r̥	ə_ʀ	1.0
h	ɦ	1.0
f_r̥	v̥	1.0
f	v	1.0
e	ˈɪ	1.0
d_r̥	d̥	1.0
cː	-	1.0
cʰ	k	1.0
b	b	1.0
lː	l	0.934
l	l	0.92
ɣ	ɣ̊	0.858
d	d	0.855
r	ʀ	0.803
s_k	s	0.756
tː	x	0.731
ˈeː	ˈeː	0.725
ˈuː	ˈuː	0.719
ɟ	ɣ	0.719
a	ə	0.714
k	k	0.687
ˈoː	ˈʊː	0.664
ˈyː	-	0.657
ˈiː	ˈiː	0.652
ˈa	-	0.648
u	ə	0.644
c	k	0.638
ˈɛ	ˈɑ	0.635
s	z	0.599
i	ə	0.577
j	-	0.571
ˈɛː	ˈi	0.566
ˈøː	ˈøː	0.557
ˈo	ˈʊː	0.55
v	β	0.547
ɡ	k	0.529
nː	n	0.499
ˈi	ˈɪː	0.494
ˈɑ	ˈaː	0.479
ɡ	-	0.471
ˈɑː	ˈɒː	0.469
ˈɔ	ˈɛː	0.463
ˈy	-	0.456
ˈøː	-	0.443
ˈɛː	-	0.434
j	ˈeː	0.429
r̥	ʀ	0.425
i	-	0.423
ˈe	ˈeː	0.399
ð	d̥	0.395
ˈu	ˈʊː	0.387
ˈe	-	0.384
ˈɛ	ˈeː	0.365
c	n_s	0.362
v	v	0.359
ˈɑu̯	ˈu	0.356
u	-	0.356
ˈa	ˈaː	0.352
ˈiː	-	0.348
r̥	ɣ̊	0.347
ˈyː	ˈœi̯	0.343
ˈɑu̯	ˈɔː	0.33
ˈɔ	ˈɑː	0.317
ˈɑu̯	-	0.314
ð	j	0.307
ð	-	0.298
ˈy	ˈœ	0.288
a	-	0.286
ˈuː	-	0.281
ɟ	-	0.281
ˈeː	ˈi	0.275
s	s	0.272
tː	t	0.269
ˈy	ˈøː	0.256
s_k	ʃ	0.244
r̥	ə_ʀ	0.228
ˈɔ	-	0.22
ˈi	-	0.211
nː	-	0.211
r	ʀ_ə	0.197
ˈo	-	0.181
ˈu	ˈɔ	0.175
nː	n_d	0.175
ˈɑ	ˈɑ	0.173
ˈo	ˈœː	0.169
ˈoː	ˈoː	0.168
ˈoː	-	0.168
ˈɑː	-	0.16
d	d̥	0.145
k	x	0.144
ɣ	ɣ_ə	0.142
ˈɑː	ˈɑ	0.141
ˈu	-	0.14
ˈɑː	ˈi	0.139
ˈi	ˈɛ	0.128
ˈe	ˈɛ	0.128
s	-	0.128
ˈɑ	ˈɑː	0.125
nː	ˈɪ_n	0.114
k	s	0.112
ˈu	ˈoː	0.108
ˈɑ	ˈæː	0.101
ˈo	ˈoː	0.1
v	v̥	0.094
ˈɑː	ˈʊː	0.091
ˈe	ˈɪː	0.088
ˈu	ˈɔu̯	0.083
ˈi	ˈɪ	0.083
ˈi	ˈɛː	0.083
l	j	0.08
lː	w	0.066
ˈɑ	ˈæ	0.061
ˈɑ	-	0.061
k	ə_k	0.057
ˈu	ˈɔː	0.055
ˈu	ˈeː	0.052
