Belarusian	Štokavian	probability
ˈɵ_r	r̂ː	1.0
ˈɛ	êː	1.0
ˈu	ûː	1.0
ˈo_w	ûː	1.0
ˈo_#>	o_#>	1.0
ˈe_r	r̩̂	1.0
ʧ	ʧ	1.0
ʦʲ	t	1.0
ʦ	ʦ	1.0
ʣʲ	d	1.0
ʐ	ʒ	1.0
ʂ	ʒ	1.0
ɫ	l	1.0
ɨ_#>	#>	1.0
ɨ	iː	1.0
ɣ	ɡ	1.0
zʲ	z	1.0
z	z	1.0
v	ʋ	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
pʲ	p	1.0
p_#>	b_#>	1.0
p	p	1.0
n	n	1.0
m	m	1.0
kʲ	a	1.0
k	k	1.0
j	j	1.0
i_#>	#>	1.0
i	k	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a_#>	#>	1.0
<#_ʦʲ	<#_t	1.0
<#_v	<#	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
<#_k	<#	1.0
<#_a	<#_ǒ	1.0
t	t	0.882
ˈa	a	0.875
mʲ	m	0.714
vʲ	ʋ	0.667
nʲ	n	0.667
x	x	0.625
ˈi	î	0.6
e	e	0.6
ˈæ	êː	0.5
ˈæ	e	0.5
æ	ě	0.5
w	ʋ	0.5
w	û	0.5
lʲ	ʎ	0.5
lʲ	l	0.5
ˈe	ê	0.438
ˈi	i	0.4
e	a	0.4
ˈe	j_êː	0.375
x	ɡ	0.375
ˈɨ	îː	0.333
ˈɨ	î	0.333
ˈɨ	i	0.333
vʲ	ʋ_j	0.333
nʲ	ɲ	0.333
mʲ	m_j	0.286
a	o	0.282
ˈo	ôː	0.276
ˈo	ô	0.276
æ	ěː	0.25
æ	eː	0.25
ˈe	e	0.188
a	a	0.179
ˈo	â	0.138
a	ǒ	0.128
ˈa	â	0.125
t	d	0.118
ˈo	-	0.103
a	e	0.077
a	-	0.077
ˈo	ê	0.069
ˈo	âː	0.069
ˈo	a	0.069
a	ô	0.051
a	k	0.051
a	ěː	0.051
a	ě	0.051
a	ǎː	0.051
