Mainland North Frisian	East Low German	probability
ˈɛ_#>	ˈiː_#>	1.0
ˈɛ	ˈɔʏ̯	1.0
ˈɔu̯	ˈɒː	1.0
ˈɔ	ˈuː	1.0
ˈœː	ˈuː	1.0
ˈyː	ˈaʊ̯	1.0
ˈiː_#>	ˈae̯_#>	1.0
ˈaː	ˈœː	1.0
ˈai̯	ˈɪ	1.0
ˈa_ʀ	ˈaː	1.0
ʃ	ʃ	1.0
ʀ_s	s	1.0
ʀ_n	æ_n	1.0
ə_ʀ	æ	1.0
ə_#>	#>	1.0
ç	ç	1.0
z̥	d	1.0
z_ə	t_n	1.0
v̥	f	1.0
v_ə	m	1.0
t_ʀ	d_r	1.0
s_l	ʃ_l	1.0
s_#>	s_#>	1.0
p	p	1.0
n_ə	n	1.0
m	m	1.0
l_ˈa	l_ˈɪ	1.0
l_ə	l	1.0
l	l	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
dʲ_ə	d_n	1.0
dʲ	t	1.0
d_ə	ŋ	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
n	n	0.938
ŋ	ŋ	0.833
ˈiː	ˈae̯	0.8
v	v	0.8
tʲ	t	0.8
ˈɒ	ˈa	0.75
ɡ	ɡ	0.727
d	d	0.714
ə	n	0.667
x	x	0.667
j	ɡ	0.667
d̥	t	0.667
ˈa	ˈɪ	0.625
nʲ	n	0.625
s	z	0.613
t	t	0.609
ˈɛː	ˈɛː	0.6
ˈɛi̯	ˈɒː	0.6
ˈʏ	ˈuː	0.583
k_ə	k_n	0.571
k	kʰ	0.562
#>	ç_#>	0.545
ʀ	r	0.516
ˈœ	ˈaʊ̯	0.5
ˈi	ˈɪ	0.5
ˈi	ˈiː	0.5
lʲ	l_t	0.5
lʲ	l	0.5
ˈuː	ˈaʊ̯	0.455
#>	d_#>	0.455
ˈʊ	ˈʊ	0.45
k	k	0.438
k_ə	k	0.429
ˈɛː	-	0.4
ˈɛi̯	ˈɔʏ̯	0.4
ʀ	æ	0.387
ˈa	ˈʏ	0.375
nʲ	n_d	0.375
ˈɔː	ˈɔ	0.333
ˈɔː	ˈœː	0.333
ˈɔː	ˈa	0.333
ˈœ	ˈa	0.333
x	ç	0.333
j	ˈɒː	0.333
d̥	d	0.333
s	ʃ	0.29
d	ɾ	0.286
ˈuː	ˈuː	0.273
ˈuː	ˈa	0.273
ˈeː	ˈʏ	0.273
ˈeː	ˈɛ	0.273
ˈeː	ˈa	0.273
ɡ	j	0.273
ˈʏ	ˈʏ	0.25
ˈɒ	ˈɛ	0.25
tʲ	d	0.2
ˈeː	-	0.182
t	tʰ	0.174
ˈʏ	ˈʊ_n	0.167
ˈœ	ˈɔ	0.167
ŋ	ç	0.167
t	d	0.152
ˈʊ	ˈɪ	0.15
v	w	0.12
ə	ɡ	0.111
ə	m	0.111
ə	-	0.111
ˈʊ	ˈʏ	0.1
ˈʊ	ˈɛ	0.1
ˈʊ	ˈa	0.1
ˈʊ	-	0.1
ˈiː	ˈiː	0.1
ˈiː	ˈeː	0.1
ʀ	ˈaː	0.097
s	s	0.097
v	-	0.08
t	-	0.065
n	-	0.062
