Dutch	Saterland Frisian	probability
b	b	1.0
d	d	0.655
d	-	0.188
d	t	0.157
f	f	0.462
f	v	0.196
f	x	0.139
f	-	0.133
f	m	0.063
i	i	1.0
j	j	1.0
k	k	0.803
k	s	0.197
m	m	1.0
n	n	0.933
p	p	1.0
s	s	0.898
s	z	0.065
t	t	0.657
t	d	0.28
v	f	0.825
v	v	0.085
v	-	0.051
w	ˈɛɪ̯	0.795
w	-	0.205
z	s	0.889
z	z	0.111
ŋ	ŋ	0.75
ŋ	x	0.25
ə	ə	0.778
ə	j_ə	0.119
ə	-	0.097
ɦ	h	0.982
ɪ	ə	0.663
ɪ	ɪ	0.337
ɫ	l	0.935
ɾ	r	0.948
ɾ	-	0.052
ʋ	v	0.903
ʋ	-	0.054
ˈaː	ˈoː	0.253
ˈaː	ˈɛɪ̯	0.234
ˈaː	ˈiː	0.175
ˈaː	ˈɔː	0.164
ˈaː	ˈoːu̯	0.07
ˈeː	ˈeː	0.446
ˈeː	ˈɔː	0.148
ˈeː	ˈoː	0.094
ˈeː	ˈi	0.06
ˈeː	ˈaː	0.051
ˈi	j	0.394
ˈi	ˈi	0.135
ˈi	ˈiː	0.116
ˈi	ˈyː	0.111
ˈi	ˈɛɪ̯	0.086
ˈi	ˈaːu̯	0.076
ˈoː	ˈoː	0.333
ˈoː	ˈoːu̯	0.213
ˈoː	ˈuː	0.167
ˈoː	ˈeː	0.133
ˈoː	ˈɔː	0.072
ˈu	ˈɛɪ̯	0.47
ˈu	ˈoːu̯	0.375
ˈu	ˈuː	0.138
ˈyː	j_ˈuː	0.837
ˈyː	ˈuː	0.163
ˈøː	ˈoː	1.0
ˈœy̯	ˈuː	0.703
ˈœy̯	ˈu	0.09
ˈœy̯	ˈøː	0.083
ˈœy̯	ˈyː	0.064
ˈœy̯	ˈɛɪ̯	0.06
ˈɑ	ˈoːu̯	0.275
ˈɑ	ˈɔː	0.16
ˈɑ	ˈɔ	0.149
ˈɑ	ˈaː	0.103
ˈɑ	ˈoː	0.089
ˈɑ	ˈɛː	0.057
ˈɑu̯	ˈoː	0.486
ˈɑu̯	ˈoːu̯	0.327
ˈɑu̯	l	0.186
ˈɔ	ˈʊ	0.531
ˈɔ	ˈɔ	0.127
ˈɔ	ˈuː	0.095
ˈɔ	ˈɔː	0.077
ˈɔ	ˈu	0.056
ˈɔ	-	0.055
ˈɛ	ˈɛ	0.217
ˈɛ	ˈɛː	0.162
ˈɛ	ˈɔː	0.129
ˈɛ	ˈiː	0.116
ˈɛ	-	0.092
ˈɛ	ˈa	0.089
ˈɛ	ˈɔ	0.086
ˈɛ	ˈɪ	0.061
ˈɛi̯	ˈi	0.62
ˈɛi̯	w	0.12
ˈɛi̯	ˈiː	0.105
ˈɛi̯	ˈɛɪ̯	0.061
ˈɛi̯	ˈɛ	0.06
ˈɪ	ˈɪ	0.545
ˈɪ	ˈiː	0.325
ˈɪ	j_ˈʊ	0.092
ˈʏ	ˈɛː	0.676
ˈʏ	ˈɔ	0.213
ˈʏ	ˈʊ	0.111
χ	x	0.336
χ	ɣ	0.332
χ	k	0.135
χ	j	0.129
