Dutch	Saterland Frisian	probability
b	b	1.0
d	d	0.728
d	-	0.15
d	t	0.115
f	x	0.335
f	f	0.276
f	-	0.212
f	w	0.085
j	j	1.0
k	k	0.88
k	s	0.111
l	l	1.0
m	m	1.0
n	n	0.592
n	-	0.406
p	p	1.0
s	s	0.736
s	s_k	0.152
s	z	0.056
s	k_s	0.048
t	t	0.707
t	d	0.288
v	f	0.784
v	-	0.07
v	v	0.066
v	ɣ	0.066
v	f_j	0.035
w	ˈɛɪ̯	0.66
w	-	0.17
z	s	0.891
z	z	0.095
ŋ	ŋ	0.819
ŋ	x	0.177
ə	ə	0.69
ə	-	0.144
ə	j_ə	0.094
ə	ɪ	0.048
ɦ	h	1.0
ɪ	ə	0.574
ɪ	ɪ	0.292
ɫ	l	0.98
ɾ	r	0.91
ɾ	-	0.073
ʋ	v	0.936
ʋ	w	0.042
ʋ	j	0.04
ˈaː	ˈɔː	0.304
ˈaː	ˈɛɪ̯	0.203
ˈaː	ˈiː	0.149
ˈaː	ˈoː	0.11
ˈaː	ˈoːu̯	0.062
ˈaː_ɾ	ˈɛɪ̯	1.0
ˈeː	ˈeː	0.38
ˈeː	ˈaː	0.098
ˈeː	ˈɔː	0.098
ˈeː	ˈoː	0.098
ˈeː	ˈi	0.086
ˈi	j_ˈoː	0.328
ˈi	ˈɛɪ̯	0.14
ˈi	ˈi	0.127
ˈi	a	0.073
ˈi	-	0.073
ˈoː	ˈoː	0.549
ˈoː	ˈuː	0.181
ˈoː	ˈeː	0.117
ˈoː	ˈœː	0.045
ˈoː	ˈaːu̯	0.045
ˈoː_ɾ	ˈoːu̯	1.0
ˈu	ˈoːu̯	0.501
ˈu	ˈɛɪ̯	0.3
ˈu	ˈuː	0.105
ˈu	ˈu	0.066
ˈu_d	ˈuː	1.0
ˈyː	j_ˈuː	1.0
ˈøː	ˈoː	1.0
ˈœy̯	ˈuː	0.667
ˈœy̯	ˈu	0.117
ˈœy̯	ˈɛɪ̯	0.085
ˈœy̯	ˈyː	0.085
ˈɑ	ˈoːu̯	0.226
ˈɑ	ˈɛː	0.132
ˈɑ	ˈaː	0.113
ˈɑ	ˈɔː	0.1
ˈɑ	ˈɔ	0.098
ˈɑu̯	l	0.53
ˈɑu̯	ˈoː_l	0.461
ˈɔ	ˈʊ	0.431
ˈɔ	ˈɔ	0.192
ˈɔ	ˈoːu̯	0.108
ˈɔ	ˈɔː	0.094
ˈɔ	ˈuː	0.071
ˈɛ	ˈɔː	0.189
ˈɛ	ˈɛ	0.151
ˈɛ	ˈa	0.112
ˈɛ	ˈɛː	0.112
ˈɛ	ˈiː	0.111
ˈɛi̯	ˈi	0.499
ˈɛi̯	ˈiː	0.186
ˈɛi̯	ˈɛɪ̯	0.084
ˈɛi̯	ˈɛ	0.084
ˈɛi̯	w	0.071
ˈɪ	ˈɪ	0.595
ˈɪ	ˈiː	0.155
ˈɪ	ˈi	0.112
ˈɪ	j_ˈʊ	0.074
ˈɪ	ˈʊ	0.049
ˈʏ	ˈɛː	0.583
ˈʏ	ˈʊ	0.242
ˈʏ	ˈɔ	0.109
χ	ɣ	0.371
χ	x	0.318
χ	k	0.124
χ	-	0.082
χ	j	0.069
