Old Frisian	Swabian	probability
ˈɛː_n	ˈɔe̯	1.0
ˈi̯uː	ˈəi̯	1.0
ʦ	kʰ	1.0
ʣ	ˈiː_ɡ	1.0
ɣ	ɡ	1.0
ɡː	ɡ	1.0
ɡ	ɡ	1.0
ə_x	ɪ_ɡ	1.0
ə_r	ʌ	1.0
ə_n	a	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	d	1.0
z	s	1.0
x_t	d	1.0
w	ʋ	1.0
v	b	1.0
tː	ʦ	1.0
s_ˈa	s_ˈa	1.0
s_t	ʃ_d	1.0
s_k	ʃ	1.0
pː	b̥͡f	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ˈi	l	1.0
l	l	1.0
kː	ɡ	1.0
k_ə	ç	1.0
k_s	ɡ_s	1.0
j_ə	a	1.0
iː_n	eə̯	1.0
i_ŋ	i	1.0
h	h	1.0
f	f	1.0
e_r	ʌ	1.0
e	-	1.0
dː	d	1.0
d_ə	d	1.0
d_r	d_ʁ	1.0
bː	n	1.0
b	b	1.0
a	a	1.0
d	d	0.964
θ	d	0.925
ˈuː	ˈao̯	0.85
ˈa	ˈa	0.842
ˈiː	ˈəi̯	0.797
x	x	0.797
p	f	0.792
n	n	0.754
ˈu	ˈo	0.732
s	s	0.705
t_ə	s_a	0.647
t	s	0.621
ə	-	0.604
ˈo	ˈo	0.579
j	ɡ	0.576
ˈi̯aː	ˈiə̯	0.523
r	ʕ	0.504
ˈɛː	ˈɔe̯	0.49
ˈeː	ˈɔː	0.447
j	-	0.424
k	x	0.401
ˈaː	ˈoː	0.395
ˈoː	ˈuə̯	0.379
ə	a	0.372
t_ə	s	0.353
ˈɔː	ˈo	0.345
ˈɛː	ˈeː	0.331
ˈe	ˈɛ	0.33
k	ç	0.322
s	ʃ	0.295
r	ʁ	0.289
k	ɡ	0.277
ˈi̯aː	ˈiː	0.268
ˈi	ˈe	0.266
ˈi	ˈi	0.26
ˈoː	-	0.249
ˈaː	ˈao̯	0.246
ˈɔː	ˈa	0.237
ˈo	ˈi	0.228
t	ʦ	0.221
ˈaː	ˈɔe̯	0.213
ˈi̯aː	-	0.209
p	-	0.208
ˈiː	-	0.203
x	ɡ	0.203
ˈo	-	0.193
ˈu	ˈoː	0.191
ˈɛː	ˈae̯	0.179
ˈeː	ˈae̯	0.17
ˈi	-	0.168
ˈeː	ˈɛ	0.165
ˈe	ˈa	0.161
ˈɔː	ˈɔː	0.158
ˈɔː	-	0.158
ˈa	-	0.158
t	d	0.158
n	-	0.158
ˈuː	-	0.15
ˈaː	-	0.146
ˈi	ˈɪ	0.138
r	ʌ	0.137
ˈeː	-	0.133
ˈoː	ˈuː	0.125
ˈoː	ˈaː	0.125
ˈoː	ˈɔə̯	0.121
ˈe	ˈɛː	0.121
ˈe	ˈaː	0.114
ˈe	-	0.109
ˈe	ˈeː	0.103
ˈɔː	ˈɔ	0.102
ˈi	ˈəi̯	0.088
n	a	0.087
ˈeː	ˈuə̯	0.085
ˈi	ˈɛ	0.081
ˈu	ˈu	0.077
θ	-	0.075
