Polish	Polish	probability
ʦ	k	1.0
ʥ	d	1.0
ʑ	zʲ	1.0
ʈ͡ʂ	k_e	1.0
ʂ	b	1.0
ɡ̊	ɡ_a	1.0
ɔ_v	ˀ_w	1.0
x	ʃ	1.0
v_j	w	1.0
v	w	1.0
t	t	1.0
p	p	1.0
m	m	1.0
l	l	1.0
k_i	u	1.0
f_j	w	1.0
f	-	1.0
b̥	b	1.0
b	b	1.0
a_#>	#>	1.0
<#_v	<#	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#	<#_s	1.0
z	zʲ	0.833
n	n	0.8
k	k	0.778
#>	s_#>	0.764
r	r	0.684
ɲ	n	0.667
ɡ	ɡ	0.667
ɔ_#>	a_#>	0.625
s	s	0.625
j	-	0.625
ʐ̊	ɡ	0.6
w̃	ŋ	0.6
d	d	0.556
w	l	0.533
ʐ	ɡ	0.5
ʐ	r	0.5
ɕ	sʲ	0.5
ɕ	-	0.5
i	ei̯	0.5
i	-	0.5
d̥	d_a	0.5
d̥	d	0.5
w	́_l	0.467
ʨ	t_ei̯	0.444
d	-	0.444
ɔ	a	0.409
ʐ̊	r_i	0.4
w̃	n	0.4
u	-	0.4
ɔ_#>	#>	0.375
s	sʲ	0.375
j	eː	0.375
ɨ	a	0.368
ʨ	t	0.333
ɲ	-	0.333
ɡ	ɡ_a	0.333
ɔ	a_́	0.318
a	aː_́ˀ	0.3
a	aː	0.3
ɔ	-	0.273
u	a	0.267
ɛ	e_́	0.226
ʨ	t_i	0.222
k	k_a	0.222
ɨ	uː_́ˀ	0.211
ɨ	s	0.211
ɨ	a_́_s	0.211
r	́_r	0.211
u	au̯_́	0.2
n	n_a	0.2
#>	ˀ_#>	0.2
ɛ	i	0.194
z	z	0.167
ɛ	-	0.161
u	au̯	0.133
ɛ	ai̯	0.129
a	ai̯	0.125
r	r_a	0.105
a	-	0.1
ɛ	e	0.097
ɛ	a	0.097
a	oː	0.075
ɛ	uː	0.065
