Romanian	Romanian	probability
ˈə	-	1.0
ˈo_j	ˈu_s	1.0
ˈe_r	ˈa_j	1.0
ˈe_l	ˈɛː	1.0
ˈau̯	w	1.0
ˈa_t	ˈaː_d	1.0
ʧʲ	ʨ	1.0
ʧ_e_#>	ʃ_#>	1.0
ʦʲ	t_s	1.0
ʒ	ʥ	1.0
ʃ_t	ʃ	1.0
ʃ	s	1.0
ɨ	ə	1.0
ə_#>	#>	1.0
ŋ	-	1.0
w_#>	f_#>	1.0
v	v	1.0
t_ˈi	ˈa	1.0
r_ˈi	r_ˈiː	1.0
r_t	r_t	1.0
r_k	r_ʨ	1.0
r_#>	l_#>	1.0
p_t_e_#>	ʨ_#>	1.0
p_t	ʨ	1.0
o	u	1.0
nʲ	n_s	1.0
n_#>	n_#>	1.0
kʲ	ʎ	1.0
k_#>	#>	1.0
j_ˈe	ˈɛ	1.0
f	f	1.0
e_#>	#>	1.0
a	ə	1.0
<#_ˈo	<#_ˈɛ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʧ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#	<#_s	1.0
ə	ə	0.943
r	r	0.855
l	l	0.833
ˈɨ	ˈa	0.818
m	m	0.792
p	p	0.733
z	d	0.714
n	n	0.714
s	s	0.704
t	t	0.692
ɡ	ɡ	0.636
ʧ	-	0.6
ʤ	ʃ	0.6
w	w	0.6
e_r	ə_r	0.6
ˈu	ˈu	0.593
e̯ˈa	ˈa_j	0.571
d	d	0.562
u	-	0.5
i	ə	0.5
i	-	0.5
b	b	0.467
ˈo	ˈɔ	0.444
ˈa	ˈaː	0.432
ʦ	-	0.429
e̯ˈa	-	0.429
ˈa	ˈa	0.405
ʧ	ʨ	0.4
ʤ	-	0.4
w	-	0.4
k	ʨ	0.4
j	j	0.4
j	-	0.4
e_r	r	0.4
ˈi	ˈiː	0.357
u	u	0.357
k	k	0.35
e	ə	0.333
s	ʃ	0.296
ˈi	ˈi	0.286
ʦ	ʧ	0.286
ʦ	t	0.286
z	ʒ	0.286
#>	s_#>	0.278
d	-	0.25
ˈe	ˈɛ	0.238
ˈe	ˈeː	0.238
t	d	0.231
o̯ˈa	ˈɔ	0.231
o̯ˈa	ˈuː	0.231
o̯ˈa	ˈu	0.231
ˈu	ˈuː	0.222
ˈo	ˈu	0.222
m	-	0.208
j	w	0.2
b	ɡ	0.2
b	v	0.2
ˈe	ˈa	0.19
d	t	0.188
e	r	0.185
ˈɨ	ˈɔ	0.182
ɡ	j	0.182
ɡ	-	0.182
ˈi	ˈɛ	0.179
ˈo	ˈɔː	0.167
ˈo	j_ˈɛ	0.167
p	w	0.167
l	w	0.167
#>	ə_#>	0.167
#>	n_#>	0.167
#>	f_#>	0.167
ˈa	-	0.162
o̯ˈa	ˈɔː	0.154
o̯ˈa	-	0.154
ˈu	ˈi	0.148
ˈe	ˈe	0.143
u	o	0.143
b	-	0.133
n	ɲ	0.114
e	v_ə	0.111
e	i	0.111
e	-	0.111
#>	r_#>	0.111
#>	l_#>	0.111
r	l	0.109
ˈi	ˈa_j	0.107
p	-	0.1
ˈe	ˈiə̯	0.095
ˈe	ˈa_j	0.095
t	-	0.077
k	w	0.075
k	-	0.075
e	ʎ	0.074
e	e	0.074
ˈi	-	0.071
ə	-	0.057
n	ŋ	0.057
n	w_n	0.057
n	-	0.057
