Palatine German	Eastphalian	probability
β_ə	m	1.0
ˈɑ̃ː	ˈɛɪ̯_n	1.0
ˈɑ̃ɪ̯	ˈiː_n	1.0
ˈɑ_n	n	1.0
ˈõː	ˈoː_n	1.0
ˈĩː	ˈɔʏ̯_n	1.0
ˈi	ˈɛɪ̯	1.0
ˈau̯̯	ˈuː	1.0
ˈau̯	ˈuː	1.0
ʣ̥	t	1.0
ʃ_d̥	s_t	1.0
ɪ	ɪ	1.0
ɑ	-	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
s_ə	t_n	1.0
r_ˈɛː	r	1.0
r_ə	n	1.0
r_ɐ	ɐ	1.0
n_ə	n_n	1.0
m	m	1.0
l_ˈaɪ̯	l_ˈɪ	1.0
l	l	1.0
kʰ	k	1.0
j_ə	ŋ	1.0
j	j	1.0
h	h	1.0
f_ə	b_m	1.0
eː	ɒː_n	1.0
d̥_ɐ	t_ɐ	1.0
n	n	0.95
f	f	0.928
r	r	0.848
β	v	0.822
ˈɑ	ˈa	0.807
ˈiː	ˈɛɪ̯	0.734
ə	n	0.722
ˈɪ	ˈɪ	0.699
b̥	b	0.693
ɣ̊	ɣ	0.667
ˈu	ˈʊ	0.658
ˈaɪ̯	ˈiː	0.619
ˈuː	ˈaʊ̯	0.618
ˈoː	ˈɒː	0.556
x	x	0.545
ˈɛː	ˈɛɪ̯	0.533
s	z	0.528
d̥	d	0.488
ˈeː	ˈɛɪ̯	0.458
ˈeː	-	0.448
ʃ	ʃ	0.426
ɡ̊	ɣ	0.384
ˈuː	-	0.382
s	t	0.365
ɡ̊	k	0.359
ˈɔ	ˈɔ	0.356
d̥	d̥	0.356
ˈoː	ˈeo̯	0.348
ɣ̊	ɣ̊	0.333
ˈɔ	ˈoː	0.332
ˈɑː	-	0.309
ˈɛː	ˈɛː	0.295
ˈɛ	ˈɛ	0.283
x	k	0.273
ˈu	-	0.268
ʃ	s	0.263
ˈɑː	ˈeo̯	0.261
ʃ	ç	0.261
ˈaɪ̯	ˈʏ	0.197
ˈɛ	ˈeː	0.186
x	k_ə	0.182
β	w	0.178
ˈɔ	ˈʊ	0.178
ɡ̊	j	0.176
ˈɛː	ˈɛ	0.172
ˈiː	ˈɔʏ̯	0.158
ə	ɡ_n	0.156
ˈɑː	ˈaː	0.154
ˈɪ	ˈʏ	0.152
r	d	0.152
b̥	f	0.146
ˈɛ	ˈɛː	0.145
ˈɛ	-	0.142
ˈɑː	ˈa	0.142
ˈɛ	ˈœ	0.139
d̥	t	0.136
ˈɔ	-	0.134
b̥	p	0.123
ˈɑ	ˈɒː	0.122
ə	ə	0.122
ˈiː	-	0.108
s	z̥	0.107
ˈɛ	ˈa	0.105
ˈaɪ̯	ˈɪ	0.1
ˈoː	-	0.096
ˈeː	ˈaɪ̯	0.094
ˈɑː	ˈɛː	0.09
ˈɪ	-	0.086
ˈaɪ̯	ˈyː	0.084
ɡ̊	-	0.081
ˈu	ˈɔ	0.074
f	p	0.072
ˈɑ	ˈɔ	0.071
ˈɪ	ˈɛ	0.062
n	-	0.05
