Logudorese	Logudorese	probability
ˈu_ɾ	ˈy	1.0
ˈi_t	ˈe	1.0
ˈa_t	ˈa	1.0
ʦ_a	s_ɔ	1.0
ʦ	-	1.0
ʣ_a	j_ɔ	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_u	ɾ_e	1.0
ɾ_t	ˈe_ʀ	1.0
ɾ_k	ʀ_k	1.0
ɲ	ɲ	1.0
ɣ_u	k	1.0
ɛ_#>	#>	1.0
ɖː_u	w	1.0
ŋ	-	1.0
u_#>	#>	1.0
t_a	t_ɔ	1.0
s_ˈɛ	s_ˈe	1.0
s_k	j_s	1.0
p_ɾ	p_l	1.0
o	u	1.0
n_u	ŋ	1.0
n_t	ŋ	1.0
m_ɛ_n_ɛ_#>	m_#>	1.0
m_b	ŋ_k	1.0
l_ɛ	w	1.0
l_u	w	1.0
k_ɾ	k_l	1.0
f	f	1.0
b_e	ʤ	1.0
ă	-	1.0
a_ð	a_d	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɾ	<#_ʀ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
<#_a	<#_a	1.0
<#	<#_k	1.0
m	m	0.938
p	p	0.839
s	s	0.833
l	l	0.833
d	d	0.8
k	k	0.78
ˈa	ˈa	0.754
ɔ̆	e	0.75
a	ɔ	0.747
r	ʀ	0.714
t	t	0.696
ɖː	l	0.667
ɔ	-	0.667
ɛ_ɾ	ɾ	0.636
ɣ_ɛ	s	0.625
ɡ	-	0.6
z_ŭ_#>	#>	0.6
nː	-	0.6
ɾ	ɾ	0.592
ʣ	ʤ	0.556
e	-	0.556
ˈɛ	ˈɛ	0.552
i	-	0.55
ð	-	0.529
ˈe	ˈɛ	0.526
β	b	0.5
β	-	0.5
ˈu	ˈu	0.5
ˈo	w_ˈe	0.5
z	-	0.5
b	v	0.475
ɛ	e	0.459
ʣ	-	0.444
e	e	0.444
ˈi	ˈi	0.442
j	j	0.412
ɡ	ɡ	0.4
z_ŭ_#>	s_#>	0.4
nː	ŋ_d	0.4
n	ŋ	0.395
ɣ_ɛ	j	0.375
b	b	0.375
ˈi	ˈe	0.372
n	n	0.368
ɛ_ɾ	e	0.364
ɣ	ʤ	0.357
ð	d	0.353
j	-	0.353
ɖː	-	0.333
#>	w_#>	0.333
#>	j_#>	0.333
#>	e_#>	0.333
u	w	0.32
u	-	0.32
ˈe	ˈẽ	0.316
ˈu	ˈy	0.312
ɾ	ʀ	0.286
ɣ	ɡ	0.286
r	-	0.286
ɔ	u	0.267
ˈɔ	w_ˈe	0.257
ɔ̆	-	0.25
i	e	0.25
k	s	0.22
ɣ	z	0.214
ˈa	ˈã	0.213
ˈɔ	ˈu	0.2
d	-	0.2
ɛ	w	0.189
z	z	0.188
z	s	0.188
t	ʧ	0.174
ˈɔ	ɥ_ˈe	0.171
l	-	0.167
p	-	0.161
ˈe	j_ˈe	0.158
ˈo	w	0.15
ˈo	-	0.15
i	i	0.15
ˈɔ	ˈũ	0.143
ɣ	j	0.143
ˈɛ	ˈẽ	0.138
ˈɛ	ˈe	0.138
ɛ	ˈi	0.135
a	a	0.133
t	-	0.13
z	ɾ	0.125
u	y	0.12
u	j	0.12
u	e	0.12
ð	t	0.118
j	w_t	0.118
j	l	0.118
ˈi	ˈĩ	0.116
n	-	0.105
ˈɛ	j_ˈe	0.103
ˈo	ɥ_ˈɔ	0.1
ˈo	w_ˈẽ	0.1
b	ɡ	0.1
ˈu	ˈỹ	0.094
ˈu	-	0.094
ˈɔ	w	0.086
ˈɔ	u	0.086
s	j_s	0.083
s	-	0.083
ɛ	j	0.081
ɛ	-	0.081
a	e	0.08
n	ɲ	0.079
ˈi	-	0.07
ˈɛ	-	0.069
ɔ	ũ	0.067
m	ŋ	0.062
ˈɔ	ˈa	0.057
ɛ	b	0.054
n	d	0.053
