Štokavian	Slovenian	probability
âː	áː	1.0
ǎː	àː	1.0
eː	éː	1.0
ě	ɛ̀ː	1.0
i	i	1.0
iː	-	1.0
î	ìː	1.0
îː	íː	1.0
k	k	1.0
m	m	1.0
n	n	1.0
ôː	óː	1.0
ǒ	ɔ̀ː	1.0
p	p	1.0
r	r	1.0
r̂ː	r	1.0
r̩̂	r	1.0
r̩̂ː	r	1.0
r̩̂	r	1.0
s	s	1.0
t	t	1.0
û	ɔ́ː_w	1.0
x	x	1.0
z	z	1.0
ɲ	n	1.0
ʋ	ʋ	1.0
ʎ	l	1.0
ʦ	ʦ	1.0
ʨ	ʧ	1.0
â	àː	0.511
e	éː	0.421
ûː	úː	0.111
ɡ	ɡ	0.771
ʒ	ʃ	0.261
o	ɔ	0.502
ô	òː	0.42
a	ə	0.423
j	èː	0.283
b	p	0.344
êː	éː	0.444
ûː	óː	0.774
d	t	0.145
d	d	0.855
ê	e	0.235
ê	éː	0.765
l	w	0.115
l	l	0.885
o	óː	0.35
ûː	ɔ́ː_w	0.115
b	b	0.656
êː	e	0.556
a	a	0.577
â	á	0.27
j	j	0.127
o	w	0.148
ô	o	0.58
â	ə́	0.219
e	ɛ	0.579
j	-	0.59
ɡ	k	0.229
ʒ	ʒ	0.739
