 	Labels	Afrikaans	Alsatian	American English	Bavarian	Bokmål Norwegian	Danish	Dutch	East Franconian	East Frisian Low Saxon	Eastphalian	Elfdalian	English	Faroese	Gothic	Hessian	Icelandic	Insular North Frisian	Limburgish	Luxembourgish	Mainland North Frisian	Mecklenburgisch-Vorpommersch	Middle English	Middle High German	Northern Low Saxon	Nynorsk Norwegian	Old English	Old Frisian	Old High German	Old West Norse	Palatine German	Pennsylvania German	Proto-Germanic	Ripuarian	Saterland Frisian	Scots	Standard German	Swabian	Swedish	Swiss German	West Flemish	West Frisian	Westphalian	Wymysorys	Yiddish	Zeelandic
 	Afrikaans	0.00000	0.14594	0.14801	0.16105	0.17274	0.23034	0.03990	0.14244	0.09886	0.09507	0.18619	0.14697	0.19075	0.17957	0.14963	0.16495	0.12373	0.08421	0.14262	0.15743	0.10198	0.16170	0.14289	0.10929	0.17949	0.15193	0.10226	0.12651	0.17885	0.12297	0.13581	0.14524	0.12860	0.10737	0.13001	0.12756	0.15196	0.15234	0.14060	0.10011	0.12919	0.10579	0.13695	0.11634	0.07635
 	Alsatian	0.14594	0.00000	0.16838	0.09071	0.16898	0.20178	0.11825	0.10339	0.14844	0.13813	0.19561	0.17173	0.21937	0.19071	0.09632	0.19095	0.15710	0.13825	0.11561	0.17354	0.12555	0.15714	0.08450	0.15587	0.18857	0.16576	0.11295	0.08952	0.21881	0.08098	0.07108	0.16218	0.09607	0.13866	0.15579	0.07051	0.06587	0.17590	0.07340	0.17367	0.17552	0.15034	0.10580	0.08883	0.15666
 	American English	0.14801	0.16838	0.00000	0.16659	0.17964	0.23509	0.13696	0.16804	0.16575	0.15359	0.20651	0.01047	0.19467	0.18984	0.16806	0.18819	0.13227	0.16596	0.16744	0.16281	0.14998	0.09293	0.16128	0.15168	0.19169	0.11281	0.09832	0.15822	0.21206	0.16139	0.14910	0.16717	0.17050	0.13537	0.06654	0.17721	0.16731	0.18319	0.16811	0.18217	0.17908	0.15718	0.18240	0.16345	0.17557
 	Bavarian	0.16105	0.09071	0.16659	0.00000	0.20067	0.22946	0.13073	0.06548	0.14980	0.12099	0.20479	0.16638	0.20326	0.19309	0.09535	0.18959	0.18016	0.15861	0.10631	0.18962	0.12554	0.17856	0.08943	0.12889	0.19524	0.17683	0.13686	0.08671	0.25168	0.06550	0.06737	0.16639	0.12434	0.15132	0.16950	0.06982	0.07083	0.18199	0.07881	0.17036	0.18617	0.12738	0.10806	0.07430	0.16928
 	Bokmål Norwegian	0.17274	0.16898	0.17964	0.20067	0.00000	0.08284	0.16786	0.20132	0.18482	0.17321	0.14294	0.17048	0.11371	0.20714	0.19938	0.14344	0.15396	0.18194	0.20336	0.17694	0.17277	0.18233	0.17943	0.20691	0.05130	0.18307	0.14828	0.17352	0.15707	0.19342	0.18715	0.17637	0.18552	0.16585	0.17040	0.20251	0.20543	0.07426	0.19514	0.21003	0.17184	0.16881	0.20651	0.19192	0.19740
 	Danish	0.23034	0.20178	0.23509	0.22946	0.08284	0.00000	0.21007	0.22188	0.21539	0.21096	0.18001	0.22025	0.18106	0.23855	0.21544	0.18025	0.18380	0.22822	0.22260	0.21714	0.20896	0.23798	0.21380	0.20737	0.12306	0.24129	0.20734	0.19843	0.21968	0.20326	0.20131	0.21656	0.22543	0.20704	0.20868	0.22136	0.22162	0.12951	0.23969	0.25070	0.21342	0.21304	0.25866	0.24870	0.23614
 	Dutch	0.03990	0.11825	0.13696	0.13073	0.16786	0.21007	0.00000	0.13839	0.08465	0.08667	0.15737	0.14409	0.17729	0.15134	0.12690	0.18004	0.13348	0.06662	0.11941	0.14549	0.08965	0.12760	0.07872	0.10054	0.16583	0.11869	0.07541	0.08225	0.17389	0.11536	0.10962	0.12020	0.10181	0.09662	0.12226	0.11075	0.12583	0.14811	0.11331	0.06518	0.13250	0.09365	0.11995	0.10749	0.04734
 	East Franconian	0.14244	0.10339	0.16804	0.06548	0.20132	0.22188	0.13839	0.00000	0.12789	0.10908	0.23223	0.16368	0.20900	0.22013	0.06901	0.19620	0.15312	0.14123	0.09914	0.17909	0.11215	0.19162	0.10045	0.11591	0.21516	0.18955	0.14471	0.10328	0.19058	0.05467	0.06819	0.18383	0.12176	0.12793	0.14992	0.05236	0.07794	0.19076	0.09328	0.17531	0.19554	0.12316	0.10927	0.06797	0.17103
 	East Frisian Low Saxon	0.09886	0.14844	0.16575	0.14980	0.18482	0.21539	0.08465	0.12789	0.00000	0.06386	0.21552	0.16351	0.19670	0.16765	0.13879	0.17289	0.12807	0.12213	0.12852	0.15713	0.06715	0.16986	0.12125	0.07504	0.20365	0.15684	0.11801	0.13276	0.22249	0.11873	0.11997	0.14890	0.13566	0.10099	0.16968	0.10886	0.14692	0.17465	0.15813	0.11973	0.14584	0.06838	0.15444	0.12656	0.12874
 	Eastphalian	0.09507	0.13813	0.15359	0.12099	0.17321	0.21096	0.08667	0.10908	0.06386	0.00000	0.19905	0.15124	0.20480	0.18351	0.12698	0.18105	0.13583	0.11662	0.10724	0.14256	0.04891	0.14937	0.10907	0.05602	0.17968	0.14302	0.10258	0.11972	0.22219	0.11435	0.12105	0.15569	0.12095	0.10210	0.14211	0.09022	0.15253	0.16386	0.13641	0.10905	0.14426	0.05125	0.13870	0.11025	0.11665
 	Elfdalian	0.18619	0.19561	0.20651	0.20479	0.14294	0.18001	0.15737	0.23223	0.21552	0.19905	0.00000	0.19911	0.16857	0.19902	0.21020	0.11650	0.19553	0.20175	0.21142	0.23771	0.21262	0.20361	0.16170	0.21376	0.12013	0.20667	0.15524	0.15958	0.14388	0.20172	0.18527	0.16037	0.21113	0.18611	0.19885	0.21416	0.21056	0.10676	0.18689	0.18168	0.20067	0.20469	0.20898	0.21886	0.16637
 	English	0.14697	0.17173	0.01047	0.16638	0.17048	0.22025	0.14409	0.16368	0.16351	0.15124	0.19911	0.00000	0.19378	0.19412	0.16695	0.18511	0.12977	0.17165	0.15725	0.16143	0.14658	0.09185	0.15451	0.15475	0.19216	0.11398	0.09886	0.15018	0.22140	0.15573	0.15168	0.16018	0.15451	0.13721	0.07191	0.15583	0.16752	0.18307	0.17181	0.19113	0.17501	0.15598	0.17715	0.15800	0.17018
 	Faroese	0.19075	0.21937	0.19467	0.20326	0.11371	0.18106	0.17729	0.20900	0.19670	0.20480	0.16857	0.19378	0.00000	0.20153	0.21911	0.08166	0.18714	0.19304	0.18687	0.22288	0.19743	0.21016	0.18923	0.21479	0.09334	0.21247	0.17041	0.17286	0.11329	0.18775	0.20068	0.18864	0.22070	0.18620	0.21145	0.19966	0.22334	0.11591	0.20228	0.22740	0.19512	0.19283	0.20780	0.20185	0.20408
 	Gothic	0.17957	0.19071	0.18984	0.19309	0.20714	0.23855	0.15134	0.22013	0.16765	0.18351	0.19902	0.19412	0.20153	0.00000	0.21387	0.17389	0.21958	0.20528	0.20171	0.23614	0.21494	0.16488	0.15242	0.21906	0.20616	0.15886	0.13602	0.12829	0.17719	0.21175	0.21138	0.07669	0.21264	0.17801	0.19349	0.19095	0.21308	0.22895	0.19577	0.20779	0.20392	0.20126	0.21815	0.19320	0.19889
 	Hessian	0.14963	0.09632	0.16806	0.09535	0.19938	0.21544	0.12690	0.06901	0.13879	0.12698	0.21020	0.16695	0.21911	0.21387	0.00000	0.18842	0.16636	0.11957	0.08204	0.15885	0.11504	0.17842	0.09622	0.12356	0.19728	0.19168	0.13006	0.10042	0.24671	0.03869	0.05777	0.18464	0.10375	0.13084	0.16982	0.06782	0.08447	0.17111	0.09632	0.18754	0.18207	0.12594	0.10259	0.07300	0.16652
 	Icelandic	0.16495	0.19095	0.18819	0.18959	0.14344	0.18025	0.18004	0.19620	0.17289	0.18105	0.11650	0.18511	0.08166	0.17389	0.18842	0.00000	0.17377	0.18233	0.19056	0.19773	0.17530	0.18148	0.17655	0.19901	0.11967	0.17808	0.15468	0.15884	0.05129	0.18500	0.19114	0.16261	0.20463	0.16511	0.18245	0.19094	0.20448	0.11763	0.18405	0.21860	0.18176	0.18348	0.20487	0.18901	0.19954
 	Insular North Frisian	0.12373	0.15710	0.13227	0.18016	0.15396	0.18380	0.13348	0.15312	0.12807	0.13583	0.19553	0.12977	0.18714	0.21958	0.16636	0.17377	0.00000	0.14212	0.14920	0.10653	0.13323	0.14593	0.15974	0.12148	0.17506	0.13619	0.12468	0.16075	0.17115	0.13875	0.15160	0.16268	0.15716	0.10838	0.13271	0.14890	0.16542	0.14602	0.16457	0.18177	0.12666	0.13736	0.17734	0.15738	0.16279
 	Limburgish	0.08421	0.13825	0.16596	0.15861	0.18194	0.22822	0.06662	0.14123	0.12213	0.11662	0.20175	0.17165	0.19304	0.20528	0.11957	0.18233	0.14212	0.00000	0.12472	0.14416	0.10692	0.15892	0.10938	0.11411	0.18722	0.16031	0.11688	0.13901	0.21178	0.10657	0.12495	0.16286	0.10293	0.11438	0.16460	0.11961	0.15062	0.16559	0.13434	0.12636	0.15568	0.11306	0.12186	0.11036	0.11150
 	Luxembourgish	0.14262	0.11561	0.16744	0.10631	0.20336	0.22260	0.11941	0.09914	0.12852	0.10724	0.21142	0.15725	0.18687	0.20171	0.08204	0.19056	0.14920	0.12472	0.00000	0.16181	0.10492	0.15469	0.10330	0.11746	0.20274	0.17273	0.14260	0.12122	0.20452	0.06310	0.07994	0.17220	0.08406	0.14261	0.15353	0.07824	0.10332	0.18195	0.12308	0.15524	0.18214	0.11238	0.10687	0.08739	0.15717
 	Mainland North Frisian	0.15743	0.17354	0.16281	0.18962	0.17694	0.21714	0.14549	0.17909	0.15713	0.14256	0.23771	0.16143	0.22288	0.23614	0.15885	0.19773	0.10653	0.14416	0.16181	0.00000	0.15667	0.16040	0.15748	0.15782	0.20030	0.16232	0.11047	0.18437	0.21293	0.15147	0.15260	0.19003	0.16367	0.09227	0.14562	0.16394	0.17959	0.17040	0.18218	0.19150	0.13091	0.15369	0.17243	0.16330	0.16685
 	Mecklenburgisch-Vorpommersch	0.10198	0.12555	0.14998	0.12554	0.17277	0.20896	0.08965	0.11215	0.06715	0.04891	0.21262	0.14658	0.19743	0.21494	0.11504	0.17530	0.13323	0.10692	0.10492	0.15667	0.00000	0.16353	0.11331	0.03336	0.19211	0.17328	0.12180	0.11774	0.19716	0.10347	0.11621	0.17184	0.11149	0.11097	0.14620	0.09252	0.14092	0.16632	0.13285	0.12290	0.16086	0.05439	0.13223	0.09860	0.13274
 	Middle English	0.16170	0.15714	0.09293	0.17856	0.18233	0.23798	0.12760	0.19162	0.16986	0.14937	0.20361	0.09185	0.21016	0.16488	0.17842	0.18148	0.14593	0.15892	0.15469	0.16040	0.16353	0.00000	0.11632	0.21172	0.23806	0.04014	0.05526	0.12043	0.22799	0.21006	0.19047	0.14883	0.21779	0.10945	0.10862	0.17842	0.20178	0.21670	0.19288	0.20483	0.21397	0.18263	0.21240	0.15170	0.18467
 	Middle High German	0.14289	0.08450	0.16128	0.08943	0.17943	0.21380	0.07872	0.10045	0.12125	0.10907	0.16170	0.15451	0.18923	0.15242	0.09622	0.17655	0.15974	0.10938	0.10330	0.15748	0.11331	0.11632	0.00000	0.13688	0.16876	0.10895	0.08386	0.02010	0.14971	0.09224	0.08572	0.13294	0.10089	0.12471	0.14229	0.06324	0.08510	0.17033	0.06214	0.12802	0.15841	0.13184	0.09792	0.07154	0.11025
 	Northern Low Saxon	0.10929	0.15587	0.15168	0.12889	0.20691	0.20737	0.10054	0.11591	0.07504	0.05602	0.21376	0.15475	0.21479	0.21906	0.12356	0.19901	0.12148	0.11411	0.11746	0.15782	0.03336	0.21172	0.13688	0.00000	0.19896	0.17618	0.12255	0.13460	0.20624	0.11571	0.11686	0.18007	0.13080	0.10930	0.15735	0.09948	0.14311	0.17469	0.14095	0.12758	0.16193	0.06170	0.13499	0.10768	0.13649
 	Nynorsk Norwegian	0.17949	0.18857	0.19169	0.19524	0.05130	0.12306	0.16583	0.21516	0.20365	0.17968	0.12013	0.19216	0.09334	0.20616	0.19728	0.11967	0.17506	0.18722	0.20274	0.20030	0.19211	0.23806	0.16876	0.19896	0.00000	0.19178	0.14828	0.16248	0.13960	0.19553	0.18229	0.17210	0.17917	0.16419	0.17274	0.19695	0.20012	0.06900	0.17873	0.21226	0.17051	0.18153	0.20939	0.22304	0.18431
 	Old English	0.15193	0.16576	0.11281	0.17683	0.18307	0.24129	0.11869	0.18955	0.15684	0.14302	0.20667	0.11398	0.21247	0.15886	0.19168	0.17808	0.13619	0.16031	0.17273	0.16232	0.17328	0.04014	0.10895	0.17618	0.19178	0.00000	0.03904	0.10652	0.17165	0.20114	0.19470	0.15111	0.21531	0.11569	0.12243	0.22055	0.21503	0.21504	0.17909	0.18671	0.22245	0.18174	0.18916	0.18104	0.18846
 	Old Frisian	0.10226	0.11295	0.09832	0.13686	0.14828	0.20734	0.07541	0.14471	0.11801	0.10258	0.15524	0.09886	0.17041	0.13602	0.13006	0.15468	0.12468	0.11688	0.14260	0.11047	0.12180	0.05526	0.08386	0.12255	0.14828	0.03904	0.00000	0.07385	0.14447	0.11847	0.12191	0.09238	0.12415	0.06965	0.09089	0.14256	0.12955	0.13169	0.11414	0.12493	0.09846	0.11856	0.14228	0.12687	0.10783
 	Old High German	0.12651	0.08952	0.15822	0.08671	0.17352	0.19843	0.08225	0.10328	0.13276	0.11972	0.15958	0.15018	0.17286	0.12829	0.10042	0.15884	0.16075	0.13901	0.12122	0.18437	0.11774	0.12043	0.02010	0.13460	0.16248	0.10652	0.07385	0.00000	0.14679	0.10835	0.10089	0.12243	0.12710	0.12699	0.13975	0.08466	0.09343	0.15881	0.07482	0.14515	0.16298	0.14205	0.10731	0.08322	0.13025
 	Old West Norse	0.17885	0.21881	0.21206	0.25168	0.15707	0.21968	0.17389	0.19058	0.22249	0.22219	0.14388	0.22140	0.11329	0.17719	0.24671	0.05129	0.17115	0.21178	0.20452	0.21293	0.19716	0.22799	0.14971	0.20624	0.13960	0.17165	0.14447	0.14679	0.00000	0.21344	0.22353	0.17508	0.23736	0.15688	0.20556	0.23178	0.23206	0.13743	0.21112	0.23663	0.19900	0.21586	0.22698	0.23609	0.21510
 	Palatine German	0.12297	0.08098	0.16139	0.06550	0.19342	0.20326	0.11536	0.05467	0.11873	0.11435	0.20172	0.15573	0.18775	0.21175	0.03869	0.18500	0.13875	0.10657	0.06310	0.15147	0.10347	0.21006	0.09224	0.11571	0.19553	0.20114	0.11847	0.10835	0.21344	0.00000	0.03843	0.17268	0.08082	0.11499	0.14239	0.05412	0.06609	0.16555	0.08726	0.16823	0.16445	0.12483	0.09228	0.06990	0.14625
 	Pennsylvania German	0.13581	0.07108	0.14910	0.06737	0.18715	0.20131	0.10962	0.06819	0.11997	0.12105	0.18527	0.15168	0.20068	0.21138	0.05777	0.19114	0.15160	0.12495	0.07994	0.15260	0.11621	0.19047	0.08572	0.11686	0.18229	0.19470	0.12191	0.10089	0.22353	0.03843	0.00000	0.15918	0.08042	0.13500	0.14468	0.06038	0.05269	0.19008	0.08132	0.16447	0.16132	0.12712	0.09481	0.07441	0.14238
 	Proto-Germanic	0.14524	0.16218	0.16717	0.16639	0.17637	0.21656	0.12020	0.18383	0.14890	0.15569	0.16037	0.16018	0.18864	0.07669	0.18464	0.16261	0.16268	0.16286	0.17220	0.19003	0.17184	0.14883	0.13294	0.18007	0.17210	0.15111	0.09238	0.12243	0.17508	0.17268	0.15918	0.00000	0.18207	0.15662	0.15847	0.17730	0.18750	0.18671	0.16662	0.17405	0.18592	0.16623	0.17735	0.17136	0.15780
 	Ripuarian	0.12860	0.09607	0.17050	0.12434	0.18552	0.22543	0.10181	0.12176	0.13566	0.12095	0.21113	0.15451	0.22070	0.21264	0.10375	0.20463	0.15716	0.10293	0.08406	0.16367	0.11149	0.21779	0.10089	0.13080	0.17917	0.21531	0.12415	0.12710	0.23736	0.08082	0.08042	0.18207	0.00000	0.13548	0.15408	0.10121	0.10339	0.16725	0.10748	0.14980	0.17204	0.11693	0.10854	0.10625	0.14125
 	Saterland Frisian	0.10737	0.13866	0.13537	0.15132	0.16585	0.20704	0.09662	0.12793	0.10099	0.10210	0.18611	0.13721	0.18620	0.17801	0.13084	0.16511	0.10838	0.11438	0.14261	0.09227	0.11097	0.10945	0.12471	0.10930	0.16419	0.11569	0.06965	0.12699	0.15688	0.11499	0.13500	0.15662	0.13548	0.00000	0.11559	0.13011	0.16030	0.13835	0.13586	0.14122	0.08517	0.11403	0.14721	0.13611	0.12329
 	Scots	0.13001	0.15579	0.06654	0.16950	0.17040	0.20868	0.12226	0.14992	0.16968	0.14211	0.19885	0.07191	0.21145	0.19349	0.16982	0.18245	0.13271	0.16460	0.15353	0.14562	0.14620	0.10862	0.14229	0.15735	0.17274	0.12243	0.09089	0.13975	0.20556	0.14239	0.14468	0.15847	0.15408	0.11559	0.00000	0.15429	0.16005	0.15226	0.15085	0.16617	0.14966	0.14017	0.15780	0.14865	0.15219
