Russian	Macedonian	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
dʲ	d	1.0
k	k	1.0
kʲ	-	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
nʲ	n	1.0
p	p	1.0
pʲ	p	1.0
r	r	1.0
rʲ	r	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
vʲ	v	1.0
zʲ	z	1.0
ɡ	ɡ	1.0
ɨ	-	1.0
ʂ	ʃ	1.0
ʐ	ʒ	1.0
ʦ	ʦ	1.0
ʨ	ʧ	1.0
ˈæ	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
tʲ	t	0.821
ˈo	-	0.081
ˈɨ	i	0.161
ˈe	ɛ	0.222
lʲ	l	0.93
v	-	0.153
z	ʣ	0.363
ɐ	ˈo	0.723
ˈo	ˈo	0.693
ɪ	-	0.254
ɪ	ɛ	0.274
ɪ	ˈɛ	0.44
ˈu	ˈu	0.444
j	j	0.115
ˈa	ˈa	0.215
ˈi	i	0.295
ˈi	ˈi	0.705
j	f	0.146
ˈo	ˈa	0.16
ˈu	ˈa	0.556
lʲ	ɫ	0.07
v	v	0.847
z	z	0.637
ɐ	ˈɛ	0.277
ə	a	0.337
ˈa	ɛ	0.077
ˈo	o	0.067
j	o	0.738
ə	o	0.488
ˈa	a	0.708
ˈe	ˈɛ	0.778
tʲ	-	0.179
ə	ɛ	0.099
ɫ	ɫ	0.959
ˈɨ	ˈi	0.839
