Ripuarian	Ripuarian	probability
ˈɛ_d	ˈɛ_r	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈɔ_ɐ	1.0
ˈøː_n	ˈĩː	1.0
ˈøʏ̯	ˈaɪ̯	1.0
ˈu	-	1.0
ˈoː_n	ˈõː	1.0
ˈo_n	ɑ	1.0
ˈiː_ɐ	ˈiː_ɐ	1.0
ˈeɪ̯_#>	ˈaɪ̯_#>	1.0
ˈa_d̥	ˈɑː_d̥	1.0
ʦ	ʣ̥	1.0
ʋ	β	1.0
ʃ	ʃ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɣ̊	ɡ̊	1.0
ɣ	-	1.0
ɡ̊_#>	#>	1.0
ɡ̊	d̥	1.0
ə_f_#>	f_#>	1.0
ə_#>	#>	1.0
ɐ	ɐ	1.0
z̥	s	1.0
z	s	1.0
v̥	b̥	1.0
v	β	1.0
t	d̥	1.0
n_z̥	n_s	1.0
n	n	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f	f	1.0
e_ŋ	eː	1.0
d̥	d̥	1.0
d_ə	r_ə	1.0
b	b̥	1.0
<#_ˈʊ	<#_ˈu	1.0
ə	ə	0.951
ʀ	r	0.931
ˈa	ˈɑ	0.92
s	s	0.895
ˈe	ˈɪ	0.882
d	d̥	0.875
ɕ	ʃ	0.8
ˈœ	ˈɪ	0.75
ˈo	ˈu	0.75
j	ɡ̊	0.733
ˈɔ	ˈɔ	0.667
ˈyː	ˈaɪ̯	0.667
ˈɔʊ̯	ˈɑː	0.625
x	x	0.625
ˈɪ	ˈɪ	0.615
ˈaː	ˈɑː	0.571
p	b̥	0.556
ˈuː	ˈau̯	0.533
ˈɛː	ˈɛː	0.5
ˈɛ_ɐ	ˈɑː_ɐ	0.5
ˈɛ_ɐ	ɐ	0.5
ˈøː	ˈiː	0.5
ˈøː	-	0.5
ˈoː	ˈuː	0.5
ˈiː	ˈeː	0.5
ˈiː	ˈaɪ̯	0.5
ˈeː	ˈiː	0.5
ŋ	n	0.5
k	ɡ̊	0.5
k	kʰ	0.5
ˈuː	ˈoː	0.467
ˈaː	ˈɑ	0.429
ŋ	ŋ	0.417
ˈʏ	ˈɪ	0.4
ˈʏ	-	0.4
ˈeɪ̯	ˈɛː	0.4
ˈeɪ̯	ˈeː	0.4
ˈɔʊ̯	ˈau̯	0.375
x	x_d̥	0.375
ˈyː	ˈeː	0.333
p	f	0.333
j	j	0.267
ˈɛː	ˈɛ_ɐ	0.25
ˈɛː	ˈɛ	0.25
ˈœ	-	0.25
ˈoː	ˈoː	0.25
ˈɪ	ˈaɪ̯	0.231
ˈeː	ˈɛː	0.227
ˈʏ	ˈi	0.2
ˈeɪ̯	ˈɑːɪ̯	0.2
ɕ	ʃ_d̥	0.2
ˈeː	-	0.182
ˈɔ	ˈu	0.167
ˈɔ	ˈoː	0.167
ˈo	ˈɔ	0.167
ˈɪ	-	0.154
d	r	0.125
ˈe	ˈɛ	0.118
p	pʰ	0.111
s	ʃ	0.105
ˈoː	ˈɑː	0.1
ˈoː	ˈu	0.1
ˈeː	ˈeː	0.091
ˈo	ˈau̯̯	0.083
ŋ	-	0.083
ˈa	-	0.08
ʀ	r_ˈɛː	0.069
