Standard Mandarin	Standard Mandarin	probability
ʨ_j	k	1.0
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʐ̩	i	1.0
ʊ	ø	1.0
ɻ	-	1.0
ə	w_o	1.0
ɕ	s	1.0
ɔ	-	1.0
z̩	i	1.0
y	u	1.0
x	h	1.0
w_ɔ	o	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
p	p	1.0
n	ŋ	1.0
m	m	1.0
l	l̃	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ɑ	ɥ_o	1.0
i_ŋ	a_ŋ	1.0
i_n	i_ŋ	1.0
<#_x	<#	1.0
<#_w	<#	1.0
<#_n	<#_nˡ	1.0
³⁵	⁵³	0.902
⁵⁵	⁵⁵	0.846
²¹⁴	³³	0.794
ʈ͡ʂʰ	ʦʰ	0.714
ʂ	s	0.714
ɥ	w	0.714
w	w	0.714
ʈ͡ʂ	t	0.667
f	p	0.667
ɑ	o	0.647
j	j	0.6
pʰ	pʰ	0.571
a	a	0.533
ŋ	ŋ	0.522
u	o_w	0.5
e	u	0.5
e	-	0.5
o	a	0.455
i	ɛ_j	0.444
pʰ	p	0.429
ɛ	o	0.4
<#	<#_ŋ	0.4
ɤ	ɛ	0.375
ɤ	j	0.375
⁵¹	²¹³	0.355
ʨʰ	k	0.333
ʈ͡ʂ	ʦ_j	0.333
i	ɛ	0.333
f	h	0.333
⁵¹	²⁴²	0.29
ʈ͡ʂʰ	t	0.286
ʂ	-	0.286
ɥ	-	0.286
j	-	0.28
o	e	0.273
o	-	0.273
a	ɑ	0.267
ɤ	j_a	0.25
ʨʰ	ʦʰ	0.222
ʨʰ	ʦ	0.222
ʨʰ	-	0.222
i	j	0.222
ŋ	ɥ_ŋ	0.217
u	u	0.214
ɛ	ɛ	0.2
ɛ	ɔ_ʔ	0.2
ɛ	-	0.2
<#	<#_ʦʰ	0.2
<#	<#_nˡ	0.2
<#	<#_h	0.2
ɑ	e	0.176
ɑ	-	0.176
ŋ	w_ŋ	0.174
⁵¹	⁵	0.161
⁵⁵	ʔ_²⁴	0.154
w	-	0.143
u	ø_ɥ_ʔ	0.143
u	o	0.143
j	ɥ	0.12
²¹⁴	²⁴	0.118
³⁵	²⁴	0.098
⁵¹	ʔ_²⁴	0.097
⁵¹	j_²⁴²	0.097
²¹⁴	²⁴²	0.088
ŋ	j_ŋ	0.087
w	ɑ_w	0.071
w	m	0.071
a	w_ɔ	0.067
a	w	0.067
a	-	0.067
