Luxembourgish	East Franconian	probability
ˈɛː	ˈɛ	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈʊ	1.0
ˈɑʊ̯	ˈaʊ̯	1.0
ˈæːʊ̯	ˈaʊ̯	1.0
ˈæːɪ̯	ˈaɪ̯	1.0
ˈæ	ˈɒ	1.0
ˈoː	ˈoː	1.0
ˈiː_ɐ	ˈɘ	1.0
ʦ	ʦ	1.0
ʑ	ŋ	1.0
ʃ	ʃ	1.0
ɣ̊	ɣ̊	1.0
ɡ̊	-	1.0
ɡ	ɡ̊	1.0
ə_v̥	b̥	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z	s	1.0
w	v	1.0
v̥	b̥	1.0
v_ə	m	1.0
tʰ	d̥	1.0
t_ɐ	d̥_ɐ	1.0
t	d̥	1.0
s_ə	z̥	1.0
pʰ	b̥͡v̥	1.0
p	-	1.0
m	m	1.0
l_ə	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f_ə	v̥	1.0
f	f	1.0
e_ŋ	eː	1.0
d̥	d̥	1.0
d_ˈe	d̥_ˈɪ	1.0
b	b̥	1.0
ʀ	r	0.965
n	n	0.962
l	l	0.934
d	d̥	0.883
v	v	0.814
ə	a	0.756
ˈɑɪ̯	ˈaɪ̯	0.749
s	s	0.738
ˈeː	ˈaː	0.713
ˈəʊ̯	ˈuː	0.7
ə_n	n	0.681
ˈo	ˈʊ	0.673
χ	x	0.667
ˈiə̯	ˈɛ	0.667
ɕ	ç	0.635
ˈe	-	0.632
ˈɜɪ̯	ˈiː	0.606
ˈi	-	0.579
ˈu	ˈuː	0.549
k	ɡ̊_n	0.518
ə_f	f_a	0.516
ˈuː	ˈʊ	0.5
ˈuː	ˈɔ	0.5
ˈuə̯	ˈɒ	0.5
ˈuə̯	-	0.5
ˈiː	ˈiː	0.5
ə_f	f	0.484
k	ɡ̊	0.482
ˈɑ	ˈɪ	0.478
ˈə	ˈɪ	0.464
ˈi	ˈeː	0.421
ˈɑ	ˈɒ	0.416
ˈaː	ˈɒ	0.371
ˈe	ˈɪ	0.368
ɕ	x	0.365
χ	-	0.333
ˈiə̯	ˈeː	0.333
ˈo	ˈɔ	0.327
ə_n	ŋ	0.319
ˈəʊ̯	-	0.3
s	z̥	0.262
ˈɑɪ̯	ˈiː	0.251
ˈiː	ˈɛ	0.25
ˈiː	-	0.25
ə	-	0.244
ˈaː	ˈɔ	0.234
ˈə	ˈɛ	0.229
ˈu	ˈoː	0.226
ˈu	-	0.226
ˈaː	ˈaː	0.222
v	β	0.186
ˈeː	-	0.164
ˈə	ˈiː	0.16
ˈɜɪ̯	ˈeː	0.159
ˈə	-	0.147
ˈeː	ˈɛː	0.123
ˈɜɪ̯	-	0.121
d	ɾ	0.117
ˈɜɪ̯	ˈɛː	0.114
ˈɑ	-	0.106
ˈaː	ˈoː	0.104
ˈaː	ˈɒ_ɐ	0.068
l	l_d̥	0.066
