English	Middle High German	probability
ˈæ	ˈɑ	1.0
ʤ	kː	1.0
ɹ_ˈe	r	1.0
ɹ	r	1.0
ɡ	ɡ	1.0
ɜː	ˈiː	1.0
əʊ̯	-	1.0
z	s_ə	1.0
v	b_ə	1.0
tʰ	ʦ	1.0
pʰ	p͡f	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
b	b	1.0
m	m	0.96
w	w	0.943
f	v	0.923
s	s	0.82
ŋ	ŋ	0.811
n	n	0.797
ɫ	l	0.77
ˈeɪ̯	ˈɑ	0.713
p	f	0.68
s_t	s_t	0.676
ʃ	ʃ	0.671
ɪ	ə_ɡ̊	0.667
ˈɪ_ə	r_ə	0.663
ˈɛ	-	0.662
ˈaʊ̯	ˈuː	0.658
ˈəʊ̯	ˈei̯	0.652
ˈɪ	ˈi	0.634
θ	d	0.63
d	t	0.577
ˈɐ	ˈu	0.517
ˈɜː	r	0.506
ʧ	xː	0.503
ˈʊ	ˈuə̯	0.5
ˈʊ	ˈo	0.5
ð	t_ə	0.5
ð	d	0.5
j	ɡ	0.5
j	j	0.5
ʧ	kʰ	0.497
ˈɜː	ˈu_r	0.494
ˈuː	ˈuə̯	0.444
ˈɒ	ˈɑ	0.441
ə	r	0.439
ˈɑː	ˈɑ_r	0.422
ˈaɪ̯	ˈiː	0.416
t	s̻	0.408
k	x	0.408
ˈɔː	ˈo_r	0.344
ˈaʊ̯	-	0.342
ˈɛ	ˈɛ	0.338
ˈɪ_ə	ˈiə̯_r	0.337
ˈɒ	ˈo	0.335
ˈuː	n	0.333
ɪ	i	0.333
ʃ	ʃː	0.329
s_t	ʃ_t	0.324
ˈɑː	ˈɑ	0.322
ə	ə_r	0.306
ˈɔː	r	0.304
ˈe	ˈɛ	0.29
k	-	0.274
d	d̥	0.265
ˈaɪ̯	ˈi	0.257
θ	d̥	0.242
ˈe	ˈe	0.226
ˈɒ	-	0.224
ˈuː	ˈɑ_n	0.222
ə	ə	0.219
k	xː	0.195
ˈiː	ˈyə̯	0.192
ŋ	ŋ_ɡ	0.189
ˈiː	ˈou̯	0.188
ˈəʊ̯	-	0.183
s	ʃ	0.18
ɫ	ə_l	0.168
ˈəʊ̯	ˈɑ	0.166
t	t	0.158
ˈe	ˈoː	0.155
ˈɔː	ˈɑ_r	0.149
p	p͡f	0.149
ˈɐ	ˈo	0.147
ˈe	ˈei̯	0.147
ˈeɪ̯	ˈɑ_ɡ	0.144
ˈeɪ̯	-	0.144
ˈiː	ˈɑː	0.141
t	s̻ː	0.137
t	x_t	0.135
ˈɪ	ˈy	0.133
ˈiː	ˈiə̯	0.133
θ	-	0.128
ˈɑː	ˈɑ_l	0.128
ˈɑː	r	0.128
ˈaɪ̯	ˈyː	0.123
k	k	0.123
ˈɐ	ˈuː	0.121
ˈɐ	n	0.121
d	d_ə	0.12
n	nː	0.11
ˈe	-	0.108
ˈɔː	ˈɑ	0.101
ˈɔː	ˈo	0.101
ˈɐ	ˈuə̯	0.094
t	ʦ	0.091
p	fː	0.091
ˈaɪ̯	ˈiə̯_ɡ	0.086
ˈɪ	ˈɛ	0.08
p	p	0.08
f	v_ˈo	0.077
ˈɪ	ˈy_n	0.075
ˈe	ˈi	0.073
t	ʦː	0.071
ˈiː	ˈi	0.062
ɫ	lː	0.061
ˈaɪ̯	x	0.06
ˈiː	ˈøy̯	0.059
ˈiː	ɛ	0.059
ˈaɪ̯	ˈɑ_x	0.058
w	-	0.057
ˈiː	ˈiː	0.054
ˈiː	ˈi_r	0.054
n	n_ə	0.052
ˈɪ	ˈiə̯	0.051
