Piedmontese	Franco-Provençal	probability
a	a	0.594
a	ə	0.223
a	-	0.135
b	b	0.975
d	d	0.65
d	ð	0.153
d	-	0.135
dː	ð	1.0
e	ə	0.272
e	ˈi	0.201
e	ʁ_ə	0.185
e	-	0.163
e	e	0.082
f	f	0.996
i	i	0.347
i	ɛ	0.24
i	-	0.187
i	o	0.11
i	ˈe	0.063
i	ĩ	0.052
j	ʎ	0.303
j	-	0.302
j	l	0.245
j	j	0.115
k	ʃ	0.491
k	k	0.384
k	-	0.069
k	t	0.056
l	l	0.949
m	m	0.953
n	n	0.745
n	-	0.168
n	ɲ	0.051
p	p	1.0
r	ʁ	0.735
r	ð	0.203
s	s	0.507
s	ʃ	0.211
s	-	0.207
s	t	0.065
t	t	0.607
t	-	0.391
u	o	0.283
u	ɔ	0.195
u	ɔ̃	0.149
u	ˈeː	0.104
u	ˈo	0.09
u	-	0.058
u	u	0.058
v	v	0.761
v	f	0.078
w	w	0.618
w	ˈoː	0.347
y	y	1.0
z	z	0.499
z	ʁ	0.272
z	ð	0.179
ŋ	-	0.404
ŋ	n	0.231
ŋ	ˈɛ̃	0.158
ŋ	ˈĩ	0.113
ŋ	ˈɔ̃	0.086
ə	ˈɛː	1.0
ɡ	ɡ	0.383
ɡ	-	0.363
ɡ	k	0.207
ɲ	ɲ	0.857
ɲ	ˈɛ̃	0.143
ʤ	ð	0.507
ʤ	-	0.242
ʤ	ʒ	0.205
ʧ	s	0.52
ʧ	k	0.299
ʧ	p	0.182
ˈa	ˈɑ̃	0.326
ˈa	ˈa	0.254
ˈa	ˈɔ	0.152
ˈa	-	0.132
ˈa	ˈɛ	0.09
ˈe	ˈeː	0.267
ˈe	ˈɛ	0.259
ˈe	ˈa	0.225
ˈe	ə	0.063
ˈe	-	0.056
ˈi	ˈi	0.331
ˈi	ˈĩ	0.198
ˈi	ˈe	0.157
ˈi	-	0.155
ˈi	ə	0.086
ˈu	ˈɔ̃	0.401
ˈu	ˈu	0.16
ˈu	ˈo	0.153
ˈu	w	0.145
ˈu	ˈø	0.067
ˈy	ˈo	0.36
ˈy	ˈoː	0.141
ˈy	ˈu	0.135
ˈy	ˈe	0.097
ˈy	w	0.09
ˈy	j	0.067
ˈy	u	0.059
ˈy	ˈø	0.051
ˈø	w	0.526
ˈø	ˈoː	0.208
ˈø	-	0.096
ˈø	ˈo	0.085
ˈø	o	0.058
ˈɔ	ˈoː	0.239
ˈɔ	ˈø	0.18
ˈɔ	ˈɛ	0.157
ˈɔ	ˈu	0.139
ˈɔ	ˈo	0.07
ˈɔ	ˈɔ	0.062
ˈɔ	ˈɔ̃	0.052
ˈɔ	ˈa	0.051
ˈə	ˈeː	1.0
ˈɛ	ˈɛ	0.38
ˈɛ	ˈɛ̃	0.293
ˈɛ	ˈeː	0.244
