Mecklenburgisch-Vorpommersch	Yiddish	probability
ˈɛɪ̯	ˈɛ	1.0
ˈœ	ˈɛ	1.0
ˈøː	ˈɛ	1.0
ˈiː_d̥	ˈaɪ̯_t	1.0
ˈaɪ̯	ˈɪ	1.0
ˈae̯_t	ˈɪ_s	1.0
ˈae̯_n	ˈɛ_n	1.0
ɪ	ɪ	1.0
ɣ̊	ɡ	1.0
ɣ	ˈaɪ̯	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
ç	χ_t	1.0
z̥	z	1.0
z	z	1.0
x	χ	1.0
w	v	1.0
tʰ	ʦ	1.0
r	ʀ	1.0
p_n	f_n	1.0
l	ɫ	1.0
kʰ	k	1.0
h	h	1.0
f	f	1.0
b	b	1.0
ae̯	-	1.0
ʃ	ʃ	0.957
ˈɪ	ˈɪ	0.948
ˈʊ	ˈʊ	0.903
ˈa	ˈa	0.888
v	v	0.884
m	m	0.862
n	n	0.847
j	ɡ	0.74
ˈiː	ˈaɪ̯	0.739
d̥	t	0.729
ˈoː	ˈɔ	0.683
ˈɛ	ˈɛ	0.682
æ	ʀ	0.646
ˈaː	ˈa_ʀ	0.638
k	χ	0.638
ˈuː	ˈɔɪ̯	0.634
ˈae̯	ˈɛɪ̯	0.609
ˈɒː	ˈɔ	0.601
p	f	0.6
ˈyː	ˈaɪ̯_ə	0.591
ɾ	t_ə	0.564
d	t	0.564
s	s	0.555
ˈɔ	ˈɔ	0.54
ˈaʊ̯	ˈɔɪ̯	0.508
ˈʏ	ˈɪ	0.506
ˈɛː	ˈɛ	0.494
ˈaʊ̯	ˈʊ	0.492
ˈœː	-	0.481
ˈɔʏ̯	ˈɪ	0.462
t	s	0.449
s	k_s	0.445
ŋ	ŋ	0.444
ɾ	d_ə	0.436
d	d	0.436
ˈyː	ˈaɪ̯	0.409
p	p	0.4
ŋ	ɡ_n	0.37
ˈaː	ʀ	0.362
ˈɔʏ̯	-	0.345
ˈoː	-	0.317
t	t	0.315
ˈɔ	ˈʊ	0.306
ˈɛː	ˈɔ	0.291
d̥	d	0.271
k	k	0.264
ˈœː	ˈʊ	0.263
ˈiː	ˈɪ	0.261
j	j	0.26
æ	ə_ʀ	0.259
ˈœː	ˈɪ_b	0.256
ˈʏ	ˈaɪ̯	0.253
ˈuː	ˈɔ	0.251
ˈʏ	-	0.241
t	ʦ	0.236
ˈɒː	ˈa	0.234
ˈɛː	-	0.215
ˈae̯	ˈɪ	0.204
ˈɔʏ̯	ˈʊ	0.193
ˈae̯	ˈaɪ̯	0.187
ŋ	ŋ_ɡ	0.186
ˈɒː	-	0.165
ˈɛ	ˈɪ	0.159
ˈɛ	ˈɔ	0.159
ˈɔ	ˈa	0.154
m	n	0.138
v	-	0.116
ˈuː	ˈʊ	0.115
ˈa	ˈɔ	0.112
ˈʊ	ˈɔ	0.097
k	k_ə	0.097
æ	ə	0.095
n	n_d	0.081
n	n_ə	0.072
ˈɪ	ˈaɪ̯	0.052
