Icelandic	Old West Norse	probability
θ	θ	1.0
ˈʏː	ˈu	1.0
ˈʏ	ˈu	1.0
ˈɛːi̯_j	ʝː	1.0
ˈɛi̯	ˈɛi̯	1.0
ˈɔː	ˈo	1.0
ˈɔu̯	ˈoː	1.0
ˈɑːu̯	ˈɑː	1.0
ˈœ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈou̯	ˈo	1.0
ˈaːu̯	ˈɑː	1.0
ˈau̯	ˈɑ	1.0
ʰt͡n̥	t_n	1.0
ʰt	tː	1.0
ʰc	cː	1.0
ʏ_r̥	r̥	1.0
ɲ	ŋ	1.0
ɪ	i	1.0
ɣ	ɣ	1.0
ɡ̊ː	ɡː	1.0
ɟ̊ː	ɟː	1.0
ɟ̊	ɟ	1.0
ɑu̯	ɑ	1.0
ŋ	ŋ	1.0
ð_ʏ	ð	1.0
ð	ð	1.0
x	k	1.0
v_ʏ	f	1.0
u	u	1.0
t͡l̥	lː	1.0
tʰ	tʰ	1.0
t	t	1.0
sː	sː	1.0
r̥_t	r_t	1.0
r̥_s	r_s	1.0
r_a	r_ɑ	1.0
pʰ	pʰ	1.0
p_n̥	v_n	1.0
p	p	1.0
nː	nː	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_ˈɛː	ˈeː	1.0
j_ˈɛ	ˈeː	1.0
j_ʏ	u	1.0
j	j	1.0
i	i	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
cʰ	cʰ	1.0
c	c	1.0
b̥	b	1.0
aːu̯	ɑː	1.0
r	r	0.982
s	s	0.979
ˈoːu̯	ˈoː	0.955
n	n	0.924
ˈa	ˈɑ	0.893
v	v	0.87
ˈɔ	ˈo	0.848
a	ɑ	0.848
ˈaː	ˈɑ	0.847
ˈœːy̯	ˈɑu̯	0.799
r̥	r̥	0.791
ˈuː	ˈuː	0.744
ɡ̊	ɡ	0.739
n̥	kʰ_n	0.729
kʰ	kʰ	0.704
ˈɑu̯	ˈɑ	0.703
ʰk	kː	0.687
l̥	l	0.676
ˈɪː	ˈi	0.671
ʰp	p	0.667
ɛ	-	0.667
ˈɛ	ˈe	0.661
ʏ	-	0.659
ˈi	ˈi	0.656
t͡n̥	n	0.656
ˈiː	ˈiː	0.642
ˈɛːi̯	ˈɛi̯	0.625
ˈɛː	ˈe	0.624
ˈaːi̯	ˈøː	0.614
ˈai̯	ˈɛː	0.593
ˈɪ	ˈi	0.566
ç	ç	0.562
ˈœː	ˈɔ	0.5
ˈœː	-	0.5
ç	h	0.438
ˈɪ	ˈy	0.434
ˈai̯	ˈøː	0.407
ˈaːi̯	ˈɛː	0.386
ˈɛːi̯	ˈøy̯	0.375
ˈiː	ˈyː	0.358
ˈi	ˈy	0.344
t͡n̥	nː	0.344
ʏ	u	0.341
ˈɛ	ˈɛ	0.339
ʰp	pː	0.333
ɛ	e	0.333
ˈɪː	-	0.329
l̥	l̥	0.324
ʰk	k	0.313
ˈɑu̯	ˈɑː	0.297
kʰ	x	0.296
n̥	n̥	0.271
ˈɛː	ˈeː	0.268
ɡ̊	ɣ	0.261
ˈuː	ˈuː_ɣ	0.256
r̥	r̥ː	0.209
ˈœːy̯	ˈɒu̯	0.201
ˈaː	ˈa	0.153
ˈɔ	-	0.152
a	a	0.152
ˈɛː	ˈɛ	0.108
ˈa	ˈa	0.107
v	w	0.09
n	-	0.076
