Scots	Scots	probability
θ	θ	1.0
ˈʌu̯	ˈu	1.0
ˈɪ_n	ˈi_n	1.0
ˈɛː	ˈi_ɡ	1.0
ˈɛ_l	ˈi_l	1.0
ˈəi̯	ˈiː	1.0
ˈøː	ˈoː	1.0
ˈaːɪ̯	ˈi_m	1.0
ˈaɪ̯	ˈiː	1.0
ʧ	k_iː	1.0
ʍ	ʍ	1.0
ʃ	s_k	1.0
ɡ	ɡ	1.0
ɛ	a	1.0
ð	θ	1.0
ç	h	1.0
z	s	1.0
x	h	1.0
w	w	1.0
v	β	1.0
s	s	1.0
r_ˈɪ	r	1.0
r_#>	#>	1.0
p	p	1.0
k	k	1.0
j	j	1.0
h	h	1.0
b	b	1.0
<#_θ	<#_θ	1.0
<#_tʰ	<#_t	1.0
<#_s	<#_s	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_d	<#_d	1.0
<#	<#_h	1.0
l	l	0.889
f	f	0.882
r	r	0.868
m	m	0.857
ˈɑː	ˈa	0.8
t	t	0.76
n	n	0.75
ˈeː	ˈa	0.727
ŋ	ŋ_ɡ	0.714
ˈɛ	ˈa	0.667
ˈø	ˈoː	0.667
ˈa	ˈa	0.667
#>	s_#>	0.667
ˈɪ	ˈi	0.632
ˈʌ	ˈu	0.625
ˈu	ˈu	0.571
ˈuː	ˈuː	0.5
ˈuː	ˈu_lː	0.5
ˈo	ˈɔː	0.5
ˈo	ˈɔ	0.5
ˈe	ˈɛː	0.455
ə	a	0.438
ˈʌ	-	0.375
d	d	0.375
ˈiː	ˈiu̯	0.364
ˈe	ˈa	0.364
ˈɛ	ˈɛ	0.333
ˈø	-	0.333
ˈa	-	0.333
d	θ	0.333
ə	-	0.312
#>	a_n_#>	0.303
ˈu	ˈuː	0.286
ŋ	ŋ	0.286
ˈiː	s	0.273
ˈeː	-	0.273
t	t_s	0.24
ˈi	ˈɔː	0.211
ˈi	ˈiu̯	0.211
ˈi	ˈi	0.211
ˈɑː	-	0.2
ˈiː	ˈiː_s	0.182
ˈiː	ˈeː	0.182
ˈe	-	0.182
ˈɪ	ˈa	0.158
ˈi	-	0.158
ˈu	ɡʷː	0.143
m	m_ˈeː	0.143
r	s	0.132
ə	u	0.125
ə	r_u	0.125
d	θ_s	0.125
f	l_b	0.118
n	n_s	0.111
l	ɡ_l	0.111
ˈɪ	ˈɔ	0.105
ˈɪ	ˈoː	0.105
ˈi	ˈɔ	0.105
ˈi	ˈeː	0.105
n	nː	0.083
d	θ_iː	0.083
d	t	0.083
n	n_ˈiu̯	0.056
