Catalan	Galician	probability
mː	m	1.0
ð	ð	1.0
ʎː	ʎ	1.0
k	ɣ	0.151
l	ɾ	0.111
r	ɾ	0.721
w	ʊ	0.081
w	θ_ʊ	0.1
ʤ	θ	0.291
ˈɔ	ˈo	0.431
β	p	0.051
s	θ	0.132
t	ð	0.172
z	ð	0.282
z	s	0.572
ɲ	n	0.202
ɾ	-	0.072
ʃ	θ	0.532
ʒ	-	0.282
b	b	0.893
p	-	0.063
u	ˈa	0.053
w	ˈɔ	0.053
w	θ	0.073
w	β	0.153
z	θ	0.113
ŋ	ŋ	0.843
ɡ	ɣ	0.073
ʒ	ʃ	0.653
i	e	0.174
j	j	0.554
p	β	0.064
p	p	0.794
t	t	0.704
ŋ	ɲ	0.134
ə	ɪ	0.054
ə	ɐ	0.484
ɡ	ɡ	0.814
ʃ	j_ʃ	0.424
ˈa	ˈa	0.764
ˈe	ˈɛ	0.284
ˈu	ˈo	0.24
ˈu	ˈu	0.74
f	f	0.95
l	l	0.465
m	m	0.985
n	n	0.725
t	-	0.115
w	-	0.255
ɾ	r	0.065
ʒ	β	0.065
ʧ	ɣ	0.295
ˈo	ˈo	0.755
l	ʊ	0.066
ə	e	0.146
ɣ	ɣ	0.796
ɲ	ɲ	0.756
ɾ	ʃ	0.076
ˈi	ˈe	0.26
ˈɛ	ˈɛ	0.216
β	β	0.846
i	i	0.697
j	w	0.107
j	ˈi	0.307
k	k	0.827
s	s	0.717
u	o	0.697
ɣ	ð	0.067
ɣ	β	0.137
ɾ	ɾ	0.787
ʎ	ʎ	0.237
ʎ	l	0.727
ʧ	j	0.657
ˈe	a	0.087
ˈɛ	ˈi	0.087
β	b	0.087
n	ɲ	0.098
r	r	0.268
ˈe	ˈe	0.608
ˈi	ˈi	0.648
ˈo	ˈɔ	0.138
ˈɔ	o	0.058
d	-	0.069
d	d	0.909
i	j	0.129
l	w	0.099
l	-	0.229
n	-	0.159
p	ʧ	0.079
w	w	0.199
ə	a	0.119
ə	-	0.169
ʤ	ɣ	0.709
ˈa	ˈɑ	0.159
ˈɔ	ˈɔ	0.479
ˈɛ	ˈe	0.619
