East Low German	Bavarian	probability
ae̯	eɐ̯	1.0
b	b̥	0.979
d	d̥	0.957
f	f	0.807
f	b̥	0.118
f	-	0.064
h	h	0.958
j	ɡ̊	0.896
j	j	0.104
k	x	0.479
k	k	0.144
k	ɡ̊	0.135
k	ç	0.132
k	-	0.111
kʰ	kʰ	1.0
l	l	0.561
l	j	0.391
m	m	0.822
m	a	0.073
m	b̥	0.061
n	n	0.969
p	f	0.839
p	p	0.102
p	p͡f	0.059
r	r	1.0
s	s	0.897
s	ʃ	0.103
t	s	0.404
t	t	0.248
t	ʦ	0.172
t	d̥	0.168
tʰ	ʦ	0.85
tʰ	d̥	0.15
v	ʋ	0.899
v	-	0.063
w	ʋ	1.0
x	x	0.524
x	ɡ̊	0.476
z	s	1.0
æ	ɐ	0.484
æ	a	0.351
æ	r	0.1
æ	-	0.066
ç	ɡ̊	0.687
ç	x	0.141
ç	ç	0.102
ç	k	0.07
ŋ	ŋ	0.868
ŋ	ɡ̊	0.132
ɡ	ɡ̊	1.0
ɣ	-	1.0
ɪ	i	0.565
ɪ	-	0.325
ɪ	ŋ	0.11
ɾ	d̥	0.734
ɾ	-	0.183
ɾ	t	0.083
ʃ	ʃ	1.0
ˈa	ˈo	0.246
ˈa	ˈa	0.202
ˈa	ˈɒː	0.15
ˈa	ˈɔ	0.144
ˈa	ˈoː	0.123
ˈa	ˈɒ	0.09
ˈae̯	ˈoɐ̯	0.345
ˈae̯	ˈiɐ̯	0.276
ˈae̯	ˈi	0.1
ˈae̯	ˈai̯	0.092
ˈaɪ̯	ˈeː	0.5
ˈaɪ̯	ˈiː	0.5
ˈaʊ̯	ˈuɐ̯	0.414
ˈaʊ̯	ˈaː	0.178
ˈaʊ̯	ˈou̯	0.149
ˈaʊ̯	ˈeɐ̯	0.096
ˈaː	ɐ	0.462
ˈaː	ˈoː	0.235
ˈaː	ˈa	0.143
ˈaː	ˈoɐ̯	0.104
ˈaː	ˈɒː	0.056
ˈeː	ˈɛː	0.502
ˈeː	ˈeː	0.498
ˈiː	ˈai̯	0.541
ˈiː	ˈi	0.32
ˈiː	ˈe	0.114
ˈoː	ˈa	0.243
ˈoː	ˈɒː	0.229
ˈoː	ˈaː	0.194
ˈoː	ˈoɐ̯	0.141
ˈoː	ˈɛ	0.097
ˈoː	ˈou̯	0.096
ˈuː	ˈau̯	0.594
ˈuː	ˈoɐ̯	0.22
ˈuː	ˈu	0.107
ˈuː	ˈaː	0.056
ˈyː	ˈai̯	0.603
ˈyː	ˈe	0.397
ˈøː	ˈi	1.0
ˈœ	ˈe	0.306
ˈœ	ˈuɐ̯	0.306
ˈœ	ˈɛ	0.186
ˈœ	ˈaː	0.126
ˈœ	ˈɔ	0.077
ˈœː	ˈiː	0.394
ˈœː	ˈu	0.297
ˈœː	ˈy	0.168
ˈœː	ˈau̯	0.1
ˈɒː	ˈoː	0.275
ˈɒː	ˈɔ	0.194
ˈɒː	ˈe	0.107
ˈɒː	ˈɛː	0.107
ˈɒː	ˈɒ	0.08
ˈɒː	ˈaː	0.074
ˈɒː	ˈo	0.074
ˈɔ	ˈo	0.417
ˈɔ	ˈu	0.274
ˈɔ	ˈɔ	0.193
ˈɔ	ˈɛ	0.116
ˈɔʏ̯	ˈeɐ̯	0.244
ˈɔʏ̯	ˈeː	0.233
ˈɔʏ̯	ˈuɐ̯	0.225
ˈɔʏ̯	ˈiɐ̯	0.195
ˈɔʏ̯	ˈu	0.103
ˈɛ	ˈeː	0.297
ˈɛ	ˈe	0.224
ˈɛ	ˈo	0.19
ˈɛ	ˈɛ	0.108
ˈɛ	ˈi	0.079
ˈɛ	ˈoː	0.06
ˈɛɪ̯	ˈɑː	1.0
ˈɛː	ˈɛ	0.458
ˈɛː	ˈa	0.173
ˈɛː	ˈe	0.108
ˈɛː	ˈeː	0.104
ˈɛː	ˈo	0.081
ˈɛː	ˈai̯	0.076
ˈɪ	ˈi	0.661
ˈɪ	ˈa	0.076
ˈɪ	ˈiː	0.076
ˈɪ	ˈɛ	0.059
ˈʊ	ˈu	0.568
ˈʊ	ˈo	0.274
ˈʊ	ˈau̯	0.103
ˈʏ	ˈʏ	0.339
ˈʏ	ˈai̯	0.261
ˈʏ	ˈu	0.247
ˈʏ	ˈe	0.088
ˈʏ	ˈɛ	0.065
