Czech	Standard Serbian	probability
ʧ	ʧ	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ɦ_ɛ	ɡ_a	1.0
ɦ	ɡ	1.0
ɟ	d	1.0
z̥	-	1.0
z	z	1.0
x	x	1.0
v_j	ʋ	1.0
v	ʋ	1.0
uː_l	oː	1.0
t	t	1.0
r̝̊	r	1.0
r̝_ɛ	r_eː	1.0
r_iː	a_r	1.0
p	p	1.0
n	n	1.0
m̩	a_m	1.0
m	m	1.0
l_u	uː	1.0
l_iː	̂_o	1.0
k_iː	a_k	1.0
j	j	1.0
d_ɛ	d_e	1.0
c	t	1.0
b̥	b	1.0
b	b	1.0
k	k	0.943
d	d	0.928
s	s	0.918
r	r	0.866
l	l	0.815
a	a	0.794
r̝	r	0.766
o	o	0.75
aː	a_̂	0.745
uː	o_̂	0.691
u	uː	0.683
ʦ	ʦ	0.66
ɲ	-	0.657
ɪ	i	0.647
j_ɛ	eː_̂	0.644
ɛː	-	0.6
ɛ	e	0.534
l̩	-	0.506
l̩	u	0.494
r̩	r̩	0.429
ɛː	e_̂	0.4
iː	i_̂	0.376
j_ɛ	eː	0.356
ɪ	iː_̂	0.353
ɲ	ɲ	0.343
ʦ	ʨ	0.34
ou̯	uː_̌	0.333
ou̯	uː	0.333
ou̯	u	0.333
u	u_̂	0.317
uː	-	0.309
r̩	r̩ː	0.286
r̩	a_r	0.286
aː	aː_̂	0.255
iː	eː	0.245
r̝	r̩	0.234
iː	iː	0.198
iː	e_̂	0.182
o	oː	0.177
a	aː	0.173
ɛ	a	0.154
r	r̩ː	0.134
ɛ	eː	0.118
l	ʎ	0.102
ɛ	eː_̂	0.085
s	s_a	0.082
o	a	0.073
d	-	0.072
ɛ	a_̂	0.059
l	o	0.057
k	-	0.057
