Franco-Provençal	Occitan	probability
d	d	1.0
i	ɔ	1.0
k	k	1.0
m	m	1.0
p	p	1.0
s	s	1.0
z	z	1.0
ɛ	e	1.0
ɲ	ɲ	1.0
ʒ	ʒ	1.0
ˈa	ˈa	1.0
ˈĩ	ˈi	1.0
ˈø	ˈu	1.0
ˈɑː	ˈa	1.0
ˈɔ̃	ˈu	1.0
t	s_t	0.081
t	t	0.901
ð	ɾ	0.601
ə	ɔ	0.491
ˈɛː	ˈɛ	0.181
a	ɔ	0.752
e	e_s	0.92
n	-	0.112
v	v	0.632
w	ˈu	0.072
w	-	0.302
w	ɥ	0.362
ʁ	ɾ	0.452
ˈu	ˈy	0.472
b	b	0.933
o	w	0.13
o	u	0.213
o	e	0.563
ð	ʒ	0.213
ˈe	ˈi	0.103
ˈi	ˈe	0.253
f	f	0.914
l	l	0.984
w	ˈɔ	0.074
ʃ	k	0.734
ʎ	ʎ	0.374
ˈaː	ˈa	0.634
ˈi	ˈɛ	0.14
ˈo	ˈɔ	0.144
ˈoː	ˈa	0.234
ˈɔ	ˈɔ	0.354
ˈɛ	ˈe	0.394
ˈɛ̃	ˈe	0.144
j	-	0.545
o	i	0.095
ˈe	ˈa	0.225
ˈɑ̃	ˈa_n	0.395
ˈɑ̃	ˈa	0.605
f	w	0.086
j	i	0.056
ʃ	ʦ	0.266
ʎ	l	0.626
ˈaː	ˈa_j	0.366
ˈe	ˈɛ	0.346
ˈo	ˈu	0.856
ˈɔ	ˈu	0.646
ˈɛ	ˈɛ	0.606
ˈɛː	ˈe_j	0.16
b	β	0.067
v	β	0.357
ˈi	ˈi	0.607
ˈoː	ˈɔ	0.497
a	a	0.248
e	e	0.08
n	n	0.888
ð	ʤ	0.088
ð	-	0.098
ʁ	r	0.508
ˈe	-	0.298
ˈu	ˈu	0.528
ˈɛ̃	ɲ	0.088
ˈɛ̃	ˈɛ_n	0.768
j	j	0.399
w	ˈy	0.19
ə	e	0.499
ɡ	ɡ	0.959
ˈoː	ˈu	0.269
ˈɛː	ˈe	0.659
