Macedonian	Belarusian	probability
ʧ	ʧ	1.0
ʦ_ɛ	ʦ_a	1.0
ʦ	ʦ	1.0
ʣ	zʲ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɾ	r	1.0
ɲ	nʲ	1.0
ɡ	ɣ	1.0
ɟ	ʣʲ	1.0
z̥	z̥	1.0
x	xʲ_i	1.0
t_o	t_o	1.0
s_k	sʲ	1.0
r̩	r	1.0
r_ɛ	r_a	1.0
o_k	kʲ_i	1.0
k	k	1.0
j	j	1.0
b̥	b̥	1.0
a_r	r_ɨ	1.0
l	lʲ	0.875
d̥	d̥	0.874
r	r	0.802
ɡ̊	x	0.796
ɫ	ɫ	0.758
n	n	0.698
s	s	0.667
o	o	0.624
z	z	0.588
p	pʲ	0.563
ɔ	o	0.556
d	d	0.55
m	m	0.549
f	v_ɨ	0.548
t	t	0.514
b	b	0.507
b	bʲ	0.493
v	vʲ	0.473
u	u	0.462
m	mʲ	0.451
v	v	0.448
i	ɨ_ˈ	0.448
ɔ	-	0.444
p	p	0.437
t	ʦʲ	0.421
a	a_ˈ	0.419
z	zʲ	0.412
ɛ	e	0.376
d	ʣʲ	0.344
u	-	0.335
s	sʲ	0.333
n	nʲ	0.302
o	a	0.283
f	w	0.269
ɛ	æ	0.253
a	a	0.238
i	i_ˈ	0.211
ɡ̊	ɣʲ	0.204
u	ʉ	0.204
r	a_r	0.198
i	i	0.198
f	xʲ_i	0.182
i	ɨ	0.144
ɫ	ɫ_ɨ	0.13
d̥	ʤ̥	0.126
l	ʌ_ɫ	0.125
ɫ	w	0.112
ɛ	a	0.104
a	o	0.098
v	x	0.079
a	æ	0.077
ɛ	ˈ_ʦʲ	0.075
ɛ	-	0.075
d	-	0.073
a	-	0.067
t	t_ɨ	0.065
a	u_ˈ	0.064
