Provençal	Provençal	probability
ˈɛ_j	ˈe_j	1.0
ˈɔ	ˈe	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi_#>	ˈi_ɾ_#>	1.0
ˈi	ˈi	1.0
ˈe_k	ˈe_ɣ	1.0
ˈe_d	ˈe_ð	1.0
ˈe_#>	ˈe_ɾ_#>	1.0
ˈã	ˈa	1.0
ˈa_w	ˈo	1.0
ˈa_#>	ˈa_ɾ_#>	1.0
ʧ	j_t	1.0
ɾ_ɔ	ɾ_a	1.0
ɾ_e	ɾ_o	1.0
ɾ	ɾ	1.0
ɲ	ɲ	1.0
ɔ_#>	#>	1.0
ŋ_#>	n_#>	1.0
y	u	1.0
w_ˈe	ˈo	1.0
w_t	t	1.0
ũ	o	1.0
t_ɔ	t_a	1.0
t	t	1.0
s_k	s_k	1.0
s_#>	θ_#>	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	z_l	1.0
k_ɾ	k_ɾ	1.0
k_#>	k_o_#>	1.0
j_ɾ	j	1.0
j_ɔ	ʎ_a	1.0
j_s	ʃ	1.0
ĩ	i	1.0
f	f	1.0
ẽ	-	1.0
e_#>	#>	1.0
b_w	b_w	1.0
ã	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_ɥ	<#_w	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_b	<#_b	1.0
<#_a	<#_a	1.0
ɔ	a	0.962
k	k	0.897
a	a	0.875
b	β	0.867
ˈa	ˈa	0.865
ʀ	ɾ	0.789
ˈe	ˈe	0.783
ˈɛ	j_ˈe	0.75
v	b	0.739
l	l	0.731
ˈy	ˈu	0.727
e	e	0.697
<#_s	<#_s	0.692
s	s	0.682
ˈu	ˈo	0.667
ʤ	ʧ	0.667
u	o	0.615
ˈũ	ˈo	0.6
i	i	0.6
#>	o_#>	0.588
ˈẽ	ˈe	0.583
ɡ	ɡ	0.562
w	w	0.524
d	d	0.522
ɥ	w	0.5
ɥ	-	0.5
ɡ	ɣ	0.438
w_#>	ʎ_o_#>	0.429
w_#>	l_#>	0.429
ˈẽ	j_ˈe	0.417
ˈũ	ˈu	0.4
z	θ	0.4
z	s	0.4
i	e	0.4
u	u	0.385
ˈu	ˈu	0.333
ʤ	-	0.333
<#_s	<#_θ	0.308
d	ð	0.304
ŋ	n_o	0.303
j	ʎ	0.292
ˈy	ˈu_ɾ	0.273
v	β	0.261
ˈɛ	ˈe	0.25
j	ˈe	0.25
j	-	0.25
ŋ	n	0.242
ŋ	ŋ	0.212
j	j	0.208
z	ð	0.2
l	ʎ	0.192
ŋ	n_t	0.182
s	θ	0.182
d	-	0.174
#>	e_#>	0.162
w_#>	#>	0.143
s	ʃ	0.136
b	b	0.133
a	a_ð	0.125
e	i	0.121
ʀ	r	0.105
ʀ	o	0.105
k	ɡ	0.103
w	o	0.095
w	l_o	0.095
#>	s_#>	0.088
ˈa	w_ˈa	0.081
l	-	0.077
w	β	0.071
w	ˈo	0.071
w	l	0.071
w	-	0.071
ŋ	o	0.061
e	ˈe_ɾ	0.061
e	o	0.061
e	-	0.061
#>	ɾ_#>	0.059
ˈa	ˈo	0.054
