Faroese	Swedish	probability
a	a	0.806
a	-	0.119
a	d_a	0.048
a	ɪ	0.026
b̥	b	0.96
b̥	-	0.044
d̥	d	0.852
d̥	j	0.082
d̥	lː	0.063
d̥_ʊ	d	1.0
f	f	0.89
f	-	0.097
h	h	1.0
j	-	0.42
j	j	0.4
j	ˈæː	0.094
j	jː	0.052
k	k	1.0
kʰ	kʰ	0.696
kʰ	-	0.297
l	l	0.969
l	-	0.035
l_ʊ	l	1.0
l̥	l	0.875
l̥	lː	0.083
l̥_ʊ	lː	1.0
m	m	0.737
m	mː	0.255
m_ʊ	m	1.0
n	n	0.879
n	nː	0.081
n	-	0.04
n_ʊ	n	1.0
nː	nː	0.777
nː	n	0.212
n̥	ɳ	0.54
n̥	n	0.409
n̥	ŋ	0.035
p	p	0.312
p	pː	0.312
p_ʊ	p	1.0
r	r	0.473
s	s	0.966
s	ɧ	0.029
s	sː	0.028
s_ʊ	s	1.0
sː	sː	1.0
t	t	0.553
t	-	0.28
t	tː	0.061
t	ɳ	0.054
t	d	0.047
t_ʊ	t	1.0
tʰ	tʰ	0.827
tʰ	d	0.085
tʰ	t	0.085
tː	v	0.473
v	v	0.747
v	-	0.216
v	d	0.035
v_ʊ	ɡ	1.0
w	-	0.481
w	ɡ	0.328
w	m	0.174
ŋ	ŋː	0.581
ŋ	-	0.412
ə	ɛ	0.473
ɛ	ɵ	0.473
ɡ̊	ɡ	0.401
ɡ̊	-	0.334
ɡ̊	ɡː	0.103
ɡ̊	ɡ_ɛ	0.103
ɡ̊	ŋ	0.048
ɡ̊_ʊ	ŋ	0.626
ɡ̊_ʊ	ɛ	0.351
ɪ	ɛ	0.615
ɪ	-	0.243
ɪ	ɪ	0.133
ɲ	ŋː	0.224
ɹ	-	0.559
ɹ	r	0.426
ɹ_ʊ	r	1.0
ɹː	rː	0.473
ʃ	ɧ	0.856
ʃ	k	0.115
ʈ	ʈː	1.0
ʊ	-	0.673
ʊ	ɛ	0.084
ʊ	ʊ	0.075
ʊ	a	0.053
ʊ	e	0.035
ʊ_ɹ	r	1.0
ʊ̯ˈiː	ˈiː	0.224
ʎ	l	0.224
ʤ̊	-	0.605
ʤ̊	j	0.309
ʤ̊	ɡː	0.061
ʧ	k	0.312
ʧ	j	0.312
ʧʰ	ɕ	0.833
ʧʰ	j	0.132
ʧː	-	1.0
ʰk	kː	0.224
ʰkː	kː	0.371
ʰkː	k	0.245
ʰp	p	1.0
ʰt	tː	0.538
ʰt	t	0.2
ʰt	d	0.132
ʰtː	tː	1.0
ʰʧ	k	0.224
ˈa	ˈa	0.752
ˈa	ˈɑː	0.11
ˈa	ˈɛ	0.11
ˈa	ˈæ	0.035
ˈai̯	ˈeː	0.733
ˈai̯	ˈɛ	0.265
ˈaːi̯	ˈeː	0.841
ˈaːi̯	ˈɛː	0.097
ˈeə̯	ˈɛ	0.473
ˈeː	ˈɛː	0.424
ˈeː	ˈeː	0.18
ˈeː	ˈɛ	0.178
ˈeː	ˈæː	0.118
ˈiː	ˈeː	0.407
ˈiː	ˈøː	0.215
ˈiː	ˈɛ	0.192
ˈiː	ˈɪ	0.054
ˈoː	ˈɔ	0.425
ˈoː	ˈɪ	0.425
ˈoː	ˈoː	0.068
ˈuː	ˈʉː	0.776
ˈuː	ˈoː	0.165
ˈøː	ˈøː	0.366
ˈøː	ˈɛː	0.236
ˈøː	ˈœ	0.236
ˈøː	ˈæː	0.068
ˈøː	ˈuː	0.049
ˈœ	ˈɔ	0.29
ˈœ	ˈœ	0.187
ˈœ	-	0.123
ˈœ	ˈøː	0.086
ˈœ	ˈʉː	0.086
ˈɔ	ˈa	0.325
ˈɔ	ˈɔ	0.246
ˈɔ	ˈɵ	0.159
ˈɔ	ˈɑː	0.096
ˈɔ	ˈoː	0.096
ˈɔ_t	ˈuː	1.0
ˈɔːi̯	ˈœː	0.45
ˈɔːi̯	ˈœ	0.201
ˈɔːi̯	ˈøː	0.185
ˈɔːu̯	ˈʉː	0.467
ˈɔːu̯	ˈuː	0.389
ˈɔːu̯	ˈʊ	0.125
ˈɔːu̯_w	ˈuː	1.0
ˈɔ̯aː	ˈoː	0.883
ˈɔ̯aː	ˈøː	0.114
ˈɛ	ˈɛ	0.714
ˈɛ	ˈɪ	0.102
ˈɛ	ˈoː	0.09
ˈɛ	ˈøː	0.07
ˈɛːa̯	ˈɑː	0.446
ˈɛːa̯	ˈɛː	0.156
ˈɛːa̯	ˈa	0.088
ˈɛːa̯	ˈʉː	0.088
ˈɛːa̯	ˈeː	0.088
ˈɛːi̯	ˈøː	0.747
ˈɛːi̯	ˈœ	0.066
ˈɛːi̯	ˈʉː	0.066
ˈɛːi̯	ˈoː	0.066
ˈɪ	ˈɪ	0.536
ˈɪ	ˈʏ	0.205
ˈɪ	ˈœ	0.099
ˈɪ	ˈɛ	0.087
ˈɪ	ˈɵ	0.05
ˈɪ_ɡ̊	ˈuː	1.0
ˈʉːu̯	ˈʉː	1.0
ˈʊ	ˈɵ	0.341
ˈʊ	ˈʊ	0.201
ˈʊ	ˈiː	0.149
ˈʊ	ˈoː	0.086
ˈʊ	ˈɔ	0.068
ˈʊ_t	ˈɵ	0.473
ˈʊ̯iː	ˈiː	0.685
ˈʊ̯iː	ˈyː	0.121
ˈʊ̯iː	ˈʉː	0.08
ˈʊ̯iː	ˈeː	0.08
ˈʊ̯iː	ˈœ	0.037
ˈʊ̯iː_ɹ	ˈyː	1.0
ˈʏ	ˈyː	0.322
ˈʏ	ˈɔ	0.19
ˈʏ	ˈɵ	0.175
ˈʏ	ˈʏ	0.103
