Old English	Old West Norse	probability
ˈæɑ̯	ˈɑ	1.0
ˈæ	ˈɑ	1.0
ˈyː	ˈyː	1.0
ˈiː	ˈiː	1.0
ˈiy̯	-	1.0
ʧː	cː	1.0
ʤː	ʝː	1.0
ʤ	ɡː	1.0
ɫː	lː	1.0
ɫ_d	lː	1.0
ɑ_n	ɑ	1.0
ŋ_k	kː	1.0
ŋ	ŋ	1.0
ð	ð	1.0
æːɑ̯	ˈɑː	1.0
z	s	1.0
xː	j	1.0
v	v	1.0
u	r̥	1.0
s_w	s	1.0
r_ˈeːo̯	r	1.0
r_t	r_t	1.0
r_n	r_n	1.0
pː	pː	1.0
nː	nː	1.0
mː	mː	1.0
m	m	1.0
l	l	1.0
kː	kː	1.0
iːy̯	ɑː	1.0
iː	i_ɡ	1.0
h_n	n̥	1.0
h_l	l̥	1.0
e_r	r̥	1.0
dː	ð_j	1.0
d_i	ʦ	1.0
bː	v	1.0
b	b	1.0
a	i	1.0
s	s	0.93
ɡ	ɡ	0.904
ɫ	l	0.902
p	p	0.888
ɑ	a	0.874
f	f	0.869
n	n	0.805
ɣ	ɣ	0.798
t	t	0.798
ˈu	ˈu	0.777
h	h	0.765
θ	θ	0.758
r	r	0.739
ˈɑː	ˈɛi̯	0.737
x	-	0.696
ˈæː	ˈɑː	0.674
ˈi	ˈi	0.672
ˈuː	ˈuː	0.648
ˈo	ˈo	0.623
ˈiːy̯	ˈøy̯	0.609
ˈoː	ˈoː	0.58
o	-	0.569
ʃ	s_c	0.558
ˈɑ	ˈɑ	0.541
ç	tː	0.514
d	ð	0.513
ˈe	ˈe	0.511
ˈeo̯	-	0.5
ɣ̊	ɡ	0.5
ɣ̊	-	0.5
ç	-	0.486
ʧ	k	0.485
ˈy	-	0.446
ʃ	s_k	0.442
o	i	0.431
k	kʰ	0.43
d	d	0.43
j	ɣ	0.421
k	k	0.416
ˈeː	ˈøː	0.413
ˈiːy̯	ˈyː	0.391
ˈeː	ˈeː	0.388
i	ɑ	0.379
i	u	0.379
ˈæːɑ̯	ˈɑː	0.357
ˈæːɑ̯	ˈɑu̯	0.35
j	ɡ	0.347
ˈæː	ˈɛ	0.326
e	ɑ	0.325
w	v	0.322
ʧ	kʰ	0.31
x	r̥	0.304
ˈoː	ˈɑː	0.302
ˈy	ˈu	0.297
ˈeo̯	j_ˈɑ	0.279
ˈo	ˈy	0.274
ˈy	ˈy	0.257
ˈɑ	ˈa	0.248
θ	ð	0.242
i	-	0.241
e	-	0.241
ˈuː	ˈu	0.233
j	ɟ	0.232
ˈeːo̯	j_ˈuː	0.231
ˈeːo̯	j_ˈoː	0.231
ˈu	ˈo	0.223
ˈeo̯	j_ˈɔ	0.221
w	ˈoː	0.214
ˈɑ	ˈɔ	0.212
e	r̥	0.211
ʧ	-	0.204
w	w	0.204
ˈæːɑ̯	-	0.203
ɣ	-	0.202
ˈeː	-	0.199
ˈeːo̯	ˈyː	0.189
ˈeːo̯	ˈeː	0.185
ˈi	ˈe	0.182
e	i	0.177
ˈe	-	0.176
t	tː	0.175
ˈeːo̯	j	0.164
w	-	0.164
k	cʰ	0.155
n	nː	0.147
ˈɑː	ˈɑː	0.134
f	v	0.131
ˈɑː	-	0.129
ɑ	ɑ	0.126
h	x	0.125
ˈuː	ˈyː	0.119
ˈoː	ˈɔː	0.118
ˈe	ˈɑ	0.113
ˈe	j	0.113
p	pʰ	0.112
h	ç	0.111
r	r̥	0.109
ˈo	ˈu	0.103
ɫ	lː	0.098
ɡ	ɟ	0.096
w	ˈu	0.096
r	r̥ː	0.094
ˈæːɑ̯	ˈɒu̯	0.091
ˈe	ˈɛ	0.088
ˈi	ˈy	0.087
s	sː	0.07
ˈi	ˈɑː	0.059
d	-	0.057
