Faroese	Swiss German	probability
a	ə	0.675
a	-	0.303
a	ˈeː	0.031
b̥	b̥	1.0
d̥	t	0.688
d̥	d̥	0.221
d̥	ʦ	0.087
f	f	0.898
f	-	0.098
h	h	0.942
h	χ	0.059
j	-	0.284
j	t	0.15
j	ˈæ	0.131
j	tː	0.114
j	d̥	0.086
k	χ	0.714
k	k	0.123
k	ʃː	0.094
kʰ	χ	0.642
kʰ	-	0.253
kʰ	f	0.087
l	l	0.949
l	-	0.051
l_ʊ	l	0.491
l̥	l	0.826
l̥	w	0.142
l̥_ʊ	l	1.0
m	m	0.929
m	mː	0.07
m_ʊ	m	1.0
n	n	0.718
n	-	0.227
n	t	0.053
n_d̥	ŋ	1.0
n_ʊ	n	1.0
nː	n	0.299
nː	n_d̥	0.193
nː	-	0.146
nː	l	0.146
nː	ˈau̯	0.102
n̥	r_n	0.33
n̥	ə	0.287
n̥	r	0.165
n̥	-	0.107
n̥	n	0.075
p	f	0.723
p	p͡f	0.204
r	ˈy	0.241
s	s	0.631
s	ʃ	0.318
s	t	0.033
s	-	0.032
s_k	ʃ	1.0
sː	s	0.574
sː	sː	0.282
t	t	0.368
t	-	0.273
t	s	0.147
t	sː	0.115
t	ʦ	0.087
t_ʊ	sː	1.0
tʰ	ʦ	0.471
tʰ	d̥	0.347
tʰ	t	0.145
tː	p	0.324
tː	p͡f	0.324
v	ʋ	0.512
v	b̥	0.179
v	-	0.127
v	f	0.084
v	χ	0.041
v_ʊ	f	1.0
w	t	0.44
w	-	0.322
w	d̥	0.177
w	ə	0.049
ŋ	ŋ	0.642
ŋ	-	0.236
ŋ	i	0.101
ə	-	0.491
ɛ	i	0.491
ɡ̊	ɡ̊	0.681
ɡ̊	-	0.311
ɪ	ə	0.463
ɪ	-	0.457
ɪ	i	0.072
ɲ	ŋ	1.0
ɹ	-	0.545
ɹ	r	0.398
ɹ	ɡ̊	0.033
ɹ_a	r	1.0
ɹ_ʊ	r	1.0
ɹː	χ	0.491
ʃ	ʃ	0.964
ʃ	s	0.04
ʈ	ʦ	1.0
ʊ	-	0.804
ʊ	ə	0.154
ʊ	i	0.039
ʊ_ɹ	b̥	0.491
ʊ̯ˈiː	ˈiː	0.241
ʎ	l	1.0
ʤ̊	-	0.546
ʤ̊	ɡ̊	0.314
ʤ̊	t	0.11
ʧ	ɡ̊	0.372
ʧ	χ	0.182
ʧʰ	d̥	0.561
ʧʰ	χ	0.425
ʧː	n	0.491
ʰk	χ	1.0
ʰkː	ŋ_k	0.594
ʰkː	k	0.392
ʰp	p͡f	0.45
ʰp	fː	0.335
ʰt	sː	0.723
ʰt	s	0.204
ʰtː	χ_t	1.0
ʰʧ	k	1.0
ˈa	ˈɒ	0.57
ˈa	ˈa	0.178
ˈa	ˈɒː	0.074
ˈa	ˈiə̯	0.07
ˈa	ˈæː	0.058
ˈai̯	ˈɛi̯	0.594
ˈai̯	ˈæi̯	0.221
ˈai̯	ˈei̯	0.05
ˈaːi̯	ˈæi̯	0.683
ˈaːi̯	ˈei̯	0.221
ˈeə̯	ˈe	0.491
ˈeː	ˈæ	0.295
ˈeː	ˈø	0.194
ˈeː	ˈiə̯	0.194
ˈeː	ˈi	0.132
ˈeː	ˈæː	0.126
ˈiː	ˈi	0.407
ˈiː	ˈæ	0.346
ˈiː	ˈy	0.16
ˈoː	ˈo	0.45
ˈoː	ˈau̯	0.221
ˈoː	ˈɒː	0.125
ˈuː	ˈo	0.477
ˈuː	ˈyː	0.315
ˈuː	ˈæ	0.118
ˈøː	ˈyə̯	0.433
ˈøː	ˈæ	0.192
ˈøː	ˈɒ	0.17
ˈøː	ˈe	0.11
ˈœ	ˈo	0.226
ˈœ	ˈe	0.11
ˈœ	ˈu	0.11
ˈœ	ˈou̯	0.086
ˈœ	rː	0.086
ˈɔ	ˈɒ	0.257
ˈɔ	ˈoː	0.172
ˈɔ	ˈu	0.133
ˈɔ	ˈøi̯	0.099
ˈɔ	ˈøː	0.073
ˈɔ_t	ˈo	1.0
ˈɔːi̯	ˈou̯	0.297
ˈɔːi̯	ˈøː	0.182
ˈɔːi̯	ˈoː	0.182
ˈɔːi̯	ˈøi̯	0.182
ˈɔːu̯	ˈuə̯	0.501
ˈɔːu̯	ˈiə̯	0.269
ˈɔːu̯	ˈyː	0.112
ˈɔːu̯	ˈyə̯	0.085
ˈɔ̯aː	ˈɒː	0.411
ˈɔ̯aː	ˈɒ	0.152
ˈɔ̯aː	ˈeː	0.152
ˈɔ̯aː	ˈoː	0.11
ˈɔ̯aː	ˈo	0.077
ˈɛ	ˈæ	0.336
ˈɛ	ˈe	0.184
ˈɛ	ˈæː	0.121
ˈɛ	ˈi	0.094
ˈɛ	ˈei̯	0.088
ˈɛːa̯	ˈɒ	0.445
ˈɛːa̯	ˈɒː	0.278
ˈɛːa̯	ˈæ	0.109
ˈɛːa̯	ˈa	0.065
ˈɛːa̯	ˈyː	0.062
ˈɛːa̯_v	ˈɒː	1.0
ˈɛːi̯	ˈoː	0.526
ˈɛːi̯	ˈau̯	0.312
ˈɛːi̯	ˈøi̯	0.123
ˈɪ	ˈi	0.41
ˈɪ	ˈy	0.13
ˈɪ	ˈo	0.086
ˈɪ	ˈu	0.07
ˈɪ	r	0.069
ˈʉːu̯	ˈuː	0.745
ˈʉːu̯	ˈu	0.119
