Palatine German	Palatine German	probability
ˈɛ_β	ˈeː_v	1.0
ˈɛ_r	ˈeː	1.0
ˈɑː_ɐ	ˈɑ_ɾ	1.0
ˈɑ_s	ˈaː_t	1.0
ˈɑ_l	ˈɑu̯	1.0
ˈuː	ˈu	1.0
ˈõː	ˈoː_n	1.0
ˈo	ˈaː	1.0
ˈĩː	ˈu_n	1.0
ˈi	ˈi	1.0
ˈau̯̯	ˈœy̯	1.0
ˈau̯	ˈœy̯	1.0
ʣ̥	t	1.0
ɪ_ʃ	ə_χ	1.0
ɪ	ɪ	1.0
ɡ̊_ˈɑ	χ_ˈɑ	1.0
ɡ̊_s	s	1.0
ɑ	-	1.0
ɐ_ʣ̥	ɾ_t	1.0
ŋ	ŋ	1.0
x_d̥	χ_t	1.0
pʰ	p	1.0
n_ˈɑː	n_ˈaː	1.0
n_ʃ	n_s	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
h	ɦ	1.0
eː	i	1.0
d̥_ˈɪ	d_ˈɪ	1.0
d̥_r	d_ɾ	1.0
<#_ʣ̥	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
#>	ə_#>	1.0
β	ʋ	0.879
ə	ə_n	0.837
ˈɑ	ˈɑ	0.833
n	n	0.791
ʃ_#>	k_#>	0.778
ˈu	ˈɔ	0.722
ˈiː	ˈi	0.722
ˈɛː	ˈeː	0.714
ɡ̊	χ	0.704
r	ɾ	0.682
f	v	0.634
ˈɔ	ˈɔ	0.611
ˈɪ	ˈɪ	0.6
j	χ_ə	0.6
b̥	b	0.6
ɐ	ɾ	0.565
ˈoː	ˈoː	0.556
ˈaɪ̯	ˈɛi̯	0.55
ˈeː	ˈeː	0.538
ˈɛ	ˈɛ	0.52
ʃ	s	0.5
x	k	0.5
s	z	0.455
ˈoː	ˈaː	0.444
d̥	d̥	0.443
ˈɑː	ˈoː	0.438
j	j	0.4
ɐ	ə_ɾ	0.391
ˈɑː	ˈɑ	0.375
s	t	0.341
x	χ	0.3
d̥	d	0.3
ˈɔ	ˈoː	0.278
f	p	0.268
b̥	v̥	0.267
d̥	t	0.257
r	d	0.227
ʃ_#>	#>	0.222
ɡ̊	k	0.222
s	z̥	0.205
x	χ_ə	0.2
ʃ	χ	0.175
ˈɪ	ˈʏ	0.167
ˈɑ	ˈaː	0.167
ˈu	ˈoː	0.167
ˈiː	ˈu	0.167
n	n_d	0.163
ˈɛ	ˈɑ	0.16
ˈeː	ˈoː	0.154
ˈeː	ˈaː	0.154
ˈeː	-	0.154
ˈaɪ̯	ˈœy̯	0.15
ʃ	s_χ	0.15
ˈɛː	ˈaː	0.143
ˈɛː	-	0.143
b̥	p	0.133
ˈɑː	ˈaː	0.125
ʃ	z	0.125
β	v	0.121
ˈɔ	-	0.111
ˈu	-	0.111
ˈiː	-	0.111
ˈɪ	ˈɛ	0.1
ˈaɪ̯	ˈyː	0.1
ˈaɪ̯	ˈi	0.1
ˈaɪ̯	-	0.1
ə	-	0.093
r	-	0.091
ˈɛ	ˈʏ	0.08
ˈɛ	ˈeː	0.08
ˈɛ	ˈaː	0.08
ˈɛ	-	0.08
ɡ̊	-	0.074
ə	n	0.07
ˈɪ	ˈeː	0.067
ˈɪ	-	0.067
ˈɑː	ˈøː	0.062
