Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈɛ_ɡː	ˈɔɪ̯	1.0
ˈœʏ̯	ˈaʊ̯	1.0
ʋ_#>	b̥_#>	1.0
ʈː	ɑ_ʦ	1.0
ʈ	-	1.0
ɾ_ə	ɑ	1.0
ɾ_#>	#>	1.0
ɳ	n	1.0
ɪ	ɪ	1.0
ɡ_#>	ɡ̊_#>	1.0
ə_ɾ	ɑ	1.0
ə_n	eː	1.0
ŋː	ŋ	1.0
ŋ	ç	1.0
ç	k	1.0
t_ə	s_ə	1.0
s_ˈɛ	s_ˈɛ	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
pː	f	1.0
pʰ	b	1.0
p_#>	f_#>	1.0
nː_#>	#>	1.0
mː	m	1.0
m	m	1.0
l_ʋ	l_f	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
d_#>	d̥_#>	1.0
b	b	1.0
<#_ˈɔ	<#_ˈʊ	1.0
<#_ɾ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
ʋ	ʋ	0.917
ˈɪ	ˈɪ	0.857
d	d	0.842
ɡ	ɡ	0.818
ˈɑ	ˈa	0.75
<#	<#_ʋ	0.75
ˈæɪ̯	ˈeː	0.727
ˈyː	ˈiː	0.727
ˈʏ	ˈɪ	0.667
ˈʉ	ˈʊ	0.667
ˈiː	ˈaɪ̯	0.667
ʂ	ʃ	0.667
ɡː	k	0.667
ˈœ	-	0.636
lː	l	0.636
tʰ	d	0.632
nː	n	0.632
ˈæː	-	0.6
s	ʃ	0.6
ˈɑː	ˈɔː	0.545
ə	ə	0.538
ˈuː	ˈuː	0.533
ˈʉː	ˈaʊ̯	0.5
ˈoː	ˈoː	0.5
p	p	0.5
p	f	0.5
t	t	0.471
n	n	0.471
ɾ	ɾ	0.465
ə	-	0.462
k	x	0.462
ˈɑː	ˈa	0.455
t	s	0.412
ˈæː	ɑ	0.4
ˈeː	-	0.4
s	s	0.4
k	ç	0.385
ˈɛ	ˈɛ	0.368
tʰ	ʦ	0.368
nː	n_d̥	0.368
lː	l_d̥	0.364
n	-	0.353
#>	d̥_#>	0.342
ˈʏ	-	0.333
ˈʉ	ˈɔ	0.333
ʂ	s	0.333
ɡː	-	0.333
ˈʉː	-	0.312
ˈeː	ˈɛ	0.3
ˈeː	ˈeː	0.3
tː	ʦ	0.3
tː	s	0.3
ˈæɪ̯	-	0.273
ˈyː	ˈaɪ̯	0.273
ɾ	ɑ	0.256
ˈɔ	ˈʊ	0.25
ˈɔ	ˈɛ	0.25
ˈɔ	ˈa	0.25
ˈɔ	-	0.25
j	h	0.25
j	-	0.25
<#	<#_j	0.25
#>	ə_#>	0.237
ˈøː	ˈoː_d̥	0.235
ˈøː	ˈeː	0.235
ˈoː	ˈɔː	0.214
ˈɛ	ˈaɪ̯	0.211
ˈuː	-	0.2
ˈiː	-	0.2
tː	ç_t	0.2
tː	x_t	0.2
ˈʉː	ˈɔ	0.188
ˈœ	ˈɔː	0.182
ˈœ	ˈiː	0.182
ɡ	j	0.182
ˈøː	ˈɔː	0.176
n	ə	0.176
j	ˈɛː	0.167
j	ˈɛ	0.167
j	ɡ	0.167
ˈɛ	ˈɛː	0.158
ˈɛ	ˈeː	0.158
d	-	0.158
#>	ç_#>	0.158
k	k	0.154
ˈɪ	-	0.143
ˈoː	ˈeː	0.143
ˈoː	-	0.143
ˈuː	ˈʊ	0.133
ˈuː	ˈaː	0.133
ˈiː	ˈɪ	0.133
ˈɑ	ˈɔː	0.125
ˈɑ	ˈaː	0.125
ˈøː	ˈuː	0.118
ˈøː	ˈoː	0.118
ˈøː	-	0.118
t	-	0.118
ɾ	d_ɑ	0.116
ˈɛ	ˈa	0.105
ɾ	-	0.093
ʋ	-	0.083
#>	ɡ̊_#>	0.079
#>	b̥_#>	0.079
ɾ	ɾ_ə	0.07
#>	n_#>	0.053
#>	f_#>	0.053
