Eastern Lombard	Eastern Lombard	probability
ˈɛ_ŋ	ˈɛ̃	1.0
ˈø_l	ʎ	1.0
ˈø_k	w_ˈa	1.0
ˈu_r	ˈy	1.0
ˈu_#>	ˈɔ̃_#>	1.0
ˈe_t	ˈɛ̃	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_t	ˈa	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_m	ˈɑ̃	1.0
ˈa_l	ˈoː	1.0
ʧ_#>	#>	1.0
ɡ_w	ɡ	1.0
ŋ	-	1.0
y	y	1.0
w	w	1.0
u	-	1.0
t_#>	#>	1.0
r_t	ʁ	1.0
r_s	ʁ_s	1.0
r_e	ʁ	1.0
r_a	ʁ_a	1.0
p_#>	#>	1.0
p	p	1.0
n_t	ˈɛ̃	1.0
n_d	d_ʁ	1.0
k_r	k_ʁ	1.0
i	-	1.0
f_#>	#>	1.0
f	f	1.0
b	b	1.0
a_s	ɑː	1.0
a_r	a_ð	1.0
a_n	ɑ̃	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈɑː	1.0
<#_z	<#_ð	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_v	1.0
m	m	0.923
l_#>	l_#>	0.812
t	t	0.72
n	n	0.714
k_#>	#>	0.714
a	a	0.672
s	s	0.667
l	l	0.667
r	ʁ	0.645
e_r	ʁ_o	0.625
o	-	0.615
ʧ	ʎ	0.6
ʋ	v	0.6
ˈy	-	0.571
z	z	0.556
s_#>	#>	0.538
ɡ	ɡ	0.533
k	k	0.514
k_ˈa	ʃ_j	0.5
k_ˈa	ʃ	0.5
ˈa	ˈa	0.489
s_#>	ʃ_#>	0.462
d	d	0.455
ˈø	w	0.444
ˈy	ˈu	0.429
k	ʃ	0.429
j	l	0.421
ˈɛ	ˈe	0.406
ʧ	k	0.4
ʋ	ˈe_v	0.4
ˈɔ	w	0.385
o	o	0.385
e_r	ə	0.375
ʤ	ʎ	0.333
ʤ	ɡ_ʎ	0.333
ʤ	-	0.333
ɲ	ˈɛ̃	0.333
ɲ	ɲ_i	0.333
ɲ	ɲ	0.333
l	-	0.333
d	ð	0.318
ˈe	ˈi	0.308
k_#>	ˈe_#>	0.286
e	ə	0.28
ˈo	ˈoː	0.273
ˈu	w	0.267
ˈu	-	0.267
ɡ	-	0.267
ˈi	ˈe	0.259
ˈɛ	ˈɛː	0.25
#>	ə_#>	0.25
e	-	0.24
a	ə	0.234
ˈɔ	ˈoː	0.231
ˈɔ	-	0.231
d	-	0.227
ˈø	-	0.222
ˈi	ˈi	0.222
z	ʒ	0.222
z	-	0.222
#>	o_#>	0.214
j	j	0.211
j	-	0.211
ˈu	ˈɔ	0.2
ɡ	v	0.2
t	-	0.2
ˈe	ˈɛː	0.192
ˈɛ	ˈɛ	0.188
l_#>	#>	0.188
ˈi	ˈĩ	0.185
ˈi	-	0.185
ˈo	ˈø	0.182
ˈo	-	0.182
ˈø	ˈu	0.167
ˈø	ˈo	0.167
r	ð	0.161
j	ʎ	0.158
ˈɛ	-	0.156
ˈa	ˈaː	0.156
ˈɔ	ˈɔ	0.154
ˈe	ˈɛ̃	0.154
ˈe	j_ˈe	0.154
ˈi	ə	0.148
n	ˈɛ̃	0.143
n	-	0.143
ˈo	ˈu	0.136
ˈo	w	0.136
ˈu	ˈo	0.133
ˈu	w_ˈɛː	0.133
s	e	0.125
e	ˈɛː	0.12
e	e	0.12
ˈe	ˈɛ	0.115
#>	ˈi_#>	0.107
ˈo	w_ˈe	0.091
ˈa	ˈe	0.089
t	ʁ	0.08
e	ɛː	0.08
e	ɛ	0.08
e	o	0.08
ˈe	j	0.077
m	-	0.077
#>	ˈɔ̃_#>	0.071
#>	ˈe_#>	0.071
#>	ʃ_#>	0.071
#>	ʁ_#>	0.071
#>	f_#>	0.071
#>	a_#>	0.071
ˈa	ˈɑ̃	0.067
ˈa	-	0.067
r	ˈø_ʁ	0.065
r	ˈoː	0.065
r	-	0.065
s	ʃ	0.062
s	ʁ	0.062
s	-	0.062
k	-	0.057
