East Frisian Low Saxon	Alsatian	probability
ˈʏə̯	ˈu	1.0
ˈʊə̯	-	1.0
ˈɪə̯	-	1.0
ˈɛə̯	ˈaː	1.0
ˈɔː	ˈoː	1.0
ˈɒːɒ̯	-	1.0
ˈɑːʊ̯	ˈɔi̯	1.0
ˈɑɪ̯	-	1.0
ˈœːy̯	ˈʊː	1.0
ˈœy̯	ˈiː	1.0
ˈøːø̯	ˈu	1.0
ˈæː	ˈiː	1.0
ˈyːʏ̯	ˈu_ʁ	1.0
ˈuːu̯	ˈyː	1.0
ˈoːo̯	ˈœ	1.0
ʊ	ˈʊː	1.0
ɫ	l	1.0
ɡ̊	-	1.0
ɡ_n	ə	1.0
ɑɪ̯	eː	1.0
ɐ_ɣ̊	i	1.0
ɐ_n	ʁ_n	1.0
ŋ	ŋ	1.0
z	s	1.0
w	w	1.0
v_ˈɪ	ʋ	1.0
t_n	s_ə	1.0
s_k	ʃ	1.0
r	ʁ	1.0
p_n	f_ə	1.0
o	ˈɒ	1.0
l	l	1.0
k_n	k_ə	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	t	1.0
d_r	t_ʁ	1.0
b	b̥	1.0
ˈɪ	ˈi	0.899
s	ʃ	0.895
ˈuː	ˈyː	0.871
m	m	0.844
ˈʊ	ˈu	0.82
ˈɑʊ̯	ˈʊː	0.798
v	ʋ	0.776
ˈɑ	ˈɒ	0.768
d	d̥	0.766
ɣ̊	k	0.765
n	n	0.716
ˈiː	ˈiː	0.677
ˈeːe̯	-	0.656
ˈɑːɑ̯	ˈɒ	0.652
ˈøː	-	0.625
ˈœ	ˈu	0.622
ɐ	ʁ	0.586
p	p͡f	0.579
χ	ʃ	0.578
ˈɛːɪ̯	ˈei̯	0.571
z̥	s	0.568
ˈʏ	ˈi	0.562
ˈæɪ̯	ˈəi̯	0.561
ɡ	ɡ̊	0.467
ˈʏ	-	0.438
z̥	ˈɒː_s	0.432
ˈɛːɪ̯	ˈeː	0.429
χ	x	0.422
k	kʰ	0.422
p	p	0.421
ˈoː	ˈoː	0.414
ɐ	ə_ʁ	0.414
k	ʃ	0.412
ɡ	j	0.404
ˈɒː	ˈoː	0.396
t	ʦ	0.393
ˈœ	-	0.378
ˈɑːɑ̯	-	0.348
ˈeːe̯	ˈɛ	0.344
ˈɑː	ˈɒː	0.334
ˈɑː	ˈɒ	0.334
ˈɑː	-	0.333
ˈoː	ˈo	0.333
t	t	0.32
ˈeː	ˈæ	0.316
ˈɛ	ˈi	0.292
ˈɛ	ˈe	0.292
t	s	0.287
ˈɒː	ˈɒ	0.271
ˈeː	ˈe	0.26
ˈɔ	ˈu	0.255
ˈɔ	ˈo	0.255
ˈɔ	-	0.255
ˈoː	ˈʊː	0.253
ˈæɪ̯	-	0.239
ˈɔ	ˈɒ	0.236
ɣ̊	i	0.235
n	ə	0.235
d	t	0.234
v	-	0.224
ˈɛ	ˈæ	0.214
ˈeː	ˈæː	0.212
ˈeː	ˈiː	0.212
ˈiː	ˈeː	0.208
ˈɛ	-	0.203
ˈɑʊ̯	-	0.202
ˈæɪ̯	ˈiː	0.2
ˈøː	ˈe	0.199
ˈɒː	-	0.198
ˈʊ	ˈo	0.18
ˈɑ	ˈɒː	0.144
ˈɒː	ˈɒː	0.134
ˈuː	ˈøi̯	0.129
ɡ	-	0.129
ˈøː	ˈai̯	0.118
ˈiː	e	0.116
ˈɪ	ˈe	0.101
m	m_ə	0.093
ˈɑ	-	0.088
k	-	0.088
k	x	0.079
s	k_s	0.065
m	ə	0.063
ˈøː	ˈø	0.058
