English	Alsatian	probability
b	b̥	1.0
d	t	0.546
d	d̥	0.412
d	-	0.037
d	ʃ	0.033
f	f	0.914
f	b̥	0.063
f	x	0.04
h	h	0.951
h	-	0.055
j	j	0.517
j	ˈæː	0.185
j	ˈei̯	0.185
k	ʃ	0.532
k	k	0.413
kʰ	kʰ	1.0
l	l	1.0
m	m	0.797
m	ʁ_m	0.201
n	n	0.862
n	-	0.13
n	i	0.032
p	f	0.406
p	f_ə	0.247
p	p	0.187
p	p͡f	0.129
s	s	0.67
s	ʃ	0.323
t	s	0.408
t	t	0.16
t	ʦ	0.146
t	x	0.123
t	s_ə	0.097
tʰ	ʦ	0.878
tʰ	-	0.093
v	v	0.335
v	f	0.292
v	-	0.168
v	n	0.12
v	b̥	0.06
w	ʋ	0.848
w	w	0.096
w	-	0.055
z	s	1.0
ð	t	0.514
ð	d̥	0.474
ŋ	ŋ	0.879
ŋ	i	0.107
ŋ_ɡ	ŋ	1.0
ə	ə_ʁ	0.627
ə	-	0.139
ə	ə	0.103
ə	ˈoː_ʁ	0.071
ə	ʁ_ə	0.052
əʊ̯	-	0.288
əʊ̯	i	0.288
ɡ	ɡ̊	0.852
ɡ	-	0.145
ɪ	i	0.644
ɪ	ˈeː	0.341
ɫ	l	0.934
ɫ	n	0.066
ɹ	ʁ	0.966
ɹ	b̥	0.045
ʃ	ʃ	1.0
ʤ	k	1.0
ʧ	kʰ	0.591
ʧ	x	0.232
ʧ	ʁ	0.145
ˈaɪ̯	ˈiː	0.566
ˈaɪ̯	ˈi	0.207
ˈaɪ̯	ˈɒː	0.075
ˈaɪ̯	ˈoː	0.062
ˈaɪ̯	ə	0.053
ˈaʊ̯	ˈyː	0.575
ˈaʊ̯	ˈø	0.147
ˈaʊ̯	ˈi	0.074
ˈaʊ̯	ˈʊː	0.072
ˈaʊ̯	ˈu	0.072
ˈe	ˈoː	0.198
ˈe	ˈi	0.168
ˈe	ˈe	0.168
ˈe	-	0.115
ˈe	ˈəi̯	0.1
ˈeɪ̯	ˈɒ	0.385
ˈeɪ̯	ˈɒː	0.178
ˈeɪ̯	j	0.155
ˈeɪ̯	ˈaː	0.138
ˈeɪ̯	ˈoː	0.087
ˈiː	ˈʊː	0.171
ˈiː	ˈiː	0.162
ˈiː	ˈei̯	0.162
ˈiː	ˈoː	0.149
ˈiː	ˈeː	0.096
ˈuː	ˈɒ	0.174
ˈuː	ˈəi̯	0.174
ˈuː	ˈøː	0.174
ˈuː	ˈɒː	0.125
ˈuː	-	0.12
ˈæ	ˈɒ	0.857
ˈæ	ˈæ	0.124
ˈɐ	ˈu	0.377
ˈɐ	ˈʊː	0.193
ˈɐ	ˈo	0.168
ˈɐ	ˈɒ	0.097
ˈɐ	ˈøː	0.077
ˈɑː	ˈɒ	0.457
ˈɑː	ˈɒː	0.457
ˈɑː	ˈe	0.064
ˈɒ	ˈɒ	0.496
ˈɒ	ˈo	0.179
ˈɒ	ˈu	0.179
ˈɒ	ˈəi̯	0.124
ˈɔː	ˈɒ	0.396
ˈɔː	ˈo_ʁ	0.2
ˈɔː	ˈɒː	0.132
ˈɔː	ˈoː	0.1
ˈɔː	ˈiː	0.074
ˈəʊ̯	ˈəi̯	0.505
ˈəʊ̯	ˈɒ	0.223
ˈəʊ̯	ˈeː	0.169
ˈəʊ̯	ˈɒː	0.085
ˈɛ	ˈoː	0.871
ˈɛ	ˈæː	0.055
ˈɜː	ˈu	0.392
ˈɜː	ˈo	0.226
ˈɜː	ˈiː	0.226
ˈɪ	ˈi	0.532
ˈɪ	ˈe	0.105
ˈɪ	ˈu	0.089
ˈɪ	ˈiː	0.078
ˈɪ	-	0.07
ˈʊ	ˈʊː	0.496
ˈʊ	ˈo	0.496
θ	d̥	0.52
θ	t	0.193
θ	-	0.12
θ	l	0.12
