English	Alsatian	probability
l	l	1.0
z	s	1.0
ɜː	ˈi	1.0
ʃ	ʃ	1.0
ʤ	k	1.0
b	-	0.051
d	d̥	0.381
j	-	0.201
s	s	0.681
v	f	0.31
ð	d̥	0.651
ˈaɪ̯	ˈœ	0.061
ˈiː	ˈai̯	0.081
ˈiː	ˈæː	0.1
ˈiː	ˈei̯	0.1
ˈuː	ˈɒ	0.051
ˈɒ	ˈɒ	0.551
ˈəʊ̯	ˈɒ	0.1
ˈəʊ̯	ˈeː	0.201
d	t	0.592
j	ˈei̯	0.12
kʰ	f	0.052
w	w	0.052
ŋ	ŋ	0.872
ɡ	ɡ̊	0.912
ʧ	kʰ	0.632
ˈe	ˈi	0.12
ˈe	ˈoː	0.152
ˈɐ	ˈyː	0.072
ˈəʊ̯	ˈei̯	0.102
ˈɜː	ˈu	0.62
ˈɪ	-	0.052
θ	-	0.082
f	l_b̥	0.083
k	x	0.323
t	t	0.113
v	b̥	0.153
ʧ	x	0.233
ˈaɪ̯	ˈiː	0.453
ˈaʊ̯	ˈø	0.063
ˈe	ˈɒ	0.073
ˈe	ˈɛ	0.113
ˈiː	ˈeː	0.063
ˈiː	-	0.063
ˈiː	ˈʊː	0.213
ˈuː	ˈɒː	0.073
ˈuː	ˈøː	0.073
ˈuː	ˈiː	0.293
ˈæ	ˈɒ	0.963
ˈəʊ̯	ˈəi̯	0.523
ˈɪ	ˈu	0.083
θ	l	0.083
j	ˈæː	0.244
m	m	0.974
tʰ	ʦ	0.924
ə	-	0.234
ə	ə	0.64
əʊ̯	i	0.334
ɫ	l	0.954
ɹ	ʁ	0.964
ˈiː	eː	0.064
ˈɑː	ˈɒː	0.224
ˈɔː	ˈɒ	0.254
ˈəʊ̯	ˈɒː	0.074
ˈɛ	ˈæː	0.234
j	j	0.435
n	-	0.05
n	n	0.95
t	s	0.495
ˈaʊ̯	ˈøi̯	0.085
ˈe	ˈəi̯	0.075
ˈe	ˈe	0.225
ˈɐ	ˈoː	0.125
ˈɑː	ˈɒ	0.75
ˈʊ	ˈo	0.5
ˈʊ	ˈʊː	0.5
s	ʃ	0.306
t	ʃ_t	0.096
tʰ	-	0.076
w	ʋ	0.876
əʊ̯	-	0.666
ˈe	ˈeː	0.096
ˈeɪ̯	ˈɒː	0.256
ˈuː	ˈoː	0.156
ˈɒ	ˈəi̯	0.116
ˈɔː	ˈiː	0.086
ˈɔː	ˈe	0.086
ˈɔː	ˈoː	0.146
ˈɛ	ˈeː	0.36
ˈɛ	ˈoː	0.406
ˈɪ	ˈe	0.056
h	h	0.977
k	ʃ	0.487
p	p͡f	0.17
p	f	0.787
t	x_t	0.107
v	n	0.187
ə	ʁ_ə	0.057
ɪ	i	0.797
ʧ	k	0.067
ʧ	ʁ	0.067
ˈeɪ̯	ˈoː	0.07
ˈeɪ̯	ˈaː	0.197
ˈeɪ̯	ˈɒ	0.347
ˈuː	-	0.07
ˈuː	ˈʊː	0.237
ˈɒ	ˈo	0.167
ˈɒ	ˈu	0.167
θ	t	0.097
kʰ	kʰ	0.948
v	v	0.318
ŋ	i	0.128
ɡ	-	0.088
ɪ	-	0.178
ˈaɪ̯	ˈi	0.318
ˈaʊ̯	ˈu	0.168
ˈaʊ̯	ˈyː	0.478
ˈiː	ˈoː	0.098
ˈiː	ˈiː	0.108
ˈɐ	ˈu	0.648
ˈɔː	ˈɒː	0.088
ˈɔː	ˈo	0.338
θ	d̥	0.738
b	b̥	0.949
f	f	0.889
k	k	0.189
t	ʦ	0.19
ð	t	0.349
ə	ˈoː	0.069
ˈaʊ̯	ˈʊː	0.159
ˈe	-	0.069
ˈeɪ̯	j	0.129
ˈɐ	ˈo	0.09
ˈɜː	ˈo	0.19
ˈɜː	ˈiː	0.19
ˈɪ	ˈi	0.689
