Jin	Jin	probability
⁵⁴	⁴	1.0
⁵³	⁵³	1.0
ʨ	k	1.0
ʐ	l	1.0
ɻ	i	1.0
³¹	⁵³	1.0
y	u	1.0
w_ɤ	ɤ	1.0
tʰ͡x	tʰ	1.0
t	t	1.0
pʰ͡x	p	1.0
p	p	1.0
o	a	1.0
n	l_a	1.0
m	b	1.0
l	l	1.0
kʰ͡x	kʰ	1.0
k	k	1.0
j_e	ĩ	1.0
ĩ_ŋ	j_ã	1.0
ĩ	i	1.0
h	h	1.0
e	-	1.0
a_w	o	1.0
a_j	a_j	1.0
<#_ɣ	<#	1.0
<#_ə	<#_l	1.0
<#_j	<#_i	1.0
<#	<#_h	1.0
z̩	i	0.714
ũ	a	0.714
²	³²	0.682
ʦʰ	ʦʰ	0.667
ɥ	-	0.667
ɤ	w_a	0.667
x	h	0.667
ɒ̃	ŋ̍	0.625
ə_ʔ	t̚	0.6
v	-	0.6
f	h	0.571
ʔ	k̚	0.529
ʨʰ	kʰ_j	0.5
ʨʰ	kʰ	0.5
ɕ	ɕ	0.5
ɕ	s	0.5
ŋ	ŋ	0.5
u	ɔ	0.5
u	u	0.5
i	w_e	0.5
i	u_j	0.5
¹¹	²⁴	0.492
w	w	0.476
j	j	0.462
¹¹	⁴⁴	0.46
⁴⁵	¹¹	0.458
⁴⁵	³³	0.458
æ̃	w_ã	0.444
a	e	0.444
f	p	0.429
ŋ	n	0.409
ə_ʔ	ʔ	0.4
v	ɡ	0.4
ʦ	ʦ	0.375
ʦ	t	0.375
ə̃	u	0.375
ə̃	-	0.375
ʔ	ʔ	0.353
ʦʰ	t	0.333
ɥ	ɛ	0.333
ɤ	ɔ̃	0.333
ə	a	0.333
æ̃	m	0.333
x	-	0.333
s	ɕ	0.333
j	a	0.308
z̩	a_j	0.286
w	-	0.286
ũ	ɔ	0.286
²	⁴	0.273
ʦ	ʨ	0.25
ə̃	ɪ	0.25
ɒ̃	ɔ_ŋ	0.25
j	-	0.231
æ̃	ŋ̍	0.222
a	a	0.222
ə	ɔ	0.2
ə	i	0.2
s	ʨ	0.167
s	ʦ	0.167
s	s	0.167
s	-	0.167
a	w_a	0.167
w	u	0.143
ə	ɪ	0.133
ə	j_ɪ	0.133
ɒ̃	w̃	0.125
ʔ	t̚	0.118
a	o	0.111
w	j	0.095
ŋ	m	0.091
a	j̃	0.056
