Slovak	Polish	probability
d	d	1.0
f	p	1.0
i	ɨ	1.0
j	j	1.0
k	k	1.0
n	n	1.0
t	t	1.0
v	v	1.0
ɟ	ʥ	1.0
ɦ	ɡ	1.0
ɪ̯ɛ	ɛ	1.0
ɲ	ɲ	1.0
ʊ̯ˈɔ	ˈɔ	1.0
ʎ	l	1.0
ʒ	ʐ	1.0
ʧ	ʈ͡ʂ	1.0
ˈaː	ˈa	1.0
ˈr̩	ˈɛ_r	1.0
ˈuː	ˈu	1.0
ˈæ	ˈɛ	1.0
ˈɫ̩	w	1.0
a	a	0.951
c	ʨ	0.701
iː	i	0.231
s	s	0.521
ʃ	ʂ	0.481
ʋ	v	0.581
z	w̃_z	0.102
l	l	0.83
m	m	0.433
z	ʑ	0.663
ɪ̯ˈɛ	ˈɛ	0.493
ˈa	ˈɔ	0.403
ˈɔ	ˈu	0.223
r	ʐ	0.154
x	k	0.144
ɔ	ɔ	0.934
ɫ	w	0.904
ˈu	ˈu	0.494
ˈɔ	ɔ	0.054
ˈɔ	ˈɔ	0.724
b	b_j	0.205
b	b	0.795
ɛ	ɛ	0.735
ˈa	ˈu	0.125
ˈa	ˈa	0.335
ˈi	ˈi	0.245
ˈi	ˈɨ	0.755
p	p_j	0.116
x	x	0.856
z	z	0.236
ɔ	j	0.066
ɛ	ˈɔ	0.116
ɫ	l	0.096
ˈu	ˈɔ	0.506
ˈɛ	-	0.056
ˈɛ	ˈa	0.196
l	w	0.17
m	m_j	0.567
p	p	0.847
ɪ̯ˈɛ	ˈa	0.507
ʦ	ʦ	0.987
ˈɛ	ˈɛ	0.67
c	ɲ_ʨ	0.278
r	r	0.8
ˈa	ˈɛ	0.138
ˈɛ	ˈɔ	0.078
iː	ɨ	0.769
s	ɕ	0.479
ɛ	j_ɛ	0.149
ʃ	w̃_ʂ	0.519
ʋ	f	0.19
ʋ	v_j	0.229
