Friulian	Friulian	probability
ˈɛ_t	ˈe_t	1.0
ˈɛ_r	r_u	1.0
ˈɛ_l	ɖː	1.0
ˈɔː	ˈa	1.0
ˈoː_r	ˈɔ_ɾ	1.0
ˈoː	ˈu	1.0
ˈeː	ˈi	1.0
ʧ_ˈi	k_ˈi	1.0
ɟ	-	1.0
ŋ_k	m_ɛ	1.0
z_v	b	1.0
z	z	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈi	ˈɔ	1.0
w	-	1.0
s_ˈa	s_ˈa	1.0
s_e	s_a	1.0
r_t	ɾ	1.0
r_e	ɾ	1.0
r_b	ɾ_b	1.0
r_#>	ɾ_u_#>	1.0
p	p	1.0
o_ˈa	ˈɔ	1.0
l_ˈe	l_ˈi	1.0
l_t	j	1.0
l_e	l_a	1.0
k	k	1.0
i_s	z	1.0
i_#>	u_#>	1.0
f_l	f_ɾ	1.0
d_e	t_a	1.0
c	k	1.0
b	b	1.0
a_l	a_l	1.0
<#_ˈa	<#_ˈa	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_j	<#_l	1.0
<#_d	<#_d	1.0
m	m	0.889
ˈa	ˈa	0.879
t	t	0.864
e	a	0.862
s	s	0.8
n	n	0.794
<#	<#_i	0.769
ˈu	ˈu	0.765
f	f	0.75
a	a	0.75
v	b	0.739
r	ɾ	0.723
ˈi	ˈi	0.679
ʤ	ɡ	0.6
w_ˈa	ˈo	0.6
o	ɔ	0.6
j_ˈɛ	ˈɛ	0.6
ˈaː	ˈa_ɾ	0.56
d	t	0.533
ʧ	k	0.5
a_r	ɾ	0.5
a_r	a_ɾ	0.5
ŋ	n_u	0.478
ɡ	ɡ	0.467
d	ð	0.467
ˈuː	ˈu	0.462
u	u	0.444
i	i	0.444
ˈaː	ˈa	0.44
ˈɔ	ˈu	0.429
ˈiː	ˈɛ	0.429
ˈo	ˈu	0.419
#>	ɛ_#>	0.409
l	l	0.406
ˈɛ	ˈɛ	0.4
ˈɛ	ˈe	0.4
ʤ	ʣ	0.4
w_ˈa	ˈɔ	0.4
j_ˈɛ	ˈe	0.4
j	ˈe	0.4
#>	u_#>	0.394
ˈo	ˈɔ	0.387
ˈuː	ˈo	0.385
ŋ	n_ɛ	0.348
l	ɾ	0.344
ɲ	nː	0.333
ɲ	n_ʣ	0.333
u	-	0.333
ˈe	ˈi	0.316
ˈɔ	ˈɔ	0.286
ˈɔ	ˈo	0.286
ˈiː	ˈi_ɾ	0.286
ˈiː	ɛ	0.286
ˈe	ˈɛ	0.263
v	β	0.261
<#	<#_a	0.231
ɲ	n	0.222
u	o	0.222
i	ɛ_ɾ	0.222
n	nː	0.206
ˈɛ	-	0.2
ɡ	k	0.2
ɡ	-	0.2
o	ˈɔ	0.2
o	u	0.2
j	-	0.2
ʧ	ʦ	0.188
ʧ	-	0.188
i	ɛ	0.185
ˈe	ˈɛ_ɣ	0.158
ˈe	ˈe	0.158
ˈuː	ˈɔ	0.154
i	-	0.148
f	β	0.143
ɡ	ɣ	0.133
j	ˈɛ	0.133
j	ʣ_u	0.133
j	ʣ	0.133
r	-	0.128
ʧ	t_u	0.125
l	ɖː	0.125
a	ɾ	0.125
a	-	0.125
ˈu	ˈo	0.118
ˈu	-	0.118
ɲ	ɲ	0.111
m	m_i	0.111
ˈi	ˈɛ	0.107
ˈi	ˈi_ʣ	0.107
ˈi	ˈe	0.107
f	-	0.107
ˈe	-	0.105
s	z	0.1
s	k_ɛ	0.1
ˈo	ˈo	0.097
ˈo	-	0.097
ŋ	u	0.087
ŋ	nː	0.087
r	r	0.085
e	ɛ	0.069
e	-	0.069
t	ð_ɛ	0.068
t	-	0.068
r	u	0.064
l	k_ɾ	0.062
l	-	0.062
ˈa	ɾ_ˈa	0.061
ˈa	ɾ	0.061
