Piedmontese	Piedmontese	probability
ˈə	-	1.0
ˈu_ŋ	ˈɔ_n	1.0
ɡ_#>	k_ʊ̃ː_#>	1.0
ŋ_k	ŋ_kʷ	1.0
ŋ_#>	n_ʊ̃ː_#>	1.0
z_#>	k_ɛ̃ː_#>	1.0
y	-	1.0
t_ˈu	t_ˈʊ	1.0
t_ˈa	t_ˈa	1.0
t_e	t_ɛ̃ː	1.0
s_#>	sː_ʊ̃ː_#>	1.0
r_n	r_n	1.0
r_a	r_ãː	1.0
p_j	p_ɫ	1.0
p_#>	p_ʊ̃ː_#>	1.0
p	p	1.0
n_#>	n_ɛ̃ː_#>	1.0
m_#>	m_ɛ̃ː_#>	1.0
k_a	k_a	1.0
j_#>	ɫ_ʊ̃ː_#>	1.0
f_j	f_ɫ	1.0
f	f	1.0
dː	d_ˈeː	1.0
d_#>	d_ʊ̃ː_#>	1.0
b	b	1.0
a_l	a_ɫ	1.0
<#_ˈø	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#	<#_h	1.0
m	m	0.963
<#_s	<#_s	0.923
ˈy	ˈuː	0.9
r	r	0.9
<#_l	<#_ɫ	0.85
t_#>	t_ʊ̃ː_#>	0.846
n	n	0.842
d	d	0.8
ŋ	n	0.781
t	t	0.75
a	ãː	0.725
v	w	0.69
ˈɛ	ˈɛ	0.674
ˈi	ˈiː	0.667
ʤ	ɡ	0.625
ˈa	ˈa	0.615
k	k	0.611
ə	ɛ	0.6
i	-	0.583
w	-	0.556
ˈɔ	ˈɔ	0.548
r_#>	r_ʊ̃ː_#>	0.526
ʧ	k_ɫ	0.5
ʧ	k	0.5
s	s	0.5
r_#>	r_ɛ̃ː_#>	0.474
ˈø	ˈɔ	0.471
l	lʲː	0.469
w	ɫ	0.444
u	ɔ	0.444
l	ɫ	0.438
ˈe	ˈaː_r	0.41
ə	-	0.4
#>	ʊ̃ː_#>	0.368
ˈu	ˈʊ	0.353
e	ɛ	0.346
ɡ	ɡʷ	0.333
ɡ	ɡ	0.333
ɡ	k	0.333
z	k	0.333
ˈu	ˈoː	0.324
ˈa	ˈaː	0.308
ˈø	-	0.294
ʤ	j	0.25
ɲ	ɡ_n	0.25
ɲ	ŋ_n	0.25
ɲ	n_i	0.25
ɲ	n_e	0.25
t	t_ɛ̃ː	0.25
i	iː	0.25
ˈø	ˈɔ_k	0.235
ˈe	ˈɛ	0.231
z	ɡ_ɛ	0.222
z	s_i	0.222
z	s	0.222
u	oː	0.222
s	k	0.222
k	kː	0.222
#>	ɛ_#>	0.217
v	p	0.214
ˈu	ˈɔ	0.206
d	t	0.2
j	lʲ_i	0.189
#>	ɛ̃ː_#>	0.189
u	ʊ	0.167
u	-	0.167
k	kʷ	0.167
i	ɪ	0.167
ˈɛ	ˈɪ	0.163
j	ʊ_ɫ	0.162
ˈɔ	ˈau̯	0.161
ŋ	ŋ	0.156
t_#>	#>	0.154
e	r_ɛ	0.154
<#_l	<#_lʲ	0.15
a	a	0.138
j	-	0.135
ˈɔ	ˈoː	0.129
ˈe	ˈeː	0.128
ʤ	-	0.125
ˈi	ˈɪ	0.121
ˈu	ˈu	0.118
e	ˈiː_r	0.115
e	k_ɛ	0.115
e	ae̯	0.115
s	t_i	0.111
s	t	0.111
j	ɫ	0.108
n	ŋ	0.105
ˈy	ˈʊ	0.1
ˈɔ	ˈa	0.097
l	ɫ_ɛ̃ː	0.094
ˈi	ˈi	0.091
j	s	0.081
j	r	0.081
j	i	0.081
ˈe	ɛ	0.077
ˈa	ˈaː_t	0.077
e	ɪ	0.077
e	eː	0.077
<#_s	<#	0.077
ˈɛ	ˈeː	0.07
ˈɔ	m	0.065
ŋ	ŋ_k	0.062
a	aː	0.062
ˈi	ɛ	0.061
ˈi	-	0.061
#>	r_ɛ_#>	0.057
s	s_eː	0.056
j	r_ɛ	0.054
j	k_ʊ	0.054
j	k	0.054
n	ĩː	0.053
ˈe	ˈa_r	0.051
ˈe	ˈa	0.051
