Scots	Icelandic	probability
b	b̥	0.938
b	tʰ	0.061
d	d̥	0.512
d	ð	0.278
d	ð_ʏ	0.065
d	ð_a	0.045
d	-	0.042
e	ʏ	0.229
e	-	0.123
e	a	0.123
f	f	0.819
f	v_ʏ	0.115
f	f_j	0.047
f	d̥	0.027
h	h	0.821
h	ç	0.111
h	-	0.052
i	u	0.468
j	ˈɑːu̯	0.209
j	ˈœ	0.209
j	ˈiː	0.209
j	ˈʏː	0.129
j	ˈaː	0.087
k	k	0.487
k	ʰk	0.12
k	ʰk_a	0.12
k	c	0.074
k	cʰ	0.074
kʰ	kʰ	0.76
kʰ	cʰ	0.239
l	l	0.553
l	l̥	0.252
l	l_j	0.078
l	ɡ̊_l	0.046
l	-	0.035
m	m	0.534
m	m_ʏ	0.305
m	ˈɛː	0.06
m	p	0.049
m	j	0.048
n	n	0.61
n	n̥	0.159
n	-	0.157
n	nː	0.034
n	r̥	0.03
p	p	0.592
p	ʰp	0.258
p	v	0.114
r	r	0.478
r	r̥	0.424
r	-	0.076
s	s	0.893
s	sː	0.058
s	-	0.03
s	v	0.029
t	t	0.518
t	-	0.217
t	t_ʏ	0.2
t	ʰt	0.033
t	ɣ	0.033
tʰ	tʰ	1.0
v	v	0.562
v	-	0.253
v	m	0.097
w	v	0.553
w	-	0.242
w	ˈɔ	0.066
w	ˈaːi̯	0.058
w	ˈu	0.058
x	ʰt	0.642
x	s	0.135
x	-	0.096
x	j	0.094
z	s	1.0
ç	ɡ̊	1.0
ð	ð	0.69
ð	θ	0.153
ð	nː	0.153
ŋ	ŋ	0.751
ŋ	-	0.123
ŋ	ɲ	0.083
ə	ɪ	0.381
ə	ʏ	0.281
ə	a	0.104
ə	-	0.06
ə	ˈœː	0.06
əi̯	ɛː	0.297
əi̯	ʏ	0.173
əi̯	-	0.173
əi̯	ɑu̯	0.173
ɡ	ɡ̊	0.78
ɡ	ɟ̊	0.217
ɪ	ʏ	0.574
ɪ	-	0.145
ɪ	i	0.042
ɫ	l	0.771
ɫ	l̥	0.222
ɹ	r	0.468
ʃ	s_k	0.57
ʃ	c	0.422
ʍ	-	0.733
ʍ	ç	0.265
ʧ	k	0.407
ʧ	cʰ	0.042
ˈa	ˈou̯	0.468
ˈaːɪ̯	ˈuː	0.355
ˈaːɪ̯	ˈɪ	0.166
ˈe	ˈaː	0.153
ˈe	ˈɛːi̯	0.11
ˈe	ˈiː	0.096
ˈe	ˈɛ	0.096
ˈe	ˈœːy̯	0.084
ˈei̯	j	0.277
ˈei̯	ˈœːy̯	0.194
ˈei̯	ˈa	0.1
ˈei̯	ˈiː	0.079
ˈei̯	ˈɛːi̯	0.068
ˈeː	ˈaː	0.488
ˈeː	ˈaːu̯	0.188
ˈeː	ˈɛːi̯	0.173
ˈi	ˈaː	0.199
ˈi	ˈoːu̯	0.199
ˈi	ˈɛː	0.116
ˈi	ˈœːy̯	0.116
ˈiː	j_ˈɛː	0.149
ˈiː	j_ˈoːu̯	0.13
ˈiː	j	0.104
ˈiː	ˈai̯	0.104
ˈiː	ˈoːu̯	0.069
ˈoe̯	ˈɛ	1.0
ˈø	ˈoːu̯	0.645
ˈø	ˈɔu̯	0.1
ˈø	ˈɑːu̯	0.065
ˈø	ˈaːi̯	0.063
ˈø	ˈœ	0.063
ˈɑ	ˈa	0.302
ˈɑ	ˈɛ	0.199
ˈɑ	ˈaː	0.148
ˈɑ	ˈɑu̯	0.131
ˈɑ	ˈɔ	0.095
ˈɑː	ˈa	0.292
ˈɑː	ˈaː	0.117
ˈɑː	ˈɑːu̯	0.117
ˈɑː	j	0.087
ˈɑː	ˈɑu̯	0.085
ˈɔ	ˈɔ	0.345
ˈɔ	ˈu	0.142
ˈɔ	ˈɪ	0.124
ˈɔ	ˈɔː	0.094
ˈɔ	ˈʏ	0.094
ˈəi̯	ˈiː	0.762
ˈəi̯	ˈʏː	0.116
ˈəi̯	ˈɪ	0.083
ˈəi̯	ʏ	0.032
ˈɛ	ˈa	0.285
ˈɛ	-	0.174
ˈɛ	ˈɛ	0.126
ˈɛ	ˈɛː	0.11
ˈɛ	ˈaːi̯	0.063
ˈɪ	ˈɪ	0.157
ˈɪ	ˈoːu̯	0.149
ˈɪ	ˈi	0.133
ˈɪ	ˈɪː	0.122
ˈɪ	ˈɛ	0.109
ˈɪ_r	r	1.0
ˈʉ	ˈuː	0.422
ˈʉ	ˈʏ	0.185
ˈʉ	ˈiː_r̥	0.157
ˈʉ	r̥	0.078
ˈʉ	ˈʏ_ɡ̊	0.059
ˈʌ	ˈɔ	0.25
ˈʌ	ˈʏː	0.154
ˈʌ	ˈʏ	0.154
ˈʌ	ˈu	0.154
ˈʌ	ˈɛ	0.095
ˈʌʉ̯	ˈou̯	0.322
ˈʌʉ̯	ˈi	0.188
ˈʌʉ̯	ˈoːu̯	0.173
ˈʌʉ̯	ˈʏ	0.101
θ	θ	0.572
θ	ð_ʏ	0.164
θ	nː	0.122
θ	ð	0.075
